combo_size,categories,category_names,modularity,num_communities,num_nodes,num_edges,categories_str
1,[np.int64(0)],Processed Foods & Beverages,0.08776819454046547,4,214,11412,"(np.int64(0),)"
1,[np.int64(1)],"Livestock, Specialty Grains & Byproducts",0.15457610470845204,5,193,4548,"(np.int64(1),)"
1,[np.int64(2)],Animal Feed & Agricultural Byproducts,0.16981717333901641,6,184,2795,"(np.int64(2),)"
1,[np.int64(3)],Raw Commodity Crops & Primary Processing,0.08845819824192454,5,206,9245,"(np.int64(3),)"
1,[np.int64(4)],Fresh Foods & Dairy Products,0.10261898354220214,5,209,8870,"(np.int64(4),)"
2,"[np.int64(0), np.int64(1)]","Processed Foods & Beverages + Livestock, Specialty Grains & Byproducts",0.08429246604044516,4,214,11694,"(np.int64(0), np.int64(1))"
2,"[np.int64(0), np.int64(2)]",Processed Foods & Beverages + Animal Feed & Agricultural Byproducts,0.08670653050255307,4,214,11582,"(np.int64(0), np.int64(2))"
2,"[np.int64(0), np.int64(3)]",Processed Foods & Beverages + Raw Commodity Crops & Primary Processing,0.07447654621226424,4,214,12894,"(np.int64(0), np.int64(3))"
2,"[np.int64(0), np.int64(4)]",Processed Foods & Beverages + Fresh Foods & Dairy Products,0.07669376839975506,5,214,12390,"(np.int64(0), np.int64(4))"
2,"[np.int64(1), np.int64(2)]","Livestock, Specialty Grains & Byproducts + Animal Feed & Agricultural Byproducts",0.14294548413984817,5,197,5303,"(np.int64(1), np.int64(2))"
2,"[np.int64(1), np.int64(3)]","Livestock, Specialty Grains & Byproducts + Raw Commodity Crops & Primary Processing",0.08646903602160466,4,207,9671,"(np.int64(1), np.int64(3))"
2,"[np.int64(1), np.int64(4)]","Livestock, Specialty Grains & Byproducts + Fresh Foods & Dairy Products",0.1016309915251878,5,210,9383,"(np.int64(1), np.int64(4))"
2,"[np.int64(2), np.int64(3)]",Animal Feed & Agricultural Byproducts + Raw Commodity Crops & Primary Processing,0.08828979225177322,4,206,9524,"(np.int64(2), np.int64(3))"
2,"[np.int64(2), np.int64(4)]",Animal Feed & Agricultural Byproducts + Fresh Foods & Dairy Products,0.1024494420410853,5,210,9201,"(np.int64(2), np.int64(4))"
2,"[np.int64(3), np.int64(4)]",Raw Commodity Crops & Primary Processing + Fresh Foods & Dairy Products,0.07721585879888578,5,211,11382,"(np.int64(3), np.int64(4))"
3,"[np.int64(0), np.int64(1), np.int64(2)]","Processed Foods & Beverages + Livestock, Specialty Grains & Byproducts + Animal Feed & Agricultural Byproducts",0.08388109301568858,4,214,11823,"(np.int64(0), np.int64(1), np.int64(2))"
3,"[np.int64(0), np.int64(1), np.int64(3)]","Processed Foods & Beverages + Livestock, Specialty Grains & Byproducts + Raw Commodity Crops & Primary Processing",0.07464189964400628,4,214,13048,"(np.int64(0), np.int64(1), np.int64(3))"
3,"[np.int64(0), np.int64(1), np.int64(4)]","Processed Foods & Beverages + Livestock, Specialty Grains & Byproducts + Fresh Foods & Dairy Products",0.07781519927769204,4,214,12584,"(np.int64(0), np.int64(1), np.int64(4))"
3,"[np.int64(0), np.int64(2), np.int64(3)]",Processed Foods & Beverages + Animal Feed & Agricultural Byproducts + Raw Commodity Crops & Primary Processing,0.07437043022713216,4,214,12994,"(np.int64(0), np.int64(2), np.int64(3))"
3,"[np.int64(0), np.int64(2), np.int64(4)]",Processed Foods & Beverages + Animal Feed & Agricultural Byproducts + Fresh Foods & Dairy Products,0.07762975941933126,5,214,12516,"(np.int64(0), np.int64(2), np.int64(4))"
3,"[np.int64(0), np.int64(3), np.int64(4)]",Processed Foods & Beverages + Raw Commodity Crops & Primary Processing + Fresh Foods & Dairy Products,0.06813730601022969,4,214,13559,"(np.int64(0), np.int64(3), np.int64(4))"
3,"[np.int64(1), np.int64(2), np.int64(3)]","Livestock, Specialty Grains & Byproducts + Animal Feed & Agricultural Byproducts + Raw Commodity Crops & Primary Processing",0.08565036171932433,5,207,9886,"(np.int64(1), np.int64(2), np.int64(3))"
3,"[np.int64(1), np.int64(2), np.int64(4)]","Livestock, Specialty Grains & Byproducts + Animal Feed & Agricultural Byproducts + Fresh Foods & Dairy Products",0.09934538312202795,6,210,9621,"(np.int64(1), np.int64(2), np.int64(4))"
3,"[np.int64(1), np.int64(3), np.int64(4)]","Livestock, Specialty Grains & Byproducts + Raw Commodity Crops & Primary Processing + Fresh Foods & Dairy Products",0.0786675691811993,5,211,11572,"(np.int64(1), np.int64(3), np.int64(4))"
3,"[np.int64(2), np.int64(3), np.int64(4)]",Animal Feed & Agricultural Byproducts + Raw Commodity Crops & Primary Processing + Fresh Foods & Dairy Products,0.07681821141436301,5,211,11527,"(np.int64(2), np.int64(3), np.int64(4))"
4,"[np.int64(0), np.int64(1), np.int64(2), np.int64(3)]","Processed Foods & Beverages + Livestock, Specialty Grains & Byproducts + Animal Feed & Agricultural Byproducts + Raw Commodity Crops & Primary Processing",0.0731655079208482,4,214,13131,"(np.int64(0), np.int64(1), np.int64(2), np.int64(3))"
4,"[np.int64(0), np.int64(1), np.int64(2), np.int64(4)]","Processed Foods & Beverages + Livestock, Specialty Grains & Byproducts + Animal Feed & Agricultural Byproducts + Fresh Foods & Dairy Products",0.07859165276655698,4,214,12683,"(np.int64(0), np.int64(1), np.int64(2), np.int64(4))"
4,"[np.int64(0), np.int64(1), np.int64(3), np.int64(4)]","Processed Foods & Beverages + Livestock, Specialty Grains & Byproducts + Raw Commodity Crops & Primary Processing + Fresh Foods & Dairy Products",0.06714690995177525,5,214,13671,"(np.int64(0), np.int64(1), np.int64(3), np.int64(4))"
4,"[np.int64(0), np.int64(2), np.int64(3), np.int64(4)]",Processed Foods & Beverages + Animal Feed & Agricultural Byproducts + Raw Commodity Crops & Primary Processing + Fresh Foods & Dairy Products,0.06828873641236402,5,214,13635,"(np.int64(0), np.int64(2), np.int64(3), np.int64(4))"
4,"[np.int64(1), np.int64(2), np.int64(3), np.int64(4)]","Livestock, Specialty Grains & Byproducts + Animal Feed & Agricultural Byproducts + Raw Commodity Crops & Primary Processing + Fresh Foods & Dairy Products",0.07706022846111979,5,211,11698,"(np.int64(1), np.int64(2), np.int64(3), np.int64(4))"
5,"[np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4)]",All Categories,0.06828089414452626,3,214,13736,"(np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4))"
