combo_size,categories,category_names,modularity,num_communities,num_nodes,num_edges,categories_str
1,[np.int64(0)],Processed Foods & Beverages,0.3614680916060786,5,214,11412,"(np.int64(0),)"
1,[np.int64(1)],"Livestock, Specialty Grains & Byproducts",0.39861077743668055,7,193,4548,"(np.int64(1),)"
1,[np.int64(2)],Animal Feed & Agricultural Byproducts,0.37188628813215463,7,184,2795,"(np.int64(2),)"
1,[np.int64(3)],Raw Commodity Crops & Primary Processing,0.26326700062036357,4,206,9245,"(np.int64(3),)"
1,[np.int64(4)],Fresh Foods & Dairy Products,0.4084522249865023,3,209,8870,"(np.int64(4),)"
2,"[np.int64(0), np.int64(1)]","Processed Foods & Beverages + Livestock, Specialty Grains & Byproducts",0.35892228278767757,6,214,11694,"(np.int64(0), np.int64(1))"
2,"[np.int64(0), np.int64(2)]",Processed Foods & Beverages + Animal Feed & Agricultural Byproducts,0.3607696905856287,6,214,11582,"(np.int64(0), np.int64(2))"
2,"[np.int64(0), np.int64(3)]",Processed Foods & Beverages + Raw Commodity Crops & Primary Processing,0.3139518013778488,5,214,12894,"(np.int64(0), np.int64(3))"
2,"[np.int64(0), np.int64(4)]",Processed Foods & Beverages + Fresh Foods & Dairy Products,0.3723002257061058,4,214,12390,"(np.int64(0), np.int64(4))"
2,"[np.int64(1), np.int64(2)]","Livestock, Specialty Grains & Byproducts + Animal Feed & Agricultural Byproducts",0.3934306660879886,7,197,5303,"(np.int64(1), np.int64(2))"
2,"[np.int64(1), np.int64(3)]","Livestock, Specialty Grains & Byproducts + Raw Commodity Crops & Primary Processing",0.257078425365566,5,207,9671,"(np.int64(1), np.int64(3))"
2,"[np.int64(1), np.int64(4)]","Livestock, Specialty Grains & Byproducts + Fresh Foods & Dairy Products",0.4004867154053835,3,210,9383,"(np.int64(1), np.int64(4))"
2,"[np.int64(2), np.int64(3)]",Animal Feed & Agricultural Byproducts + Raw Commodity Crops & Primary Processing,0.256563018604366,5,206,9524,"(np.int64(2), np.int64(3))"
2,"[np.int64(2), np.int64(4)]",Animal Feed & Agricultural Byproducts + Fresh Foods & Dairy Products,0.40689245925406525,4,210,9201,"(np.int64(2), np.int64(4))"
2,"[np.int64(3), np.int64(4)]",Raw Commodity Crops & Primary Processing + Fresh Foods & Dairy Products,0.3292565307959314,4,211,11382,"(np.int64(3), np.int64(4))"
3,"[np.int64(0), np.int64(1), np.int64(2)]","Processed Foods & Beverages + Livestock, Specialty Grains & Byproducts + Animal Feed & Agricultural Byproducts",0.3588991370768977,6,214,11823,"(np.int64(0), np.int64(1), np.int64(2))"
3,"[np.int64(0), np.int64(1), np.int64(3)]","Processed Foods & Beverages + Livestock, Specialty Grains & Byproducts + Raw Commodity Crops & Primary Processing",0.3143374859651404,5,214,13048,"(np.int64(0), np.int64(1), np.int64(3))"
3,"[np.int64(0), np.int64(1), np.int64(4)]","Processed Foods & Beverages + Livestock, Specialty Grains & Byproducts + Fresh Foods & Dairy Products",0.36972688019160566,5,214,12584,"(np.int64(0), np.int64(1), np.int64(4))"
3,"[np.int64(0), np.int64(2), np.int64(3)]",Processed Foods & Beverages + Animal Feed & Agricultural Byproducts + Raw Commodity Crops & Primary Processing,0.31267795752262795,5,214,12994,"(np.int64(0), np.int64(2), np.int64(3))"
3,"[np.int64(0), np.int64(2), np.int64(4)]",Processed Foods & Beverages + Animal Feed & Agricultural Byproducts + Fresh Foods & Dairy Products,0.37341285560238924,4,214,12516,"(np.int64(0), np.int64(2), np.int64(4))"
3,"[np.int64(0), np.int64(3), np.int64(4)]",Processed Foods & Beverages + Raw Commodity Crops & Primary Processing + Fresh Foods & Dairy Products,0.3428324760301505,4,214,13559,"(np.int64(0), np.int64(3), np.int64(4))"
3,"[np.int64(1), np.int64(2), np.int64(3)]","Livestock, Specialty Grains & Byproducts + Animal Feed & Agricultural Byproducts + Raw Commodity Crops & Primary Processing",0.27271204315826375,4,207,9886,"(np.int64(1), np.int64(2), np.int64(3))"
3,"[np.int64(1), np.int64(2), np.int64(4)]","Livestock, Specialty Grains & Byproducts + Animal Feed & Agricultural Byproducts + Fresh Foods & Dairy Products",0.4001013800549073,4,210,9621,"(np.int64(1), np.int64(2), np.int64(4))"
3,"[np.int64(1), np.int64(3), np.int64(4)]","Livestock, Specialty Grains & Byproducts + Raw Commodity Crops & Primary Processing + Fresh Foods & Dairy Products",0.33121037429155686,4,211,11572,"(np.int64(1), np.int64(3), np.int64(4))"
3,"[np.int64(2), np.int64(3), np.int64(4)]",Animal Feed & Agricultural Byproducts + Raw Commodity Crops & Primary Processing + Fresh Foods & Dairy Products,0.32971543713538914,4,211,11527,"(np.int64(2), np.int64(3), np.int64(4))"
4,"[np.int64(0), np.int64(1), np.int64(2), np.int64(3)]","Processed Foods & Beverages + Livestock, Specialty Grains & Byproducts + Animal Feed & Agricultural Byproducts + Raw Commodity Crops & Primary Processing",0.31777991606840045,6,214,13131,"(np.int64(0), np.int64(1), np.int64(2), np.int64(3))"
4,"[np.int64(0), np.int64(1), np.int64(2), np.int64(4)]","Processed Foods & Beverages + Livestock, Specialty Grains & Byproducts + Animal Feed & Agricultural Byproducts + Fresh Foods & Dairy Products",0.37009693970019536,4,214,12683,"(np.int64(0), np.int64(1), np.int64(2), np.int64(4))"
4,"[np.int64(0), np.int64(1), np.int64(3), np.int64(4)]","Processed Foods & Beverages + Livestock, Specialty Grains & Byproducts + Raw Commodity Crops & Primary Processing + Fresh Foods & Dairy Products",0.3387280277458541,3,214,13671,"(np.int64(0), np.int64(1), np.int64(3), np.int64(4))"
4,"[np.int64(0), np.int64(2), np.int64(3), np.int64(4)]",Processed Foods & Beverages + Animal Feed & Agricultural Byproducts + Raw Commodity Crops & Primary Processing + Fresh Foods & Dairy Products,0.34015350949398016,4,214,13635,"(np.int64(0), np.int64(2), np.int64(3), np.int64(4))"
4,"[np.int64(1), np.int64(2), np.int64(3), np.int64(4)]","Livestock, Specialty Grains & Byproducts + Animal Feed & Agricultural Byproducts + Raw Commodity Crops & Primary Processing + Fresh Foods & Dairy Products",0.33092706991493925,4,211,11698,"(np.int64(1), np.int64(2), np.int64(3), np.int64(4))"
5,"[np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4)]",All Categories,0.3250156385069831,3,214,13736,"(np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4))"
