Node,Occupation Centrality (Weighted),Occupation Centrality (Unweighted),Degree (Weighted),Degree (Unweighted)
Afghanistan,0.00149,0.00588,921263.0,165
Australia,0.01007,0.00863,38940476.0,267
Belgium,0.02146,0.00752,62768580.0,204
Brazil,0.00417,0.00777,78147503.0,185
Canada,0.02005,0.01268,63019787.0,309
China,0.06001,0.0061,117507220.0,119
"China,_Hong_Kong_SAR",0.04191,0.005,16670830.0,108
"China,_mainland",0.03913,0.01026,98485163.0,270
Denmark,0.00913,0.00637,25335217.0,208
France,0.03812,0.00702,110797453.0,212
Germany,0.05859,0.00802,144336249.0,168
India,0.0074,0.00916,27730342.0,243
Iran_(Islamic_Republic_of),0.00565,0.00997,10883285.0,264
Italy,0.03377,0.00758,76789861.0,158
Japan,0.05607,0.0151,63966522.0,315
Netherlands,0.0329,0.01385,122348938.0,307
Pakistan,0.00389,0.00544,7293708.0,157
Poland,0.01105,0.01235,28178790.0,304
Russian_Federation,0.02997,0.00715,37018460.0,171
Saudi_Arabia,0.03429,0.01058,17603402.0,272
Singapore,0.01364,0.00204,14850845.0,114
Spain,0.02032,0.00783,61668801.0,203
Sweden,0.00915,0.00488,14648549.0,146
Turkey,0.01186,0.01396,18801170.0,314
Ukraine,0.00654,0.00533,12093408.0,162
United_Kingdom,0.03609,0.0,77482492.0,29
United_States_of_America,0.07368,0.0,221123909.0,36
Colombia,0.00136,0.00409,10196838.0,68
Costa_Rica,0.00058,0.00986,5464789.0,225
Croatia,0.00216,0.00817,3241698.0,246
Israel,0.00414,0.0,6261288.0,15
Lithuania,0.00393,0.01062,5182658.0,264
Morocco,0.00309,0.00684,6462530.0,141
Norway,0.00447,0.00767,6097682.0,179
Syrian_Arab_Republic,0.01024,0.00852,4718076.0,183
Sri_Lanka,0.00298,0.01171,3474291.0,294
Armenia,0.00164,0.01358,817924.0,312
Belarus,0.00553,0.00246,3010429.0,43
Latvia,0.00253,0.00611,2667546.0,155
Barbados,0.00025,0.00785,333290.0,180
Bahrain,0.0058,0.00479,1423102.0,110
Jordan,0.01252,0.00725,2658978.0,196
Mauritius,0.00044,0.01231,1013768.0,292
Benin,0.00035,0.00693,749654.0,211
French_Polynesia,0.00029,0.00803,403768.0,218
Senegal,0.00059,0.01184,1322929.0,284
Austria,0.01084,0.01072,21939596.0,279
"China,_Taiwan_Province_of",0.01468,0.00474,11489519.0,135
Finland,0.00429,0.0064,6191746.0,192
Guatemala,0.00106,0.00487,5987702.0,68
Indonesia,0.01018,0.00579,45668769.0,111
Ireland,0.00767,0.01043,20977944.0,262
Lebanon,0.00786,0.00469,3134847.0,109
Malaysia,0.01128,0.0,40398466.0,61
Philippines,0.00426,0.00894,11461889.0,234
Republic_of_Korea,0.02022,0.0125,23265066.0,305
Switzerland,0.0083,0.0084,20013607.0,209
Thailand,0.00723,0.0,37409021.0,55
Albania,0.00109,0.01036,864584.0,270
Argentina,0.00064,0.0039,38718557.0,116
Bosnia_and_Herzegovina,0.00229,0.0,2066394.0,6
Bulgaria,0.00279,0.00846,5214966.0,163
Cameroon,0.00053,0.0,2124712.0,66
Congo,0.00016,0.00922,345467.0,258
C̫te_d'Ivoire,0.00071,0.0,7085563.0,40
Cyprus,0.00133,0.01213,1551628.0,286
Czech_Republic,0.00685,0.00662,13165740.0,214
Ecuador,0.00055,0.00785,6635400.0,115
Ethiopia,0.00112,0.01136,2514747.0,297
Greece,0.00602,0.00807,12180079.0,243
Hungary,0.0046,0.00567,11446331.0,187
Kenya,0.00267,0.01347,3698093.0,309
Kyrgyzstan,0.00166,0.00802,852081.0,155
Luxembourg,0.00166,0.00497,3839523.0,173
Malawi,0.00035,0.00997,1239008.0,257
Mexico,0.01148,0.00616,39152705.0,148
Montenegro,0.00052,0.0,543072.0,33
Nicaragua,0.00029,0.00854,2012994.0,208
Portugal,0.00577,0.00352,12964548.0,69
Republic_of_Moldova,0.00081,0.0,1204866.0,83
Romania,0.00442,0.00695,8290549.0,176
Serbia,0.00143,0.0065,3019344.0,106
Slovakia,0.00418,0.01062,6490452.0,270
Slovenia,0.00264,0.01113,3886564.0,285
The_former_Yugoslav_Republic_of_Macedonia,0.00076,0.0,1183679.0,25
Tunisia,0.00195,0.00981,2885556.0,266
Uganda,0.00092,0.00625,1243035.0,155
Venezuela_(Bolivarian_Republic_of),0.00235,0.00793,6244066.0,211
Bolivia_(Plurinational_State_of),0.0001,0.00657,1473133.0,153
Chile,0.00107,0.00707,14410177.0,167
