Node,Random Walk Closeness (Weighted),Random Walk Closeness (Unweighted)
Afghanistan,0.0020895650097348976,0.005546006198743899
Australia,0.009141143505640282,0.008441993538279425
Belgium,0.018986125312035435,0.007170152740969321
Brazil,0.004485142897805843,0.007243484447989196
Canada,0.017057725013276046,0.012173359207440495
China,0.05060997341912731,0.005330680609939271
"China,_Hong_Kong_SAR",0.026993070442234042,0.005056808975050688
"China,_mainland",0.032459839264804176,0.009419073675239045
Denmark,0.008226408066471883,0.006328756304443662
France,0.03497479347897314,0.006748546951936328
Germany,0.05000350156378543,0.007168416628557714
India,0.01034569969880598,0.008655239386334107
Iran_(Islamic_Republic_of),0.006213979392228551,0.009427989840314262
Italy,0.029512261974113753,0.006773793656306683
Japan,0.04422947258113833,0.013866568579312814
Netherlands,0.030767034177486805,0.012914411467636567
Pakistan,0.0048473773027902815,0.005163259404908047
Poland,0.009880226037374778,0.011826739203155039
Russian_Federation,0.027623599920425297,0.007004939980692955
Saudi_Arabia,0.028914095269536314,0.009591041638179502
Singapore,0.010261454939704574,0.0022688364231234544
Spain,0.01940693742119297,0.007457174170733436
Sweden,0.008691994570209487,0.004901555331930364
Turkey,0.011647863483343075,0.013391814492495619
Ukraine,0.006689967428756823,0.005446414768797951
United_Kingdom,0.03389995387793635,0.0007009345794392524
United_States_of_America,0.06417560918485203,0.0007009345794392524
Colombia,0.0024132944617729635,0.003996387822279526
Costa_Rica,0.00145558340767474,0.008969314825280246
Croatia,0.003086567572825776,0.007852259241223025
Israel,0.004147164541641081,0.0007009345794392524
Lithuania,0.00399155119239057,0.009291591015713961
Morocco,0.0032432398676241177,0.006523083652286192
Norway,0.0050175765957384535,0.006905759612936353
Syrian_Arab_Republic,0.008197706476268564,0.00803313419424106
Sri_Lanka,0.0028430727390308446,0.010921252511363532
Armenia,0.0022606793155954936,0.013015950259171197
Belarus,0.005372668615882805,0.002796144868448532
Latvia,0.002929387707131703,0.005886308457858741
Barbados,0.0015099765290340246,0.0073894575133039335
Bahrain,0.0050316494787927615,0.004920357552605095
Jordan,0.009894069357557187,0.006600342066997
Mauritius,0.001189679785195273,0.011106327430100458
Benin,0.001019371257429331,0.006268771592753255
French_Polynesia,0.0009665207393981646,0.0076704978771605144
Senegal,0.001245185680077439,0.010988969235948802
Austria,0.009634967270785074,0.009971478446085676
"China,_Taiwan_Province_of",0.011341028006212527,0.0046512428193932155
Finland,0.004901124528658968,0.0058185635331423815
Guatemala,0.0017605071564469866,0.004446829784734962
Indonesia,0.010792408482022635,0.00565574030201702
Ireland,0.007247523283271533,0.009750971241801104
Lebanon,0.006479360916685458,0.005363582549034193
Malaysia,0.01037088556423456,0.0007009345794392524
Philippines,0.004107695608572642,0.008412213558962307
Republic_of_Korea,0.016351457440015614,0.012144582741625207
Switzerland,0.008199269008316539,0.0072184107331492425
Thailand,0.006779812428326818,0.0007009345794392524
Albania,0.001722001737361902,0.009602811439234141
Argentina,0.001255879388336309,0.00424006595121098
Bosnia_and_Herzegovina,0.003402136387679941,0.0007009345794392524
Bulgaria,0.0031665545927089278,0.007688857810044459
Cameroon,0.0012867623617638492,0.0007009345794392524
Congo,0.0014536534692182056,0.009320111856133543
C̫te_d'Ivoire,0.0015818102624177593,0.0007009345794392524
Cyprus,0.001737340684375038,0.011527501137732408
Czech_Republic,0.006329593078416576,0.006209400157181279
Ecuador,0.0012650553582317344,0.006672516933199575
Ethiopia,0.0016216261945495253,0.011068125169395386
Greece,0.006057286783462568,0.007387308995419175
Hungary,0.004522021472628367,0.005575986595746377
Kenya,0.0029310235909357843,0.012893902825626883
Kyrgyzstan,0.0021422685871724566,0.0072008132518847435
Luxembourg,0.001914873203277133,0.004500582420311677
Malawi,0.0017618818442215398,0.009383478056390046
Mexico,0.009636357264244371,0.005842406846232666
Montenegro,0.0013115545264037558,0.0007009345794392524
Nicaragua,0.0010213992907573833,0.007797364128250646
Portugal,0.006745546759992213,0.003523078129080012
Republic_of_Moldova,0.0015042976780938566,0.0007009345794392524
Romania,0.004610187359575411,0.006538999698340069
Serbia,0.0021975543310426542,0.006631430467136851
Slovakia,0.003997228149324772,0.010288956421595387
Slovenia,0.0031689558491099093,0.010681662539314194
The_former_Yugoslav_Republic_of_Macedonia,0.001462931940717258,0.0007009345794392524
Tunisia,0.0024721599397547413,0.010180528166054262
Uganda,0.0014843247274852873,0.006004845519377894
Venezuela_(Bolivarian_Republic_of),0.0028270484674337874,0.00719370449706166
Bolivia_(Plurinational_State_of),0.0008010976059241794,0.00591116906539491
Chile,0.0019896226604883853,0.006534570684648521
El_Salvador,0.001494025537716302,0.006061318569429981
Estonia,0.0022666503953383183,0.006171637970785352
Fiji,0.0011199103707551067,0.004593191343990963
Georgia,0.002655923093643832,0.01050870457333991
Iceland,0.001222712826878198,0.006053580130873525
Jamaica,0.0019775254998902147,0.0041504774928682615
Madagascar,0.001047968175251312,0.006731935202470817
New_Zealand,0.0031191432148389518,0.003328780167740551
Peru,0.0017136020347349344,0.008689969549860573
South_Africa,0.004174525605949489,0.004706608064237455
Trinidad_and_Tobago,0.0018021947494124592,0.0032321328237955227
United_Republic_of_Tanzania,0.0017583269542020786,0.0029998885690818134
Zambia,0.0011034250716178038,0.0007009345794392524
Ghana,0.0020606647326416247,0.00909383130031222
Guyana,0.0011983326380223906,0.003660233629556762
Oman,0.005346059936208914,0.009387049731416422
Aruba,0.0011493768950305492,0.007880603250736784
Azerbaijan,0.0028363704242406304,0.0068842360687720126
Cambodia,0.0014412831533164184,0.0007009345794392524
"China,_Macao_SAR",0.013260286572476796,0.004043136032219188
Malta,0.0011881747550196123,0.0007009345794392524
Nepal,0.0011720637537390168,0.007127929728155106
New_Caledonia,0.000985272955261384,0.0007009345794392524
Niger,0.0010299699822325635,0.006413032399108465
Qatar,0.010093110362708473,0.0043410476763790515
Rwanda,0.0016609772634705558,0.0075221346050543415
Tonga,0.000783916197912353,0.005060366951029475
Vanuatu,0.0008385951151409116,0.0007009345794392524
Zimbabwe,0.004300439010003026,0.0007009345794392524
Burkina_Faso,0.0009587075319510583,0.0007009345794392524
Togo,0.0008243560913039681,0.0007009345794392524
Saint_Vincent_and_the_Grenadines,0.001021789307213747,0.007472927415216941
Bhutan,0.0007582017791938081,0.0063901905339511355
Maldives,0.0009154166543253496,0.0007009345794392524
Cabo_Verde,0.0008954245285609105,0.0007009345794392524
Suriname,0.0010969089017433431,0.008525608417377137
Belize,0.0008015102543712448,0.00859384038626839
Gambia,0.0012683193245410138,0.005611867132918335
Central_African_Republic,0.0008461137802033729,0.005499917043063351
Nigeria,0.0007230859760993736,0.00778079215280318
