Node,Random Walk Betweenness (Weighted),Random Walk Betweenness (Unweighted)
Afghanistan,0.02099036682095785,0.009395855412251686
Australia,0.021133202816762117,0.01725873539236121
Belgium,0.02478249559663276,0.010251252288814208
Brazil,0.007568777148874554,0.00959756880370552
Canada,0.06117036693580065,0.02787004500932653
China,0.007568777148874554,0.008391561490955893
"China,_Hong_Kong_SAR",0.035397326847899445,0.008343082545645288
"China,_mainland",0.007568777148874553,0.01816747661398697
Denmark,0.0075687771488745555,0.011649735347840412
France,0.013564564959852572,0.011403624583218959
Germany,0.016181356049066987,0.008525520718443645
India,0.0075687771488745555,0.012615727626092949
Iran_(Islamic_Republic_of),0.014159055152210344,0.01525369544262117
Italy,0.013316660085121317,0.008721396309651134
Japan,0.013856764679457845,0.032742123940761814
Netherlands,0.007568777148874552,0.033717600067293116
Pakistan,0.013435460059127295,0.009162789340511332
Poland,0.10593273603672443,0.025914904560806914
Russian_Federation,0.050439782722262655,0.00878523811451139
Saudi_Arabia,0.0075687771488745555,0.017672687426732746
Singapore,0.008547233557105873,0.008201019628538812
Spain,0.013360537054100301,0.009971008676350358
Sweden,0.05843715162854298,0.009066118834029246
Turkey,0.010200037190954657,0.0314053244173114
Ukraine,0.03298584407903876,0.009871015296142371
United_Kingdom,0.00866277624208386,0.002917818437102363
United_States_of_America,0.0076784695713220125,0.002917818437102364
Colombia,0.011550821021664775,0.007691286558252284
Costa_Rica,0.02437219370219238,0.011935439357793063
Croatia,0.08918678849901704,0.014242732308418968
Israel,0.0352970486872027,0.0029178184371023617
Lithuania,0.014858778841271928,0.014938701224164254
Morocco,0.02254038406466997,0.008667269499685897
Norway,0.10230098138153954,0.009183295175652282
Syrian_Arab_Republic,0.0075687771488745555,0.009164236693364747
Sri_Lanka,0.010192236840913955,0.024697238046138607
Armenia,0.041270346203214445,0.033620915139425556
Belarus,0.05819807925244283,0.007601710552614859
Latvia,0.019516057925956568,0.009942840946762779
Barbados,0.02960432536910094,0.009631010567505866
Bahrain,0.1314893693760352,0.00836231789473833
Jordan,0.010451546245280614,0.009701849605046307
Mauritius,0.022636471168786556,0.021958511227521172
Benin,0.01269479427304885,0.009746642641327444
French_Polynesia,0.10864152569430968,0.011377211146194346
Senegal,0.10727339270843288,0.02353068517281105
Austria,0.04488970862210299,0.02002800138260505
"China,_Taiwan_Province_of",0.06689583299758368,0.008771206604968065
Finland,0.030448387799973945,0.009437289471734178
Guatemala,0.01891837083689131,0.007581158929470711
Indonesia,0.007568777148874555,0.008098568232639878
Ireland,0.03518917241768368,0.01777777231519594
Lebanon,0.05612780311016457,0.010738204455915338
Malaysia,0.007700408055811505,0.0029178184371023656
Philippines,0.021938422757825156,0.013480089263842521
Republic_of_Korea,0.15163709895182845,0.027465356695068638
Switzerland,0.007722346540300994,0.013252097525534405
Thailand,0.007568777148874555,0.0029178184371023643
Albania,0.03913345745318893,0.02410115828040498
Argentina,0.007664018029951951,0.008344229859464775
Bosnia_and_Herzegovina,0.07159472933133589,0.002917818437102365
Bulgaria,0.008887036305754221,0.009091329567076492
Cameroon,0.05509137871912651,0.0029178184371023643
Congo,0.04463697272700827,0.021742093810370736
C̫te_d'Ivoire,0.042260191312448785,0.002917818437102364
Cyprus,0.1241293112525178,0.025850355963473362
Czech_Republic,0.02103103216042534,0.011001104217358067
Ecuador,0.0075687771488745555,0.007762974979862863
Ethiopia,0.07087009904569468,0.023140050962349223
Greece,0.008437541134658418,0.013727419452639548
Hungary,0.01816575358104909,0.010860866424650555
Kenya,0.054287073185980646,0.03204281483932231
Kyrgyzstan,0.017706441005111533,0.00905485611534026
Luxembourg,0.04232980088910061,0.00815173823116123
Malawi,0.035011836334726945,0.017001829891575324
Mexico,0.02622504117502142,0.008532624164268345
Montenegro,0.06838259683461738,0.0029178184371023634
Nicaragua,0.04067007149802991,0.010275911303811109
Portugal,0.01441343966024761,0.0076453558974795294
Republic_of_Moldova,0.025143000613581108,0.0029178184371023643
Romania,0.014864054524446784,0.009627458995178221
Serbia,0.05170670743265188,0.00883136030310594
Slovakia,0.02141819417717799,0.018228079794454503
Slovenia,0.010575185275724965,0.023033994762628237
The_former_Yugoslav_Republic_of_Macedonia,0.028385839439544848,0.0029178184371023656
Tunisia,0.026684226026071494,0.021098862468303645
Uganda,0.033508989876635004,0.009107322441697561
Venezuela_(Bolivarian_Republic_of),0.02664896202476827,0.009850485038395083
Bolivia_(Plurinational_State_of),0.03510892015564913,0.00810416675684089
Chile,0.007568777148874556,0.008379162344737803
El_Salvador,0.00836002515612888,0.009569829835216564
Estonia,0.022372413783497108,0.008670228578813766
