Node,Degree Centrality,Neighborhood Centrality,Connective Redundancy,Exclusive Neighborhood,Relevance,Exclusive Relevance
Afghanistan,0.02185792349726776,337,0.75,0,0.0,0.0
Australia,0.4098360655737705,3154,0.41497584541062804,0,0.0,0.0
Austria,0.273224043715847,2140,0.4397849462365591,0,0.0,0.0
Belgium,0.5792349726775956,3881,0.35430988894764676,0,0.0,0.0
Brazil,0.366120218579235,3464,0.4151020408163265,1,0.02,0.00546448087431694
Canada,0.47540983606557374,3064,0.4518002322880372,0,0.0,0.0
China,0.8743169398907104,3756,0.24305835010060362,0,0.0,0.0
"China,_Hong_Kong_SAR",0.33879781420765026,1426,0.6102941176470589,0,0.0,0.0
"China,_mainland",0.73224043715847,3870,0.2591549295774648,0,0.0,0.0
"China,_Taiwan_Province_of",0.39344262295081966,1701,0.45652173913043476,0,0.0,0.0
Denmark,0.34972677595628415,2909,0.37790697674418605,0,0.0,0.0
Egypt,0.15300546448087432,2202,0.5,0,0.0,0.0
Finland,0.22950819672131148,1664,0.5526315789473685,0,0.0,0.0
France,0.7103825136612022,4115,0.2842465753424658,1,0.0136986301369863,0.00546448087431694
Germany,0.6885245901639344,4042,0.31957857769973663,0,0.0,0.0
Guatemala,0.03825136612021858,21,0.0,0,0.0,0.0
India,0.7704918032786885,3429,0.3762699564586357,0,0.0,0.0
Indonesia,0.4262295081967213,2970,0.5163584637268848,0,0.0,0.0
Iran_(Islamic_Republic_of),0.3333333333333333,1997,0.6038961038961039,0,0.0,0.0
Iraq,0.0273224043715847,473,0.55,0,0.0,0.0
Ireland,0.2568306010928962,2109,0.5616666666666666,0,0.0,0.0
Italy,0.8907103825136612,4369,0.2920369104579631,0,0.0,0.0
Japan,0.3989071038251366,2765,0.6048387096774194,0,0.0,0.0
Kazakhstan,0.04918032786885246,788,0.625,0,0.0,0.0
Lebanon,0.19672131147540983,1504,0.46842105263157896,0,0.0,0.0
Malaysia,0.5573770491803278,3155,0.42995169082125606,0,0.0,0.0
Netherlands,0.6338797814207651,4074,0.30605285592497866,0,0.0,0.0
Pakistan,0.48633879781420764,1627,0.5263157894736842,0,0.0,0.0
Philippines,0.41530054644808745,2027,0.6066666666666667,0,0.0,0.0
Poland,0.32786885245901637,2661,0.46746031746031746,0,0.0,0.0
Republic_of_Korea,0.26229508196721313,2039,0.6159420289855072,0,0.0,0.0
Russian_Federation,0.33879781420765026,1756,0.39692307692307693,0,0.0,0.0
Saudi_Arabia,0.2896174863387978,805,0.5444444444444444,0,0.0,0.0
Singapore,0.34972677595628415,1978,0.5138461538461538,0,0.0,0.0
Spain,0.4972677595628415,3570,0.365993265993266,0,0.0,0.0
Sweden,0.3005464480874317,2436,0.6108374384236454,0,0.0,0.0
Switzerland,0.5081967213114754,2614,0.6699507389162561,0,0.0,0.0
Tajikistan,0.02185792349726776,455,0.8333333333333334,0,0.0,0.0
Thailand,0.5901639344262295,2806,0.4649122807017544,0,0.0,0.0
Turkey,0.546448087431694,2651,0.4196696696696697,0,0.0,0.0
Turkmenistan,0.0273224043715847,486,0.7,0,0.0,0.0
Ukraine,0.18579234972677597,1926,0.49818840579710144,0,0.0,0.0
United_Arab_Emirates,0.15846994535519127,1608,0.29679802955665024,0,0.0,0.0
United_Kingdom,0.5737704918032787,3945,0.3420378904249872,0,0.0,0.0
United_States_of_America,0.8852459016393442,4200,0.2729824561403509,1,0.013157894736842105,0.00546448087431694
Uzbekistan,0.04371584699453552,841,0.7678571428571429,0,0.0,0.0
Viet_Nam,0.13114754098360656,2071,0.625,0,0.0,0.0
Albania,0.12021857923497267,411,0.65,0,0.0,0.0
Argentina,0.29508196721311475,2535,0.6354679802955665,0,0.0,0.0
Bahamas,0.00546448087431694,20,0.0,0,0.0,0.0
Bosnia_and_Herzegovina,0.09836065573770492,611,0.6428571428571429,0,0.0,0.0
Bulgaria,0.24043715846994534,2068,0.4686609686609687,0,0.0,0.0
Cabo_Verde,0.00546448087431694,0,0.0,0,0.0,0.0
Cameroon,0.09836065573770492,751,0.5476190476190477,0,0.0,0.0
Colombia,0.12568306010928962,1582,0.5964912280701754,0,0.0,0.0
Congo,0.0546448087431694,488,0.43333333333333335,0,0.0,0.0
Costa_Rica,0.07650273224043716,660,0.5952380952380952,0,0.0,0.0
C̫te_d'Ivoire,0.09836065573770492,713,0.3888888888888889,0,0.0,0.0
