source,target
113,26
13,88
44,155
173,40
71,29
90,42
29,32
48,45
6,48
92,88
9,90
83,39
124,40
69,104
14,168
129,155
41,42
127,45
25,34
85,48
30,112
71,150
117,37
7,165
103,102
120,42
39,117
59,32
4,96
78,45
23,109
97,58
212,45
157,109
36,48
96,99
113,39
154,40
44,168
30,4
71,42
76,120
29,45
15,110
122,7
18,115
37,165
207,51
152,115
105,40
64,2
69,117
55,182
22,5
108,45
27,120
187,109
66,48
11,112
30,125
184,40
84,102
29,166
15,2
101,5
6,182
18,7
4,109
45,110
59,45
119,59
78,58
193,8
17,48
143,187
110,10
96,112
94,2
25,168
11,4
52,5
98,121
10,8
54,51
18,128
119,180
45,2
31,67
105,53
91,118
36,182
3,5
22,18
108,58
8,120
75,110
173,187
11,125
140,10
181,11
167,113
98,13
82,5
101,18
1,80
40,8
193,21
58,62
163,115
22,139
75,2
94,15
61,67
66,182
33,5
52,18
93,19
79,121
98,134
10,21
170,10
211,11
114,78
119,193
67,3
12,67
31,80
17,182
191,69
70,8
3,18
89,21
88,62
52,139
126,88
5,27
79,13
65,78
63,5
82,18
68,83
109,121
21,8
40,21
155,8
100,72
26,86
3,139
42,67
61,80
176,67
135,29
33,18
74,19
19,83
93,32
32,22
51,35
35,27
150,14
109,13
169,27
114,91
100,193
95,78
67,16
12,80
153,19
213,70
158,134
70,21
89,34
9,11
47,37
33,139
5,40
46,78
65,91
51,156
63,18
104,19
49,83
109,134
68,96
169,148
62,22
7,86
81,35
26,99
141,86
86,150
180,14
125,78
199,27
42,80
102,94
47,158
74,32
19,96
160,35
13,22
32,35
51,48
16,27
35,40
150,27
95,91
81,156
134,19
153,32
172,45
39,159
213,83
92,22
37,86
111,35
171,86
28,37
14,102
148,102
187,30
132,94
32,156
104,32
62,35
7,99
81,48
180,27
39,51
125,91
4,30
28,158
96,33
146,150
60,110
13,35
25,89
44,102
118,51
16,40
2,105
76,54
62,156
136,105
122,170
134,32
34,94
139,110
125,212
92,35
37,99
152,49
69,51
110,52
14,115
55,116
27,54
13,156
30,59
84,36
29,100
103,49
6,116
166,105
105,95
110,173
22,60
55,8
25,102
99,51
44,115
30,180
57,54
43,119
117,105
76,67
84,157
15,57
18,62
64,178
31,1
17,103
50,51
36,116
91,52
8,54
168,6
11,59
52,60
126,9
186,60
43,11
84,49
103,62
15,178
1,14
87,54
73,119
45,57
119,6
64,70
105,108
91,173
3,60
77,9
22,73
121,52
80,14
66,116
11,180
30,193
167,168
79,55
198,6
98,68
184,108
170,173
82,60
15,70
115,8
156,9
101,73
73,11
18,75
59,113
45,178
12,1
31,14
17,116
135,71
176,109
168,19
33,60
107,9
52,73
126,22
24,11
10,76
156,130
68,17
109,55
183,4
100,6
45,70
141,7
58,9
3,73
89,76
77,22
42,1
61,14
80,27
33,181
47,79
19,17
79,68
63,60
82,73
156,22
142,124
101,86
21,63
54,11
40,76
155,63
114,25
12,14
72,28
58,130
130,6
171,7
75,70
135,84
80,148
88,9
107,22
148,23
93,87
65,25
10,89
51,90
49,17
68,30
109,68
183,17
169,82
114,146
26,33
67,71
86,84
31,148
70,76
130,127
42,14
83,15
28,79
102,28
47,92
181,92
19,30
146,71
5,95
46,133
60,31
63,73
137,22
21,76
95,25
40,89
81,90
155,76
34,15
139,31
125,133
213,17
56,33
116,84
61,148
47,213
14,36
129,23
74,87
148,36
93,100
113,15
46,25
32,90
49,30
90,31
35,95
16,82
150,82
7,33
67,84
34,136
125,25
166,26
111,90
9,79
28,92
14,157
148,157
41,31
60,44
5,108
146,84
46,146
25,23
44,36
159,23
2,39
62,90
136,39
81,103
34,28
180,82
125,146
139,44
37,33
78,34
23,98
28,213
14,49
96,88
160,103
113,28
13,90
44,157
32,103
173,42
71,31
16,95
90,44
35,108
76,109
29,34
92,90
152,104
