Node,Degree Centrality,Neighborhood Centrality,Connective Redundancy,Exclusive Neighborhood,Relevance,Exclusive Relevance
Afghanistan,0.3269230769230769,5926,0.8598790322580645,0,0.0,0.0
Australia,1.0,14237,0.5259522031366691,0,0.0,0.0
Austria,0.8509615384615385,13235,0.5948717948717949,0,0.0,0.0
Belgium,1.139423076923077,15725,0.4604158336665334,0,0.0,0.0
Brazil,0.8942307692307693,15717,0.47513774104683193,0,0.0,0.0
Canada,1.2451923076923077,16016,0.4624516129032258,0,0.0,0.0
China,1.1442307692307694,15539,0.42100987376577925,0,0.0,0.0
"China,_Hong_Kong_SAR",0.8653846153846154,11254,0.4835841313269494,0,0.0,0.0
"China,_mainland",1.0528846153846154,16080,0.4306499701848539,0,0.0,0.0
"China,_Taiwan_Province_of",0.7307692307692308,11154,0.5897129186602871,0,0.0,0.0
Denmark,1.0144230769230769,15526,0.4793476712718986,0,0.0,0.0
Egypt,0.5384615384615385,15241,0.5225225225225225,0,0.0,0.0
Finland,0.6153846153846154,11510,0.7241448692152918,0,0.0,0.0
France,1.2451923076923077,16016,0.4340479651162791,0,0.0,0.0
Germany,1.153846153846154,15937,0.4507301587301587,0,0.0,0.0
Guatemala,0.4567307692307693,7664,0.6526530612244898,0,0.0,0.0
India,0.9759615384615385,15406,0.47080188007406354,0,0.0,0.0
Indonesia,0.7115384615384616,11684,0.5302521008403361,0,0.0,0.0
Iran_(Islamic_Republic_of),0.7836538461538461,12561,0.5858059342421812,0,0.0,0.0
Iraq,0.038461538461538464,1461,0.8928571428571429,0,0.0,0.0
Ireland,0.875,14542,0.5003397893306151,0,0.0,0.0
Italy,1.1778846153846154,16003,0.43332122093023256,0,0.0,0.0
Japan,0.9038461538461539,13581,0.5288600288600288,0,0.0,0.0
Kazakhstan,0.19711538461538464,6632,0.748780487804878,0,0.0,0.0
Lebanon,0.7692307692307693,10074,0.608647936786655,0,0.0,0.0
Malaysia,0.9278846153846154,14004,0.5074682598954443,0,0.0,0.0
Netherlands,1.1923076923076923,16000,0.4402682086614173,0,0.0,0.0
Pakistan,0.8221153846153847,13962,0.527179188507086,0,0.0,0.0
Philippines,0.6009615384615385,9294,0.6556497175141243,0,0.0,0.0
Poland,0.951923076923077,14695,0.5436657681940701,0,0.0,0.0
Republic_of_Korea,0.7788461538461539,12543,0.5765838011226945,0,0.0,0.0
Russian_Federation,0.9326923076923077,13001,0.6329858326650628,0,0.0,0.0
Saudi_Arabia,0.7211538461538461,9309,0.5440976933514247,0,0.0,0.0
Singapore,0.8701923076923077,12385,0.47928331466965285,0,0.0,0.0
Spain,1.1153846153846154,16016,0.4700367164961972,0,0.0,0.0
Sweden,0.8557692307692308,12621,0.6335341365461847,0,0.0,0.0
Switzerland,1.1201923076923077,15233,0.46083179034325594,0,0.0,0.0
Tajikistan,0.04807692307692308,1450,0.8,0,0.0,0.0
Thailand,0.9663461538461539,16228,0.43858079904591535,0,0.0,0.0
Turkey,0.9711538461538463,15128,0.5037926675094817,0,0.0,0.0
Turkmenistan,0.038461538461538464,1122,0.6607142857142857,0,0.0,0.0
Ukraine,0.9038461538461539,13325,0.5447368421052632,0,0.0,0.0
United_Arab_Emirates,0.46634615384615385,13135,0.5149269759450171,0,0.0,0.0
United_Kingdom,1.2548076923076923,15823,0.4518064516129032,0,0.0,0.0
United_States_of_America,1.2259615384615385,16107,0.42530827950675276,0,0.0,0.0
Uzbekistan,0.20673076923076925,7151,0.7718715393133998,0,0.0,0.0
Viet_Nam,0.4807692307692308,13513,0.5106060606060606,0,0.0,0.0
Albania,0.44711538461538464,4689,0.8492063492063492,0,0.0,0.0
Argentina,0.8173076923076924,15851,0.48381542699724517,0,0.0,0.0
Bahamas,0.028846153846153848,1041,0.6666666666666666,0,0.0,0.0
Bosnia_and_Herzegovina,0.5336538461538461,5460,0.8336693548387096,0,0.0,0.0
Bulgaria,0.7403846153846154,12873,0.6576305220883534,0,0.0,0.0
Cabo_Verde,0.16826923076923078,233,0.0,0,0.0,0.0
Cameroon,0.3701923076923077,2959,0.775,0,0.0,0.0
Colombia,0.5865384615384616,9732,0.6329326923076923,0,0.0,0.0
Comoros,0.009615384615384616,166,0.0,0,0.0,0.0
Congo,0.25480769230769235,724,0.75,0,0.0,0.0
Costa_Rica,0.5480769230769231,9689,0.6388888888888888,0,0.0,0.0
C̫te_d'Ivoire,0.4807692307692308,3577,0.6105072463768116,0,0.0,0.0
Croatia,0.6538461538461539,8713,0.8074509803921569,0,0.0,0.0
Cuba,0.17307692307692307,6171,0.7380952380952381,0,0.0,0.0
Cyprus,0.6490384615384616,11049,0.6971014492753623,0,0.0,0.0
Czech_Republic,0.7451923076923077,11861,0.6601731601731602,0,0.0,0.0
Dominica,0.057692307692307696,1837,0.696969696969697,0,0.0,0.0
Dominican_Republic,0.1875,6248,0.680161943319838,0,0.0,0.0
Ecuador,0.39903846153846156,7490,0.6891766882516188,0,0.0,0.0
Ethiopia,0.5528846153846154,8696,0.7473604826546003,0,0.0,0.0
Greece,0.8653846153846154,13832,0.5745274914089347,0,0.0,0.0
Hungary,0.701923076923077,12805,0.6610728628800918,0,0.0,0.0
Israel,0.7307692307692308,12301,0.6510802469135802,0,0.0,0.0
Kenya,0.5625,8387,0.6353535353535353,0,0.0,0.0
Kyrgyzstan,0.42307692307692313,6220,0.8130630630630631,0,0.0,0.0
Lithuania,0.6971153846153847,11755,0.6259331385913665,0,0.0,0.0
Luxembourg,0.3557692307692308,6753,0.7398373983739838,0,0.0,0.0
Malawi,0.34134615384615385,5240,0.7873563218390804,0,0.0,0.0
Mexico,0.7548076923076924,12894,0.6125367548783748,0,0.0,0.0
Montenegro,0.3894230769230769,2671,0.9041666666666667,0,0.0,0.0
Morocco,0.7788461538461539,13186,0.5745341614906833,0,0.0,0.0
Nicaragua,0.32211538461538464,4592,0.7288359788359788,0,0.0,0.0
Norway,0.7692307692307693,8898,0.6936026936026936,0,0.0,0.0
Panama,0.25480769230769235,7745,0.6063134978229318,0,0.0,0.0
Portugal,0.8509615384615385,12606,0.5529338327091136,0,0.0,0.0
Republic_of_Moldova,0.5528846153846154,6131,0.771255060728745,0,0.0,0.0
Romania,0.7211538461538461,11251,0.6983568075117371,0,0.0,0.0
Sao_Tome_and_Principe,0.014423076923076924,477,1.0,0,0.0,0.0
Serbia,0.6105769230769231,8449,0.8008163265306123,0,0.0,0.0
Slovakia,0.5288461538461539,8994,0.7602693602693603,0,0.0,0.0
Slovenia,0.5048076923076923,8181,0.7372549019607844,0,0.0,0.0
Syrian_Arab_Republic,0.6875,12604,0.6546221017765733,0,0.0,0.0
The_former_Yugoslav_Republic_of_Macedonia,0.5288461538461539,7705,0.8323232323232324,0,0.0,0.0
Tunisia,0.6009615384615385,10294,0.6585081585081585,0,0.0,0.0
Uganda,0.375,3900,0.7065217391304348,0,0.0,0.0
Unspecified,0.28365384615384615,8194,0.5447106954997077,0,0.0,0.0
Venezuela_(Bolivarian_Republic_of),0.3942307692307693,4892,0.8323076923076923,0,0.0,0.0
Bolivia_(Plurinational_State_of),0.34615384615384615,6305,0.7300944669365722,0,0.0,0.0
Chile,0.7884615384615385,14942,0.5326197757390418,0,0.0,0.0
El_Salvador,0.27403846153846156,2905,0.7757352941176471,0,0.0,0.0
Estonia,0.46634615384615385,7254,0.8066202090592335,0,0.0,0.0
Fiji,0.25480769230769235,1779,0.6090909090909091,0,0.0,0.0
Georgia,0.38461538461538464,2133,0.6333333333333333,0,0.0,0.0
Honduras,0.19711538461538464,6266,0.6609756097560976,0,0.0,0.0
Iceland,0.5384615384615385,5128,0.7344827586206897,0,0.0,0.0
Jamaica,0.3701923076923077,2642,0.5964912280701754,0,0.0,0.0
Madagascar,0.3653846153846154,5288,0.7574712643678161,0,0.0,0.0
New_Zealand,0.9038461538461539,14938,0.4906763590391909,0,0.0,0.0
Papua_New_Guinea,0.03365384615384616,978,0.7380952380952381,0,0.0,0.0
Paraguay,0.27884615384615385,9175,0.6702964307320024,0,0.0,0.0
Peru,0.6538461538461539,12868,0.568414481897628,0,0.0,0.0
South_Africa,0.9903846153846154,14945,0.4916245259165613,0,0.0,0.0
Sri_Lanka,0.4951923076923077,6979,0.7398373983739838,0,0.0,0.0
Sudan_(former),0.08173076923076923,2329,0.5625,0,0.0,0.0
Trinidad_and_Tobago,0.4134615384615385,1664,0.6318681318681318,0,0.0,0.0
United_Republic_of_Tanzania,0.40384615384615385,5262,0.7268145161290323,0,0.0,0.0
Uruguay,0.4807692307692308,13670,0.5212121212121212,0,0.0,0.0
Zambia,0.28365384615384615,2705,0.7254901960784313,0,0.0,0.0
Armenia,0.46153846153846156,5030,0.8226600985221675,0,0.0,0.0
Belarus,0.639423076923077,7045,0.778164924506388,0,0.0,0.0
Central_African_Republic,0.17307692307692307,425,0.1,0,0.0,0.0
Ghana,0.4903846153846154,4606,0.5989247311827957,0,0.0,0.0
Guyana,0.2980769230769231,2362,0.6857142857142857,0,0.0,0.0
Latvia,0.514423076923077,7987,0.7653061224489796,0,0.0,0.0
Mali,0.08173076923076923,2286,0.5367647058823529,0,0.0,0.0
Nauru,0.014423076923076924,422,0.6666666666666666,0,0.0,0.0
Nigeria,0.20192307692307693,5071,0.6733870967741935,0,0.0,0.0
Oman,0.4711538461538462,3917,0.6815384615384615,0,0.0,0.0
Sierra_Leone,0.038461538461538464,1449,0.8214285714285714,0,0.0,0.0
Aruba,0.23076923076923078,309,0.3333333333333333,0,0.0,0.0
Barbados,0.32211538461538464,1617,0.7196969696969697,0,0.0,0.0
Netherlands_Antilles,0.07692307692307693,1828,0.4166666666666667,0,0.0,0.0
Suriname,0.2644230769230769,1401,0.6,0,0.0,0.0
American_Samoa,0.004807692307692308,25,0.0,0,0.0,0.0
Antigua_and_Barbuda,0.0625,1370,0.38461538461538464,0,0.0,0.0
Azerbaijan,0.37980769230769235,2273,0.6571428571428571,0,0.0,0.0
Bahrain,0.5,2351,0.8047619047619048,0,0.0,0.0
Bangladesh,0.20192307692307693,6839,0.7142857142857143,0,0.0,0.0
Belize,0.2980769230769231,3863,0.7391304347826086,0,0.0,0.0
Bermuda,0.004807692307692308,152,0.0,0,0.0,0.0
Botswana,0.17307692307692307,1642,0.8055555555555556,0,0.0,0.0
Cambodia,0.3317307692307693,4851,0.8753846153846154,0,0.0,0.0
"China,_Macao_SAR",0.16346153846153846,1863,0.9,0,0.0,0.0
Democratic_People's_Republic_of_Korea,0.038461538461538464,1234,0.5535714285714286,0,0.0,0.0
Democratic_Republic_of_the_Congo,0.05288461538461539,1586,0.6454545454545455,0,0.0,0.0
Djibouti,0.03365384615384616,1371,0.9523809523809523,0,0.0,0.0
Eritrea,0.004807692307692308,104,0.0,0,0.0,0.0
Guinea,0.038461538461538464,1569,0.7857142857142857,0,0.0,0.0
Jordan,0.6730769230769231,10349,0.7383512544802867,0,0.0,0.0
Lao_People's_Democratic_Republic,0.07211538461538462,2873,0.819047619047619,0,0.0,0.0
Malta,0.4134615384615385,4973,0.7310344827586207,0,0.0,0.0
