Node,Degree Centrality,Neighborhood Centrality,Connective Redundancy,Exclusive Neighborhood,Relevance,Exclusive Relevance
Afghanistan,0.4460093896713615,10566,0.8808080808080808,0,0.0,0.0
Australia,1.3427230046948357,23665,0.6682660269225643,0,0.0,0.0
Belgium,1.3708920187793427,24050,0.6276041666666666,0,0.0,0.0
Brazil,1.1408450704225352,24237,0.6365067829457365,0,0.0,0.0
Canada,1.4413145539906103,24242,0.6374757751937985,0,0.0,0.0
China,1.4647887323943662,23342,0.602300688976378,0,0.0,0.0
"China,_Hong_Kong_SAR",1.267605633802817,22915,0.6361604118683105,0,0.0,0.0
"China,_mainland",1.4272300469483568,24128,0.6133881385789782,0,0.0,0.0
Denmark,1.2065727699530517,23824,0.6441269841269841,0,0.0,0.0
France,1.4741784037558685,24559,0.6152882205513784,0,0.0,0.0
Germany,1.431924882629108,24183,0.625283243887895,0,0.0,0.0
India,1.3380281690140845,23981,0.6343503937007874,0,0.0,0.0
Iran_(Islamic_Republic_of),0.9624413145539906,21616,0.717982000692281,0,0.0,0.0
Italy,1.3943661971830987,24219,0.6174398120963006,0,0.0,0.0
Japan,1.3333333333333333,23515,0.6488985051140834,0,0.0,0.0
Netherlands,1.4507042253521127,24134,0.6228980322003578,0,0.0,0.0
Pakistan,1.0985915492957747,22931,0.6906130268199234,0,0.0,0.0
Poland,1.23943661971831,23499,0.6680666576344668,0,0.0,0.0
Russian_Federation,1.23943661971831,22861,0.6996251874062969,0,0.0,0.0
Saudi_Arabia,0.9671361502347418,19196,0.7078947368421052,0,0.0,0.0
Singapore,1.1549295774647887,23725,0.6380317460317461,0,0.0,0.0
Spain,1.3568075117370892,24374,0.6339296362552177,0,0.0,0.0
Sweden,1.2300469483568075,22923,0.6903919834954317,0,0.0,0.0
Turkey,1.267605633802817,23507,0.6465381589299763,0,0.0,0.0
Ukraine,1.1408450704225352,21347,0.7219227313566936,0,0.0,0.0
United_Kingdom,1.4507042253521127,24250,0.6099352301642378,0,0.0,0.0
United_States_of_America,1.4788732394366197,24244,0.609588248901226,0,0.0,0.0
Colombia,1.0046948356807512,23067,0.6857163552078807,0,0.0,0.0
Costa_Rica,0.9014084507042254,21437,0.7171574678187268,0,0.0,0.0
Croatia,0.9859154929577465,16533,0.8676416142169567,0,0.0,0.0
Israel,0.9859154929577465,20365,0.732970297029703,0,0.0,0.0
Lithuania,0.9248826291079812,19729,0.7768245252802563,0,0.0,0.0
Morocco,1.023474178403756,20694,0.7459405940594059,0,0.0,0.0
Norway,1.1267605633802817,20442,0.7709867452135494,0,0.0,0.0
Syrian_Arab_Republic,0.8967136150234742,20070,0.7806270996640537,0,0.0,0.0
Sri_Lanka,0.9812206572769954,22869,0.697376311844078,0,0.0,0.0
Armenia,0.7230046948356808,11074,0.9371980676328503,0,0.0,0.0
Belarus,0.8591549295774648,13327,0.9038112522686026,0,0.0,0.0
Latvia,0.784037558685446,16910,0.8747747747747747,0,0.0,0.0
Barbados,0.5962441314553991,8567,0.7897435897435897,0,0.0,0.0
Bahrain,0.7183098591549296,8708,0.9159159159159159,0,0.0,0.0
Jordan,0.8497652582159625,16425,0.8654870624048706,0,0.0,0.0
Mauritius,0.8403755868544601,15878,0.817351598173516,0,0.0,0.0
Benin,0.4647887323943662,8256,0.9243697478991597,0,0.0,0.0
French_Polynesia,0.539906103286385,6808,0.9538461538461539,0,0.0,0.0
Senegal,0.727699530516432,11826,0.80083857442348,0,0.0,0.0
Austria,1.1690140845070423,23030,0.6625350140056022,0,0.0,0.0
"China,_Taiwan_Province_of",1.2488262910798122,22352,0.6697151424287856,0,0.0,0.0
Finland,0.9577464788732395,19648,0.7916082281439926,0,0.0,0.0
Guatemala,0.8075117370892019,20210,0.7648195876288659,0,0.0,0.0
Indonesia,1.267605633802817,23908,0.6584516129032258,0,0.0,0.0
Ireland,1.1408450704225352,23731,0.6491612903225806,0,0.0,0.0
Lebanon,1.056338028169014,19159,0.7571294997662459,0,0.0,0.0
Malaysia,1.2535211267605635,24247,0.6268336314847943,0,0.0,0.0
Philippines,0.9953051643192489,22602,0.7067225586089116,0,0.0,0.0
Republic_of_Korea,1.2535211267605635,23146,0.6715686274509803,0,0.0,0.0
Switzerland,1.380281690140845,24163,0.6238521168753727,0,0.0,0.0
Thailand,1.2769953051643192,24371,0.6240751614797416,0,0.0,0.0
Albania,0.7417840375586855,13211,0.8287551139684395,0,0.0,0.0
Argentina,1.0610328638497653,23850,0.666338840807763,0,0.0,0.0
Bosnia_and_Herzegovina,0.7652582159624414,10277,0.9001057082452432,0,0.0,0.0
Bulgaria,0.9906103286384976,21671,0.7332921883265738,0,0.0,0.0
Cameroon,0.755868544600939,15715,0.8544513457556936,0,0.0,0.0
Congo,0.5305164319248826,11498,0.9116558741905643,0,0.0,0.0
C̫te_d'Ivoire,0.9201877934272301,19848,0.7699888017917134,0,0.0,0.0
Cyprus,0.8873239436619719,19045,0.7684981684981685,0,0.0,0.0
Czech_Republic,1.0892018779342723,21240,0.7451456310679612,0,0.0,0.0
Ecuador,0.8122065727699531,21267,0.7506534727408514,0,0.0,0.0
Ethiopia,0.8262910798122066,19029,0.8354717989842289,0,0.0,0.0
Greece,1.1267605633802817,21951,0.7431637244721356,0,0.0,0.0
Hungary,0.9530516431924883,20464,0.7878006872852233,0,0.0,0.0
Kenya,0.9765258215962441,21529,0.7366576819407008,0,0.0,0.0
Kyrgyzstan,0.5915492957746479,11795,0.9302040816326531,0,0.0,0.0
Luxembourg,0.6103286384976526,16492,0.8374774774774775,0,0.0,0.0
Malawi,0.6713615023474179,16962,0.8515789473684211,0,0.0,0.0
Mexico,1.0985915492957747,21989,0.7150125104253544,0,0.0,0.0
Montenegro,0.6009389671361502,7790,0.9657258064516129,0,0.0,0.0
Nicaragua,0.6901408450704225,18247,0.8151260504201681,0,0.0,0.0
Portugal,1.1971830985915493,22999,0.6823844705200638,0,0.0,0.0
Republic_of_Moldova,0.8028169014084507,14040,0.8974087784241143,0,0.0,0.0
Romania,0.9765258215962441,19441,0.8026862026862027,0,0.0,0.0
Serbia,0.8685446009389671,15952,0.8209922251018141,0,0.0,0.0
Slovakia,0.8075117370892019,17382,0.8281402142161636,0,0.0,0.0
Slovenia,0.8685446009389671,17168,0.8037974683544303,0,0.0,0.0
The_former_Yugoslav_Republic_of_Macedonia,0.7887323943661972,13798,0.9210987726475746,0,0.0,0.0
Tunisia,0.9389671361502347,20244,0.7561540079949506,0,0.0,0.0
Uganda,0.7370892018779343,17081,0.8403964456596036,0,0.0,0.0
Venezuela_(Bolivarian_Republic_of),0.727699530516432,14947,0.8136523266022827,0,0.0,0.0
Bolivia_(Plurinational_State_of),0.6009389671361502,14025,0.8688524590163934,0,0.0,0.0
Chile,0.9906103286384976,23073,0.6759008688221051,0,0.0,0.0
El_Salvador,0.6338028169014085,15246,0.8715513342379014,0,0.0,0.0
Estonia,0.7183098591549296,16031,0.8942028985507247,0,0.0,0.0
Fiji,0.511737089201878,10086,0.8716608594657376,0,0.0,0.0
Georgia,0.6854460093896714,14589,0.8725198412698413,0,0.0,0.0
Iceland,0.8450704225352113,15302,0.7929577464788733,0,0.0,0.0
Jamaica,0.727699530516432,15499,0.8104627766599598,0,0.0,0.0
Madagascar,0.6854460093896714,17340,0.8164556962025317,0,0.0,0.0
New_Zealand,1.2112676056338028,23630,0.664067706250833,0,0.0,0.0
Peru,0.8779342723004695,21325,0.7226415094339622,0,0.0,0.0
South_Africa,1.3098591549295775,23908,0.649015873015873,0,0.0,0.0
Trinidad_and_Tobago,0.6619718309859155,9831,0.8257575757575758,0,0.0,0.0
United_Republic_of_Tanzania,0.7746478873239436,18186,0.8283867176021158,0,0.0,0.0
Zambia,0.5446009389671361,13050,0.9067340067340067,0,0.0,0.0
Ghana,0.8262910798122066,17746,0.7685025817555938,0,0.0,0.0
Guyana,0.5164319248826291,9525,0.848780487804878,0,0.0,0.0
Oman,0.6948356807511737,13092,0.7967213114754098,0,0.0,0.0
Aruba,0.3192488262910798,2360,0.7909090909090909,0,0.0,0.0
Azerbaijan,0.6619718309859155,10503,0.8439613526570048,0,0.0,0.0
Cambodia,0.4835680751173709,11149,0.9024154589371981,0,0.0,0.0
