source,target,weight
1,2,61.0
1,4,59.0
1,5,30.0
1,6,634.0
1,7,2709.0
1,8,302.0
1,9,2407.0
1,11,1129.0
1,14,225.0
1,15,18271.0
1,17,75734.0
1,19,9942.0
1,22,35.0
1,23,315.0
1,27,1054.0
1,28,84982.0
1,30,118.0
1,32,18864.0
1,33,215.0
1,34,326.0
1,35,525.0
1,36,43.0
1,40,2701.0
1,42,441.0
1,44,1411.0
1,45,2450.0
1,55,5.0
1,58,18.0
1,60,64.0
1,70,69.0
1,73,219.0
1,78,1.0
1,80,34.0
1,89,1602.0
1,110,14.0
1,116,8.0
1,117,1953.0
1,121,23.0
1,128,56.0
1,134,7.0
1,146,1901.0
1,150,107.0
1,180,1.0
1,182,1.0
1,187,1.0
2,1,805.0
2,2,26191.0
2,3,7291.0
2,4,187801.0
2,5,10484.0
2,6,379633.0
2,7,5054892.0
2,8,482527.0
2,9,3851186.0
2,10,719533.0
2,11,43996.0
2,13,16773.0
2,14,49826.0
2,15,191684.0
2,16,11275.0
2,17,316372.0
2,18,2204214.0
2,19,48794.0
2,21,38574.0
2,22,226131.0
2,23,4125675.0
2,25,39961.0
2,26,903653.0
2,27,166893.0
2,28,261978.0
2,29,240764.0
2,30,4145.0
2,31,2007706.0
2,32,262475.0
2,33,438588.0
2,34,730277.0
2,35,18467.0
2,36,45291.0
2,37,85850.0
2,39,556558.0
2,40,57083.0
2,42,629.0
2,44,691517.0
2,45,2173819.0
2,48,456.0
2,49,4728.0
2,51,1893.0
2,52,821.0
2,54,244.0
2,55,688.0
2,57,9.0
2,58,1481.0
2,59,1289.0
2,60,1684.0
2,62,787.0
2,63,2368.0
2,66,15.0
2,67,2180.0
2,68,1757.0
2,69,203.0
2,70,79404.0
2,71,5371.0
2,72,2.0
2,73,811.0
2,74,1.0
2,75,27963.0
2,76,42896.0
2,77,60.0
2,78,33198.0
2,79,45.0
2,80,28613.0
2,82,276.0
2,83,7.0
2,84,2620.0
2,86,506.0
2,87,101.0
2,88,296.0
2,89,1479.0
2,90,1376.0
2,91,3561.0
2,92,110.0
2,94,35.0
2,95,35.0
2,96,25137.0
2,97,10309.0
2,98,585.0
2,99,113927.0
2,100,4.0
2,102,1694.0
2,103,15349.0
2,104,1608.0
2,105,1299022.0
2,108,2944.0
2,109,106140.0
2,110,144274.0
2,112,11793.0
2,113,90309.0
2,115,142.0
2,116,301.0
2,117,272.0
2,119,1326.0
2,120,351.0
2,121,811.0
2,125,81821.0
2,127,27.0
2,128,678.0
2,133,2377.0
2,134,176458.0
2,139,7561.0
2,140,1646.0
2,146,97240.0
2,148,2998.0
2,150,90628.0
2,155,10243.0
2,156,63419.0
2,157,319.0
2,158,161757.0
2,159,35.0
2,165,4283.0
2,166,28415.0
2,168,1597.0
2,170,195.0
2,173,101.0
2,178,96.0
2,182,25926.0
2,187,3794.0
2,190,164.0
2,212,18857.0
3,1,233.0
3,2,55462.0
3,4,128500.0
3,5,48443.0
3,6,13369.0
3,7,30947.0
3,8,5900.0
3,9,20262.0
3,10,4785.0
3,11,69459.0
3,13,28611.0
3,14,252171.0
3,15,3038162.0
3,16,1552.0
3,17,11646.0
3,18,1737.0
3,19,115495.0
3,21,9074.0
3,22,1541341.0
3,23,88331.0
3,25,19241.0
3,26,1045.0
3,27,267079.0
3,28,9052.0
3,29,3461.0
3,30,195561.0
3,31,53388.0
3,32,179765.0
3,33,32329.0
3,34,5718.0
3,35,220099.0
3,36,91948.0
3,37,350912.0
3,40,46316.0
3,42,29759.0
3,44,302476.0
3,45,468454.0
3,48,24207.0
3,49,6083.0
3,51,34386.0
3,52,72711.0
3,53,48.0
3,54,197.0
3,55,6200.0
3,57,241.0
3,58,1593.0
3,59,839.0
3,60,93995.0
3,62,10203.0
3,63,357612.0
3,66,249.0
3,67,285.0
3,68,93696.0
3,69,373644.0
3,70,14412.0
3,71,1950.0
3,72,2249.0
3,73,13963.0
3,74,4763.0
3,75,2394.0
3,76,10351.0
3,77,26330.0
3,78,8439.0
3,79,409.0
3,80,20438.0
3,82,24288.0
3,83,2651.0
3,84,152885.0
3,86,21095.0
3,87,169430.0
3,88,425376.0
3,89,5147.0
3,90,20682.0
3,91,1915.0
3,92,2255.0
3,94,2839.0
3,95,4955.0
3,96,15261.0
3,97,715.0
3,98,10097.0
3,99,29.0
3,102,1606.0
3,103,5203.0
3,105,8996.0
3,108,4651.0
3,109,29661.0
3,110,4770.0
3,112,1713.0
3,113,2082.0
3,116,5904.0
3,117,12281.0
3,119,175.0
3,120,56.0
3,121,9599.0
3,125,5377.0
3,128,257.0
3,130,123.0
3,133,6508.0
3,134,5483.0
3,136,1814.0
3,139,27.0
3,146,9564.0
3,148,4936.0
3,150,2057.0
3,155,17.0
3,156,374.0
3,157,104.0
3,158,9390.0
3,159,624.0
3,166,8.0
3,168,1.0
3,170,223.0
3,173,283.0
3,178,161.0
3,180,12.0
3,182,126.0
3,187,783.0
3,190,1.0
3,193,35.0
3,212,1041.0
4,1,3516.0
4,2,69050.0
4,3,244354.0
4,5,119533.0
4,6,163696.0
4,7,275970.0
4,8,91654.0
4,9,153428.0
4,10,30574.0
4,11,273720.0
4,13,199464.0
4,14,7368296.0
4,15,4861304.0
4,16,7565.0
4,17,13833.0
4,18,71941.0
4,19,30588.0
4,21,176179.0
4,22,1307376.0
4,23,173185.0
4,25,50706.0
4,26,42171.0
4,27,5375707.0
4,28,4279.0
4,29,27922.0
4,30,636393.0
4,31,98315.0
4,32,542910.0
4,33,115589.0
4,34,40023.0
4,35,887488.0
4,36,451105.0
4,37,189667.0
4,39,33493.0
4,40,52822.0
4,42,42194.0
4,44,2725185.0
4,45,455016.0
4,48,2648.0
4,49,3117.0
4,51,4526.0
4,52,56289.0
4,53,12022.0
4,54,40987.0
4,55,5924.0
4,57,44553.0
4,58,2707.0
4,59,8096.0
4,60,30236.0
4,62,43960.0
4,63,256048.0
4,66,6753.0
4,67,16481.0
4,68,320668.0
4,69,101007.0
4,70,100877.0
4,71,2427.0
4,72,1756.0
4,73,74475.0
4,74,857851.0
4,75,151.0
4,76,17876.0
4,77,2772.0
4,78,29078.0
4,79,1084.0
4,80,161020.0
4,82,205367.0
4,83,4387.0
4,84,114060.0
4,86,11214.0
4,87,50663.0
4,88,42837.0
4,89,22901.0
4,90,1671.0
