method,beta,num_trials,num_initial_nodes,min,max,q1,median,q3,mean,total_nodes
centrality,0.02,500,1,3882,4281,4041.0,4082.0,4122.0,4081.072,65648
centrality,0.02,500,2,3885,4300,4033.0,4081.0,4126.25,4082.816,65648
centrality,0.02,500,4,3862,4334,4045.0,4083.5,4128.0,4085.788,65648
centrality,0.02,500,10,3882,4286,4035.0,4085.5,4126.25,4083.7,65648
centrality,0.1,500,1,15242,15966,15536.5,15610.0,15680.0,15606.956,65648
centrality,0.1,500,2,15227,15936,15538.75,15604.0,15672.0,15603.874,65648
centrality,0.1,500,4,15301,15972,15528.75,15595.0,15666.0,15596.614,65648
centrality,0.1,500,10,15244,15872,15531.75,15604.0,15674.0,15600.174,65648
centrality,0.2,500,1,25006,25676,25274.5,25346.0,25421.25,25346.668,65648
centrality,0.2,500,2,24976,25690,25253.0,25338.0,25425.25,25340.126,65648
centrality,0.2,500,4,25015,25642,25266.5,25333.0,25409.0,25338.266,65648
centrality,0.2,500,10,24988,25654,25265.0,25342.5,25412.0,25339.37,65648
degree,0.02,500,1,3874,4314,4042.0,4090.5,4135.0,4088.262,65648
degree,0.02,500,2,3826,4263,4037.0,4081.0,4124.25,4080.838,65648
degree,0.02,500,4,3879,4270,4035.75,4082.0,4132.25,4083.236,65648
degree,0.02,500,10,3887,4257,4036.0,4081.0,4120.0,4080.426,65648
degree,0.1,500,1,15233,15911,15540.75,15603.0,15663.0,15601.142,65648
degree,0.1,500,2,15263,15899,15532.75,15603.0,15673.5,15600.59,65648
degree,0.1,500,4,15293,16024,15543.75,15605.5,15671.5,15606.814,65648
degree,0.1,500,10,15269,15916,15525.0,15596.5,15662.0,15594.254,65648
degree,0.2,500,1,24942,25669,25262.0,25336.0,25415.25,25338.69,65648
degree,0.2,500,2,24944,25691,25258.75,25335.5,25411.25,25335.572,65648
degree,0.2,500,4,25002,25642,25257.0,25336.0,25417.25,25335.796,65648
degree,0.2,500,10,25030,25755,25263.75,25343.0,25424.25,25345.256,65648
