method,beta,num_trials,num_initial_nodes,min,max,q1,median,q3,mean,total_nodes
centrality,0.02,500,1,3909,4293,4037.75,4089.0,4130.0,4086.524,65648
centrality,0.02,500,2,3903,4271,4024.75,4073.0,4117.0,4073.004,65648
centrality,0.02,500,4,3846,4276,4034.0,4077.5,4123.0,4078.16,65648
centrality,0.02,500,10,3856,4271,4031.0,4076.0,4126.25,4076.73,65648
centrality,0.1,500,1,15264,15890,15529.0,15604.0,15674.25,15603.852,65648
centrality,0.1,500,2,15257,15874,15532.75,15598.0,15666.0,15599.218,65648
centrality,0.1,500,4,15320,15916,15537.0,15597.5,15672.25,15602.536,65648
centrality,0.1,500,10,15302,15902,15530.0,15599.0,15668.0,15596.542,65648
centrality,0.2,500,1,24940,25664,25269.0,25351.0,25418.75,25345.092,65648
centrality,0.2,500,2,25031,25632,25263.75,25337.0,25411.25,25338.244,65648
centrality,0.2,500,4,25024,25635,25273.0,25349.5,25417.0,25348.158,65648
centrality,0.2,500,10,25026,25710,25258.75,25330.5,25411.0,25332.594,65648
degree,0.02,500,1,3858,4270,4038.0,4083.0,4124.0,4081.296,65648
degree,0.02,500,2,3895,4290,4030.0,4078.0,4129.0,4081.166,65648
degree,0.02,500,4,3861,4275,4044.0,4088.5,4132.0,4084.932,65648
degree,0.02,500,10,3881,4315,4033.0,4070.5,4124.25,4078.74,65648
degree,0.1,500,1,15285,15883,15529.0,15607.0,15664.25,15597.544,65648
degree,0.1,500,2,15282,15931,15521.75,15589.5,15660.25,15590.612,65648
degree,0.1,500,4,15325,15912,15540.75,15606.5,15673.25,15605.624,65648
degree,0.1,500,10,15281,15913,15528.0,15596.0,15660.0,15596.494,65648
degree,0.2,500,1,24987,25665,25256.75,25338.5,25415.25,25340.808,65648
degree,0.2,500,2,24955,25670,25264.75,25346.0,25422.5,25345.558,65648
degree,0.2,500,4,25016,25689,25267.5,25343.0,25424.25,25346.364,65648
degree,0.2,500,10,25053,25694,25254.5,25332.5,25417.25,25335.18,65648
