node,degree
522,169
1,108
577,21
604,73
988,98
1594,107
1742,269
1789,196
2762,127
3606,175
3629,94
4301,106
4749,84
4841,86
5198,245
5511,565
5901,76
5983,130
6276,44
6775,85
6991,98
7286,111
7320,25
7815,133
7947,123
8190,399
8371,216
9073,247
9110,72
10189,24
10207,109
12886,110
12992,176
13578,171
14447,147
14553,351
14592,99
14632,90
14680,119
15164,7
15562,124
16131,167
16710,207
17306,83
17358,212
17468,285
18038,431
18362,107
18368,138
18657,113
19806,62
19996,187
20085,394
20565,85
21089,216
21286,122
21550,205
21589,191
21963,114
22404,53
22501,177
22665,153
23273,145
23293,120
23542,65
23786,26
23850,104
24396,159
24547,107
24697,132
24922,48
25016,90
25688,68
26345,82
26625,155
26710,310
26848,62
26926,58
27053,331
27092,82
28203,69
28645,189
29048,111
29360,165
29514,69
29897,852
31018,42
31561,4
31886,41
32024,67
32094,104
32200,64
33147,61
34015,195
34265,122
35135,80
35186,161
35779,191
36643,50
36660,56
37659,76
37848,87
38399,235
38599,461
40779,225
40897,63
41033,158
41172,190
41207,68
4863,28
2,11
5586,24
18982,26
23443,35
23876,37
25185,4
27670,51
28245,186
28437,31
35536,125
38148,149
121,40
3,50
1960,93
2336,67
2580,86
4307,130
4833,129
5062,39
6058,144
6141,37
6997,187
9244,125
9865,28
10270,126
10386,110
11447,130
11803,80
12023,178
13315,62
13442,75
14657,109
15047,16
15964,139
16346,71
18723,24
18906,210
20077,261
21455,208
22711,98
23373,168
24288,38
25465,59
26594,187
27666,197
28187,35
28621,79
28653,194
28937,157
29013,95
31111,177
31501,110
34083,123
34199,160
34339,58
34794,225
35046,145
37172,79
39679,242
40443,130
40946,128
135,95
4,56
750,80
921,76
922,167
1120,113
1385,117
1674,194
3166,78
4023,53
5201,105
6168,57
6355,80
6450,149
7429,132
7597,78
7618,65
7748,96
9363,221
10844,47
11028,66
11336,53
11405,87
11508,52
11569,98
12589,82
13190,86
14307,55
14383,197
15781,74
18205,65
18250,60
18672,37
18758,170
19791,53
23048,107
24221,44
25215,56
25475,42
26211,69
27352,76
28481,179
29032,245
30967,153
32385,120
32797,80
34325,109
34373,145
37225,58
37420,46
37515,110
39059,84
39744,68
39746,115
40818,128
40965,70
41432,101
2483,52
5,22
5240,97
8179,66
8410,22
9335,55
10595,68
13712,43
16702,68
18542,78
22184,231
24583,86
25108,63
25447,51
26916,125
31350,101
33082,74
36296,143
39491,71
1171,202
6,29
1905,231
4580,38
6746,119
8652,61
9048,71
10861,45
10867,119
12065,69
12221,98
12909,184
13595,243
15090,80
18422,62
18848,126
19931,99
24214,126
25364,90
25809,2298
26524,121
26565,23
28006,90
28671,435
30299,85
31598,238
31984,61
34364,96
38672,101
40054,95
634,76
7,28
2191,65
4531,111
7675,119
15205,77
16757,159
19851,48
20890,46
22663,66
24322,39
24788,124
26390,123
27871,79
30345,126
30760,88
30940,768
31081,191
32439,71
33052,123
34578,44
34852,65
35497,46
36477,198
37139,38
37156,36
38073,99
39656,30
40529,100
126,251
8,123
457,51
648,118
1047,159
1337,126
2599,69
3953,102
3968,92
4880,52
5187,80
6130,56
6434,33
6463,85
6655,299
6967,128
7700,30
8252,61
8450,102
8641,88
9737,39
9887,82
10649,54
10843,243
11349,232
11427,82
12345,207
12563,251
12633,66
12993,89
13017,26
13100,193
14744,17
14969,40
15094,158
15121,44
15292,24
15467,153
15603,159
15776,434
15811,67
16079,93
16113,122
16282,194
16297,115
16323,174
16383,1057
16575,152
18160,63
18543,16
19227,1623
19584,127
19844,118
20343,150
20791,121
20794,104
21003,58
21130,89
21475,105
21771,22
21836,73
21953,147
22265,120
22513,64
22609,235
22997,96
23230,46
23312,293
23906,128
23991,31
24409,131
24593,142
24661,3
24992,57
25637,26
26029,131
26341,122
26358,213
26669,50
26752,165
26818,59
27147,273
27409,156
27678,206
28274,91
28443,110
28644,101
28807,62
29453,47
29902,175
31095,29
31622,21
32366,35
33980,28
34062,86
34411,130
34833,56
34884,150
35175,218
35502,124
35701,123
36792,17
37014,87
37151,70
37412,151
37648,153
37828,108
37837,255
38527,78
39075,166
39207,80
39353,875
39633,128
39693,76
39803,109
39882,29
40318,67
40472,79
40590,540
40766,251
40934,210
1800,44
9,64
1985,36
2050,41
2578,159
2838,166
4912,139
5928,106
6043,924
6361,81
6632,62
7724,54
7921,159
7940,131
9115,33
9438,105
9626,114
11166,111
11742,4
12911,87
13376,118
15314,73
15544,85
16519,101
16861,139
17281,34
17425,88
18417,1
18590,1
18961,20
19113,33
20075,64
20225,55
20632,91
21392,149
21513,36
22939,60
23314,43
23593,134
23696,120
24325,50
24472,103
24881,22
24889,63
27200,89
31183,209
31921,15
32359,23
32821,30
32872,95
33796,58
35657,160
36207,153
36715,173
36728,136
37496,24
38173,126
39035,80
39548,170
39572,125
40108,117
40288,84
41269,44
422,430
10,251
486,323
569,37
723,110
794,65
962,63
1049,385
1320,311
1342,58
1387,156
1647,109
1689,89
1819,48
1958,119
2110,364
2657,73
3459,86
3502,120
3517,120
3822,327
4015,150
4163,57
4253,121
4606,115
4623,252
4656,124
4757,32
4950,140
4963,193
5013,443
5603,114
5801,137
5814,136
6054,65
6156,66
6351,126
6354,125
6410,159
6479,238
6540,228
6600,308
6796,219
7647,131
7990,311
8069,40
8195,63
8290,210
8294,175
8404,175
8459,239
8617,155
8986,64
9228,218
9353,39
9477,79
9558,186
9595,35
9720,57
9785,95
9799,109
10430,358
11069,435
11430,96
11696,74
11701,164
11711,160
12012,85
12115,881
12426,961
12515,80
12649,87
12651,220
12798,86
13032,44
13124,28
13178,84
13285,149
13329,157
13697,468
13748,197
14081,256
14485,168
14563,110
14838,98
14865,78
15378,169
15689,95
15699,50
15852,30
15928,213
16654,207
16730,195
16747,57
16775,204
16791,87
17048,221
17511,51
17626,131
17790,44
17791,132
18032,49
18037,338
18321,220
18423,166
18462,327
18479,278
18619,272
18668,36
18770,80
19395,665
19429,177
19447,64
20226,89
20227,232
20582,87
20602,91
20623,98
20716,45
20894,180
20951,69
20964,71
21044,160
21086,194
21097,216
21476,76
21505,267
21525,62
21588,407
21620,126
21831,545
21918,118
22072,77
22335,235
22391,74
22478,167
22650,258
22854,65
22941,110
23282,253
23298,209
23320,98
23360,84
23629,127
23644,317
23883,266
23946,67
24011,72
24065,170
24357,64
24618,117
25088,107
25098,63
25533,137
25949,128
25975,105
26370,166
26647,234
26988,674
27239,78
27361,126
27497,199
27618,123
27890,71
28082,107
28291,288
28521,234
28887,90
28972,146
29030,223
29088,114
29133,16
29226,126
29241,430
29314,178
29589,496
29844,196
29901,186
29949,71
30015,134
30624,275
31145,272
31168,103
31210,137
31255,274
31273,70
31312,72
31514,87
31711,129
31724,73
31846,170
32037,20
32506,60
32618,52
33428,138
33472,238
33714,114
33860,65
33968,166
34190,63
34242,323
34263,122
34304,182
34468,514
34638,345
34846,138
35058,405
35148,91
35246,114
35317,322
35542,36
36249,169
36307,297
36684,17
36784,159
36974,91
37071,259
37277,34
37389,121
37611,176
37688,211
37811,58
37813,149
37983,62
38393,83
38427,182
38533,72
38619,92
39105,227
39412,147
39594,146
39758,139
39854,79
39956,96
40204,162
40373,388
40390,58
40423,98
40629,43
40724,31
40948,114
40975,182
41106,43
41402,100
41486,155
41518,427
847,61
11,50
852,81
862,74
887,60
1454,55
1947,7
2116,45
2438,49
2817,76
3354,105
3409,92
3758,32
5514,90
7143,56
9293,76
9468,136
10564,4410
11361,37
11876,137
12819,106
14628,28
14721,172
15442,103
15546,59
16114,96
16964,76
17550,125
18566,183
19899,52
21442,140
21681,79
24222,43
26482,54
28559,90
30718,89
32237,29
34383,100
34667,85
35850,48
35890,141
35918,172
36074,48
36384,222
36823,919
37644,96
38377,58
38418,33
38620,129
40160,80
40497,69
164,109
12,111
409,73
814,230
1146,53
2033,108
2060,126
2089,75
2551,83
2804,80
2965,72
3040,76
3170,100
3506,71
3515,79
3558,266
4222,219
4576,40
5072,149
6300,19
6421,91
6533,60
6990,58
9123,125
9180,36
10578,159
10644,144
10758,38
11005,131
11391,253
11439,83
11492,53
11765,98
13053,97
13171,123
13631,156
13716,71
13758,89
15014,28
15127,82
15133,123
15218,82
15830,36
15903,77
16126,144
17814,112
18496,40
18646,80
18691,176
18755,90
19070,66
19191,50
19534,72
19555,93
20268,297
20963,101
21372,89
21409,177
21578,89
21846,80
22249,133
22325,60
23234,37
23270,36
23866,63
24504,79
24794,21
24886,101
25522,173
25874,43
25973,118
26608,46
27166,31
27617,115
28667,55
28766,107
29404,74
29974,197
30080,55
30361,46
30855,41
31029,173
31050,20
31280,34
31424,35
31475,143
31506,57
31682,78
31708,98
31717,97
32474,77
33079,66
33194,54
33393,65
34368,115
34472,138
34500,134
34777,68
35025,101
36689,265
37197,1589
37683,100
38489,95
38648,23
39175,56
40157,62
40192,19
48,98
13,106
179,25
833,194
1353,41
2429,98
2481,125
2545,70
4569,53
5280,151
5755,44
5797,173
6149,185
6405,90
6452,131
6502,262
7075,164
7398,57
7572,138
7692,6
7736,107
8454,153
8604,96
8673,171
9052,41
9936,97
10340,176
10576,224
10614,63
10994,90
11645,113
11978,111
11999,111
12859,138
12900,214
14103,105
14140,210
14345,30
15143,126
15688,104
15706,195
16043,74
16230,246
17136,9
17243,138
17416,204
17500,82
17662,54
17701,142
17823,88
18055,705
18757,191
18788,20
18988,99
19339,160
19436,147
19748,137
19783,35
20576,216
21006,171
21397,217
21600,49
22340,96
22542,182
22679,25
22799,145
23110,26
23233,153
23983,29
23994,76
24297,89
24828,166
25015,166
25849,144
26232,50
27028,95
27115,68
27160,184
27260,149
27611,26
28330,19
28616,135
30945,209
31049,126
31570,91
31691,109
31865,7
32070,1131
32086,139
32471,806
33828,48
34031,177
34210,93
34491,155
34642,111
34725,101
35174,105
35350,248
36783,97
37808,130
38584,58
38640,3777
38939,107
39469,101
40938,70
41230,72
551,679
14,57
1376,125
1833,34
3338,78
3382,95
3890,38
4095,65
4218,50
4924,366
5419,58
5758,530
7549,114
8597,6
9109,40
9807,184
11007,70
11324,1545
12719,47
13767,3
14364,17
14828,70
15360,179
15371,133
16940,170
19368,188
20196,126
20848,70
21751,46
21885,67
22119,126
25398,90
27082,106
27717,21
28396,188
28498,81
28880,130
29045,64
29749,82
30334,244
31263,288
31745,34
33317,64
34319,53
35266,76
36041,105
36313,66
36396,60
38378,188
38826,129
39247,74
39501,188
39763,58
40555,26
40777,64
40937,46
3556,81
15,35
4690,212
4970,79
9376,63
11156,105
12377,105
12920,14
14302,45
14306,27
15192,187
15342,198
16056,161
16733,83
18204,78
19891,50
20383,130
23132,301
23893,218
24527,42
25736,160
26028,145
26378,29
26466,68
28609,160
32551,18
34177,124
34248,85
35461,66
38484,89
21,820
16,242
23,127
282,75
330,199
711,104
749,330
1179,98
1352,69
1381,261
1489,115
1645,332
1991,109
2219,89
2425,140
2683,468
2740,283
3037,399
3445,112
3608,50
4025,327
4500,158
5073,49
5253,52
5427,35
5732,84
5757,330
5919,135
6020,137
6360,166
6523,50
6630,141
6651,80
6707,213
6808,226
6962,230
6986,479
7152,169
7199,59
7655,133
7812,99
7931,200
7942,99
8457,88
8816,163
8835,366
8989,138
9248,522
9273,43
9324,212
9881,150
9901,115
10006,204
10045,123
10168,164
10584,83
10665,97
10824,190
11076,226
11114,67
11168,42
11231,76
11261,142
11301,114
11750,37
11752,146
11789,46
11863,288
11977,89
12175,14
12239,192
12406,531
12863,151
13348,104
13486,42
13545,22
13570,48
13656,148
13691,68
13735,77
14204,264
14342,119
14357,1142
14550,151
14812,61
14912,451
14914,71
14951,68
15358,45
15431,116
15686,73
15927,439
16071,208
16299,83
16554,209
16557,156
17478,96
17603,64
18300,126
18418,111
18429,69
18487,590
18600,67
18846,137
19057,128
19077,108
19154,117
19462,69
19533,64
19621,114
19941,123
19993,48
20023,166
20100,380
20322,22
20734,267
20943,305
20954,42
21120,213
21362,50
21519,661
21814,59
21816,219
22121,154
22371,115
22459,450
22480,55
22508,77
22715,159
23001,344
23133,72
23488,129
23498,49
23752,150
23823,65
24059,91
24305,42
24455,166
24487,86
24532,154
24710,211
24749,94
