node,degree,clustering
522,169,0.09037757114680192
1,108,0.09795777085496711
577,21,0.4523809523809524
604,73,0.20624048706240486
988,98,0.24005891016200295
1594,107,0.1271380708869688
1742,269,0.12730954890972646
1789,196,0.20272108843537415
2762,127,0.14235720534933133
3606,175,0.12932676518883415
3629,94,0.14527568062228324
4301,106,0.1299191374663073
4749,84,0.18559954102122778
4841,86,0.19261285909712722
5198,245,0.0531615925058548
5511,565,0.019092449632837506
5901,76,0.17298245614035088
5983,130,0.30578413834227786
6276,44,0.3012684989429176
6775,85,0.16526610644257703
6991,98,0.16053019145802652
7286,111,0.14823914823914824
7320,25,0.09666666666666666
7815,133,0.10571884256094782
7947,123,0.08556577369052379
8190,399,0.040263976524225135
8371,216,0.14702842377260983
9073,247,0.0854810572397222
9110,72,0.0837245696400626
10189,24,0.30434782608695654
10207,109,0.22782874617737003
12886,110,0.11626355296080067
12992,176,0.10876623376623376
13578,171,0.0694874441004472
14447,147,0.1231012953126456
14553,351,0.0865934065934066
14592,99,0.07544836116264687
14632,90,0.39975031210986267
14680,119,0.10112519584104829
15164,7,0.047619047619047616
15562,124,0.07461316548649358
16131,167,0.1731476805425294
16710,207,0.2017259978425027
17306,83,0.13106082868057597
17358,212,0.05584369131717786
17468,285,0.07731653076352854
18038,431,0.03837479091350564
18362,107,0.2466937048139658
18368,138,0.10451708452343171
18657,113,0.12895069532237674
19806,62,0.22845055526176627
19996,187,0.07084123972169513
20085,394,0.04483279730305731
20565,85,0.06862745098039216
21089,216,0.050258397932816536
21286,122,0.12816691505216096
21550,205,0.07403156384505022
21589,191,0.04304216037475889
21963,114,0.08445893494798944
22404,53,0.30914368650217705
22501,177,0.08436055469953775
22665,153,0.0869453044375645
23273,145,0.044731800766283525
23293,120,0.0711484593837535
23542,65,0.12211538461538461
23786,26,0.38461538461538464
23850,104,0.15123226288274833
24396,159,0.13717060743571372
24547,107,0.24175630400282136
24697,132,0.10895211658570438
24922,48,0.061170212765957445
25016,90,0.2696629213483146
25688,68,0.1237928007023705
26345,82,0.08641975308641975
26625,155,0.16589861751152074
26710,310,0.10247416222987786
26848,62,0.2014806980433633
26926,58,0.07743496672716274
27053,331,0.0795202783118191
27092,82,0.11653116531165311
28203,69,0.2028985507246377
28645,189,0.19875042215467748
29048,111,0.08697788697788698
29360,165,0.09482631189948264
29514,69,0.21568627450980393
29897,852,0.0063774736156854955
31018,42,0.16492450638792103
31561,4,0.6666666666666666
31886,41,0.2524390243902439
32024,67,0.10312075983717775
32094,104,0.18558625840179238
32200,64,0.09275793650793651
33147,61,0.13825136612021857
34015,195,0.06719534760771874
34265,122,0.10405094160682835
35135,80,0.13259493670886077
35186,161,0.15333850931677018
35779,191,0.09319371727748692
36643,50,0.10285714285714286
36660,56,0.19025974025974027
37659,76,0.24736842105263157
37848,87,0.2504677893611334
38399,235,0.045280960174577195
38599,461,0.04967462039045553
40779,225,0.1328174603174603
40897,63,0.22478238607270865
41033,158,0.10771587519148593
41172,190,0.061375661375661375
41207,68,0.08604038630377524
4863,28,0.19576719576719576
2,11,0.32727272727272727
5586,24,0.2318840579710145
18982,26,0.19692307692307692
23443,35,0.44201680672268906
23876,37,0.4144144144144144
25185,4,0.3333333333333333
27670,51,0.12862745098039216
28245,186,0.10531822144725371
28437,31,0.2645161290322581
35536,125,0.10451612903225807
38148,149,0.1192635588608743
121,40,0.08333333333333333
3,50,0.13224489795918368
1960,93,0.03576437587657784
2336,67,0.07869742198100407
2580,86,0.19644322845417236
4307,130,0.0469886702444842
4833,129,0.1751453488372093
5062,39,0.11336032388663968
6058,144,0.12364024864024864
6141,37,0.22822822822822822
6997,187,0.08745903053303433
9244,125,0.08851612903225807
9865,28,0.11904761904761904
10270,126,0.2085079365079365
10386,110,0.1012510425354462
11447,130,0.2703637447823494
11803,80,0.10443037974683544
12023,178,0.09966355614803529
13315,62,0.053939714436805924
13442,75,0.19027027027027027
14657,109,0.07186544342507645
15047,16,0.10833333333333334
15964,139,0.09164842039411948
16346,71,0.07364185110663984
18723,24,0.043478260869565216
18906,210,0.11989063568010937
20077,261,0.10545240200412614
21455,208,0.1978818283166109
22711,98,0.14180517567851883
23373,168,0.13187909894496722
24288,38,0.12944523470839261
25465,59,0.11279953243717125
26594,187,0.15899028232994078
27666,197,0.16336890085983632
28187,35,0.23361344537815126
28621,79,0.11132749107432652
28653,194,0.13567651300678382
28937,157,0.04393271272252164
29013,95,0.12922732362821948
31111,177,0.17475603492552644
31501,110,0.06505421184320268
34083,123,0.16513394642143142
34199,160,0.22374213836477988
34339,58,0.3248638838475499
34794,225,0.10436507936507937
35046,145,0.10574712643678161
37172,79,0.1762414800389484
39679,242,0.04135660642639141
40443,130,0.04424567680381634
40946,128,0.23695866141732283
135,95,0.08241881298992161
4,56,0.1603896103896104
750,80,0.1199367088607595
921,76,0.1543859649122807
922,167,0.07322703989611139
1120,113,0.12484197218710492
1385,117,0.04789272030651341
1674,194,0.10181080070509053
3166,78,0.17016317016317017
4023,53,0.16473149492017417
5201,105,0.08205128205128205
6168,57,0.10776942355889724
6355,80,0.19335443037974684
6450,149,0.1325956829312534
7429,132,0.12780476520934536
7597,78,0.1441891441891442
7618,65,0.07403846153846154
7748,96,0.14671052631578949
9363,221,0.16009872480460716
10844,47,0.1822386679000925
11028,66,0.09044289044289044
11336,53,0.204644412191582
11405,87,0.09730018711574445
11508,52,0.1138763197586727
11569,98,0.09067957079739113
12589,82,0.10990665462210178
13190,86,0.09849521203830369
14307,55,0.18787878787878787
14383,197,0.08323837149072827
15781,74,0.14291003332099222
18205,65,0.17692307692307693
18250,60,0.1768361581920904
18672,37,0.2147147147147147
18758,170,0.10295857988165681
19791,53,0.14150943396226415
23048,107,0.0722976547346147
24221,44,0.16913319238900634
25215,56,0.14285714285714285
25475,42,0.16840882694541232
26211,69,0.25831202046035806
27352,76,0.07228070175438596
28481,179,0.16640512208900884
29032,245,0.07453997992639678
30967,153,0.10767113863089095
32385,120,0.13249299719887955
32797,80,0.12373417721518987
34325,109,0.1656472986748216
34373,145,0.12365900383141762
37225,58,0.23774954627949182
37420,46,0.18357487922705315
37515,110,0.12310258548790659
39059,84,0.11703958691910499
39744,68,0.07111501316944688
39746,115,0.0639206712433257
40818,128,0.10999015748031496
40965,70,0.11635610766045548
41432,101,0.09584158415841584
2483,52,0.09577677224736049
5,22,0.18181818181818182
5240,97,0.21241408934707903
8179,66,0.09463869463869463
8410,22,0.2597402597402597
9335,55,0.15488215488215487
