node,avg_common,max_common
1,874.4756003098373,2525
2,567.0356133408706,1641
3,707.75,1994
4,343.25082508250824,1103
5,303.9047619047619,789
6,617.5426195426195,1713
7,992.7765404602821,2681
8,135.26782273603084,340
9,538.5755274261603,1149
10,577.4940098661029,1310
11,658.2876288659794,1828
12,798.4540886249429,2123
13,150.19934640522877,584
14,780.79131590607,2186
15,745.3970873786408,1988
16,775.0810352142554,2328
17,584.4388243335612,1427
18,545.9915895710682,1109
19,570.9049373618276,1203
20,523.6146788990826,2817
21,846.7250354945575,2111
22,795.0473313192347,2604
23,529.5155071248952,1097
24,66.46640316205534,158
25,937.1350623105423,2386
26,164.64772727272728,613
27,741.3634064080944,2299
28,122.52447552447552,462
29,851.4147299509002,2865
30,458.5094957432875,1475
31,876.9668411867365,2783
32,547.8713394143062,2005
33,576.344,1226
34,13.6,31
35,767.7467561521253,2135
36,816.7220357941834,2855
37,594.7116104868913,1290
38,821.0406074612083,2559
39,744.058201058201,2403
40,777.4072398190045,2147
41,976.6835027877993,2948
42,64.64257028112449,172
43,528.6410871302958,1217
44,438.9653495440729,1113
45,805.5405669599218,1893
46,415.8578811369509,1454
47,48.54545454545455,139
48,889.9095,3730
49,561.2359361880773,1154
50,188.82849604221636,349
51,826.2106280193236,3006
52,106.7612293144208,364
53,623.2280701754386,1370
54,190.28892455858747,481
55,212.5152354570637,567
56,625.6623655913978,1704
57,108.18761726078799,407
58,766.8428351309707,2107
59,773.736036036036,2144
60,610.1171339563863,1511
61,538.9650238473768,1169
62,538.1695760598503,1149
63,705.2968421052632,1830
64,530.9344262295082,1170
65,85.48066298342542,281
66,412.5911330049261,1081
67,688.1209766925638,1730
68,515.2165898617511,1622
69,545.4592274678112,1148
70,465.8496732026144,1380
71,505.35649546827796,1639
72,784.4172617199628,2605
73,951.2326835338034,3417
74,122.006006006006,309
75,362.1964664310954,1285
76,159.1809523809524,350
77,712.8453320947515,2092
78,655.5357664233577,1891
79,776.657824933687,2152
80,234.79528718703978,563
81,438.17382617382617,934
82,865.3904653802497,3305
83,668.8207080319756,2237
84,96.38461538461539,307
85,290.5162011173184,696
86,252.9679012345679,690
87,712.7339922647185,2137
88,757.3080032336297,2266
89,701.2186732186732,1673
90,64.63598326359832,209
91,220.8622754491018,566
92,601.6944629753169,1437
93,114.55868544600939,322
94,119.05263157894737,291
95,430.3222222222222,1085
