node,degree
1,2582
2,1769
3,2232
4,1212
5,903
6,1924
7,2694
8,519
9,1185
10,1419
11,1940
12,2189
13,612
14,2257
15,2060
16,2357
17,1463
18,1189
19,1357
20,3161
21,2113
22,2979
23,1193
24,253
25,2969
26,704
27,2372
28,572
29,3055
30,1527
31,2865
32,2083
33,1250
34,70
35,2235
36,3576
37,1335
38,3029
39,2646
40,2210
41,3049
42,249
43,1251
44,1645
45,2046
46,1548
47,209
48,4000
49,1191
50,379
51,3105
52,423
53,1425
54,623
55,722
56,1860
57,533
58,2596
59,2220
60,1605
61,1258
62,1203
63,1900
64,1220
65,362
66,1218
67,1802
68,1736
69,1165
70,1836
71,1986
72,3221
73,4822
74,333
75,1415
76,420
77,2153
78,2055
79,2262
80,679
81,1001
82,3524
83,2627
84,364
85,895
86,810
87,2327
88,2474
89,2035
90,239
91,668
92,1499
93,426
94,380
95,1260
96,1267
97,1321
98,2869
99,832
100,1715
101,2275
102,1346
103,1734
104,1079
105,1216
106,889
107,1288
108,2465
109,1176
110,2459
111,119
112,2041
113,585
114,882
115,1773
116,1308
117,1381
118,1282
119,2482
120,848
121,684
122,482
123,3694
124,1179
125,3635
126,689
127,90
128,2765
129,2499
130,650
131,1211
132,1195
133,3633
134,532
135,2211
136,246
137,2154
138,1184
139,4113
140,2429
141,3644
142,1913
143,1146
144,1629
145,952
146,389
147,2129
148,1952
149,559
150,1148
151,1306
152,474
153,1437
154,2833
155,2808
156,1446
157,3950
158,2108
159,2192
160,1723
161,2754
162,1084
163,1088
164,4673
165,812
166,669
167,1196
168,201
169,1974
170,1743
171,1872
172,1808
173,3523
174,1983
175,1260
176,1161
177,2059
178,2187
179,1228
180,2090
181,1854
182,1088
183,1153
184,2166
185,1588
186,1532
187,1199
188,2815
189,290
190,1143
191,738
192,2400
193,2466
194,2203
195,1373
196,1454
197,1252
198,1191
199,2145
200,1934
201,498
202,420
203,2508
204,2230
205,2831
206,1286
207,1133
208,3567
209,1558
210,2919
211,1793
212,2121
213,1939
214,781
215,1348
216,2301
217,1164
218,895
219,2518
220,1718
221,1197
222,1241
223,2740
224,2898
225,698
226,2190
227,1667
228,1467
229,2101
230,2150
231,1188
232,2931
233,1243
234,2138
235,756
236,567
237,1431
238,1175
239,1167
240,524
241,1746
242,177
243,1962
244,2090
245,1196
246,3218
247,2091
248,1531
249,2348
250,3559
251,1247
252,641
253,1309
254,1493
255,4016
256,2412
257,332
258,181
259,1947
260,1862
261,1184
262,2799
263,568
264,1656
265,527
266,2270
267,1282
268,917
269,2710
270,543
271,325
