Dataset,Method,Best_F1,Best_Threshold,F1_Mean,F1_Std,Best_Precision,Best_Recall,Mode
Dolphins,Adamic-Adar,0.7417570557815373,0.05,0.30968588185077967,0.26753664356421697,0.7262464985994399,0.7615652809364777,Normalized
Dolphins,Adamic-Adar,0.7471968511405132,0.05,0.6915931857134235,0.0590035024662888,0.7385026201868307,0.7615652809364777,Unnormalized
Dolphins,CAR-based CN,0.7251737033266934,0.05,0.31949243391674376,0.2651825380143702,0.6943617167146579,0.7615652809364777,Normalized
Dolphins,CAR-based CN,0.7600117466341375,0.05,0.7554883226320127,0.020229367119611135,0.7656251945222533,0.7615652809364777,Unnormalized
Dolphins,Common Neighbors,0.729453717573189,0.05,0.31306012848631515,0.2636150148140541,0.7046949891067539,0.7615652809364777,Normalized
Dolphins,Common Neighbors,0.7589538286346228,0.05,0.7544807816800936,0.020004074113750613,0.7586733716475095,0.7615652809364777,Unnormalized
Dolphins,Cosine Similarity,0.755683748100713,0.05,0.36765229553803624,0.28939302772960734,0.755851302397792,0.7615652809364777,Normalized
Dolphins,Cosine Similarity,0.7351450876417734,0.05,0.28969275604636485,0.2876469985446063,0.7155713104100201,0.7615652809364777,Unnormalized
Dolphins,Jaccard,0.763088743074904,0.05,0.29168229948038543,0.2773560556197229,0.7683922558922559,0.7615652809364777,Normalized
Dolphins,Jaccard,0.7656403600155731,0.05,0.197567145254076,0.26777739597370415,0.7753980938416423,0.7615652809364777,Unnormalized
Dolphins,Preferential Attachment,0.7271793447454422,0.05,0.3527487283336888,0.2759979011669073,0.5796342198597838,0.98064963359081,Normalized
Dolphins,Preferential Attachment,0.6650198425895133,0.0,0.6650198425895134,1.1102230246251565e-16,0.4999007936507936,1.0,Unnormalized
Dolphins,Resource Allocation,0.763625292362657,0.05,0.27875333292526583,0.2684815967678595,0.770906862745098,0.7615652809364777,Normalized
Dolphins,Resource Allocation,0.7327351616322204,0.05,0.3185134423491359,0.26015998508462457,0.7096152231536232,0.7615652809364777,Unnormalized
Dolphins,Sorensen Index,0.7503448293295466,0.05,0.3587330658760615,0.2833829230523927,0.7404761904761905,0.7615652809364777,Normalized
Dolphins,Sorensen Index,0.753967611946205,0.05,0.297634438186,0.29498242331087493,0.7511816680934329,0.7615652809364777,Unnormalized
Karate,Adamic-Adar,0.6661111111111111,0.0,0.13364982033382117,0.19362926751229312,0.5002016129032258,1.0,Normalized
Karate,Adamic-Adar,0.6942040046691209,0.05,0.6020331158716561,0.07957699206478129,0.5849299251473165,0.8572829131652661,Unnormalized
Karate,CAR-based CN,0.707179029818915,0.05,0.1752783366169461,0.22715370444939983,0.604294213795358,0.8572829131652661,Normalized
Karate,CAR-based CN,0.7052170052170051,0.05,0.7033548197833911,0.00832794643254166,0.6035458937198068,0.8572829131652661,Unnormalized
Karate,Common Neighbors,0.7099280832271846,0.05,0.20804976362353209,0.24340741865769522,0.6074157726331639,0.8572829131652661,Normalized
Karate,Common Neighbors,0.6994345565077273,0.05,0.6978477257745551,0.0070965227763177515,0.5930830039525692,0.8572829131652661,Unnormalized
Karate,Cosine Similarity,0.6941336141336141,0.05,0.24763403498067468,0.26658154813112983,0.587920634920635,0.8572829131652661,Normalized
Karate,Cosine Similarity,0.6997487481698008,0.05,0.25183152855412205,0.2687947634801224,0.5913352155091286,0.8572829131652661,Unnormalized
Karate,Jaccard,0.7276367518227984,0.05,0.19457687024369535,0.2405014756174244,0.6382623224728488,0.8572829131652661,Normalized
Karate,Jaccard,0.7513512123806241,0.05,0.16294741212314104,0.24229821619237402,0.6829347826086957,0.8439495798319328,Unnormalized
Karate,Preferential Attachment,0.7834885124358809,0.05,0.2645488732703837,0.2691557614368454,0.7054952890247008,0.8861344537815125,Normalized
Karate,Preferential Attachment,0.6661111111111111,0.0,0.666111111111111,1.1102230246251565e-16,0.5002016129032258,1.0,Unnormalized
Karate,Resource Allocation,0.6661111111111111,0.0,0.12386720318354387,0.18511349971793864,0.5002016129032258,1.0,Normalized
Karate,Resource Allocation,0.729179131510491,0.05,0.31789844303321974,0.21917303773617963,0.639558629776021,0.8572829131652661,Unnormalized
Karate,Sorensen Index,0.6978034517187277,0.05,0.26729981030724526,0.2514271961401821,0.5905627705627705,0.8572829131652661,Normalized
Karate,Sorensen Index,0.7103707987918515,0.05,0.2325164988561441,0.255889450923262,0.6099787512258907,0.8572829131652661,Unnormalized
Les Misérables,Adamic-Adar,0.8797612315740675,0.05,0.30083095441296726,0.35357100997643653,0.8983129603262494,0.8634457009661659,Normalized
Les Misérables,Adamic-Adar,0.8855185628452954,0.65,0.8424905535426849,0.05130681209637456,0.9446897327596415,0.8349186557773993,Unnormalized
Les Misérables,CAR-based CN,0.859561809099832,0.1,0.3421894474283817,0.33368527601331893,0.9618824802648331,0.7782315148764802,Normalized
Les Misérables,CAR-based CN,0.8246981828999231,0.05,0.8171372500377325,0.033813519706340285,0.7521324312330455,0.9145918190862601,Unnormalized
Les Misérables,Common Neighbors,0.8823690131296535,0.1,0.4074950308043165,0.34196116893587214,0.9263450834879408,0.8426030468580169,Normalized
Les Misérables,Common Neighbors,0.802320028623873,0.05,0.79582472215578,0.029047893594699736,0.7149437445529291,0.9145918190862601,Unnormalized
Les Misérables,Cosine Similarity,0.8073175611871063,0.15000000000000002,0.5538672909449542,0.2763457837804676,0.7502440157597383,0.8751556829884025,Normalized
Les Misérables,Cosine Similarity,0.79468954220699,0.15000000000000002,0.5499279517074681,0.2728446796445247,0.729759122704038,0.8751556829884025,Unnormalized
Les Misérables,Jaccard,0.8198447560706639,0.1,0.4484967664594223,0.3015516780360257,0.839176229904238,0.8045673991587105,Normalized
Les Misérables,Jaccard,0.8130721824129792,0.1,0.4422712477675297,0.29748807513894143,0.8235937220678335,0.8045673991587105,Unnormalized
Les Misérables,Preferential Attachment,0.7799677983992732,0.05,0.21244770716804404,0.2563816669704249,0.7530435271433589,0.8114956134574587,Normalized
Les Misérables,Preferential Attachment,0.6659185927939214,0.0,0.6659185927939215,1.1102230246251565e-16,0.5,1.0,Unnormalized
Les Misérables,Resource Allocation,0.8712942250009361,0.05,0.24490926695878742,0.33553737823912416,0.933830290117198,0.8188608476682063,Normalized
Les Misérables,Resource Allocation,0.8726849814568851,0.1,0.6072741448901567,0.27947473756788066,0.9095035380142491,0.8391739749263355,Unnormalized
Les Misérables,Sorensen Index,0.8079913635799107,0.05,0.5519996696164318,0.2767434658187483,0.7265600998463901,0.9145918190862601,Normalized
Les Misérables,Sorensen Index,0.816241452948071,0.2,0.5524634024568952,0.2776575577042479,0.8570745838793419,0.7852177403871328,Unnormalized
