Dataset       , Method                 , Best_F1           , Best_Threshold     , F1_Mean            , F1_Std             , Best_Precision    , Best_Recall
Dolphins      , Resource Allocation    , 0.763625292362657 , 0.05               , 0.27875333292526583, 0.2684815967678595 , 0.770906862745098 , 0.7615652809364777
Dolphins      , Jaccard                , 0.763088743074904 , 0.05               , 0.29168229948038543, 0.2773560556197229 , 0.7683922558922559, 0.7615652809364777
Dolphins      , Cosine Similarity      , 0.755683748100713 , 0.05               , 0.36765229553803624, 0.28939302772960734, 0.755851302397792 , 0.7615652809364777
Dolphins      , Sorensen Index         , 0.7503448293295466, 0.05               , 0.3587330658760615 , 0.2833829230523927 , 0.7404761904761905, 0.7615652809364777
Dolphins      , Adamic-Adar            , 0.7417570557815373, 0.05               , 0.30968588185077967, 0.26753664356421697, 0.7262464985994399, 0.7615652809364777
Dolphins      , Common Neighbors       , 0.729453717573189 , 0.05               , 0.31306012848631515, 0.2636150148140541 , 0.7046949891067539, 0.7615652809364777
Dolphins      , Preferential Attachment, 0.7271793447454422, 0.05               , 0.3527487283336888 , 0.2759979011669073 , 0.5796342198597838, 0.98064963359081
Dolphins      , CAR-based CN           , 0.7251737033266934, 0.05               , 0.31949243391674376, 0.2651825380143702 , 0.6943617167146579, 0.7615652809364777
Karate        , Preferential Attachment, 0.7834885124358809, 0.05               , 0.2645488732703837 , 0.2691557614368454 , 0.7054952890247008, 0.8861344537815125
Karate        , Jaccard                , 0.7276367518227984, 0.05               , 0.19457687024369535, 0.2405014756174244 , 0.6382623224728488, 0.8572829131652661
Karate        , Common Neighbors       , 0.7099280832271846, 0.05               , 0.20804976362353209, 0.24340741865769522, 0.6074157726331639, 0.8572829131652661
Karate        , CAR-based CN           , 0.707179029818915 , 0.05               , 0.1752783366169461 , 0.22715370444939983, 0.604294213795358 , 0.8572829131652661
Karate        , Sorensen Index         , 0.6978034517187277, 0.05               , 0.26729981030724526, 0.2514271961401821 , 0.5905627705627705, 0.8572829131652661
Karate        , Cosine Similarity      , 0.6941336141336141, 0.05               , 0.24763403498067468, 0.26658154813112983, 0.587920634920635 , 0.8572829131652661
Karate        , Adamic-Adar            , 0.6661111111111111, 0.0                , 0.13364982033382117, 0.19362926751229312, 0.5002016129032258, 1.0
Karate        , Resource Allocation    , 0.6661111111111111, 0.0                , 0.12386720318354387, 0.18511349971793864, 0.5002016129032258, 1.0
Les Misérables, Common Neighbors       , 0.8823690131296535, 0.1                , 0.4074950308043165 , 0.34196116893587214, 0.9263450834879408, 0.8426030468580169
Les Misérables, Adamic-Adar            , 0.8797612315740675, 0.05               , 0.30083095441296726, 0.35357100997643653, 0.8983129603262494, 0.8634457009661659
Les Misérables, Resource Allocation    , 0.8712942250009361, 0.05               , 0.24490926695878742, 0.33553737823912416, 0.933830290117198 , 0.8188608476682063
Les Misérables, CAR-based CN           , 0.859561809099832 , 0.1                , 0.3421894474283817 , 0.33368527601331893, 0.9618824802648331, 0.7782315148764802
Les Misérables, Jaccard                , 0.8198447560706639, 0.1                , 0.4484967664594223 , 0.3015516780360257 , 0.839176229904238 , 0.8045673991587105
Les Misérables, Sorensen Index         , 0.8079913635799107, 0.05               , 0.5519996696164318 , 0.2767434658187483 , 0.7265600998463901, 0.9145918190862601
Les Misérables, Cosine Similarity      , 0.8073175611871063, 0.15000000000000002, 0.5538672909449542 , 0.2763457837804676 , 0.7502440157597383, 0.8751556829884025
Les Misérables, Preferential Attachment, 0.7799677983992732, 0.05               , 0.21244770716804404, 0.2563816669704249 , 0.7530435271433589, 0.8114956134574587
