Dataset,Method,Best_F1,Best_Threshold,F1_Mean,F1_Std,Best_Precision,Best_Recall
Dolphins,Jaccard,0.7656403600155731,0.05,0.197567145254076,0.26777739597370415,0.7753980938416423,0.7615652809364777
Dolphins,CAR-based CN,0.7600117466341375,0.05,0.7554883226320127,0.020229367119611135,0.7656251945222533,0.7615652809364777
Dolphins,Common Neighbors,0.7589538286346228,0.05,0.7544807816800936,0.020004074113750613,0.7586733716475095,0.7615652809364777
Dolphins,Sorensen Index,0.753967611946205,0.05,0.297634438186,0.29498242331087493,0.7511816680934329,0.7615652809364777
Dolphins,Adamic-Adar,0.7471968511405132,0.05,0.6915931857134235,0.0590035024662888,0.7385026201868307,0.7615652809364777
Dolphins,Cosine Similarity,0.7351450876417734,0.05,0.28969275604636485,0.2876469985446063,0.7155713104100201,0.7615652809364777
Dolphins,Resource Allocation,0.7327351616322204,0.05,0.3185134423491359,0.26015998508462457,0.7096152231536232,0.7615652809364777
Dolphins,Preferential Attachment,0.6650198425895133,0.0,0.6650198425895134,1.1102230246251565e-16,0.4999007936507936,1.0
Karate,Jaccard,0.7513512123806241,0.05,0.16294741212314104,0.24229821619237402,0.6829347826086957,0.8439495798319328
Karate,Resource Allocation,0.729179131510491,0.05,0.31789844303321974,0.21917303773617963,0.639558629776021,0.8572829131652661
Karate,Sorensen Index,0.7103707987918515,0.05,0.2325164988561441,0.255889450923262,0.6099787512258907,0.8572829131652661
Karate,CAR-based CN,0.7052170052170051,0.05,0.7033548197833911,0.00832794643254166,0.6035458937198068,0.8572829131652661
Karate,Cosine Similarity,0.6997487481698008,0.05,0.25183152855412205,0.2687947634801224,0.5913352155091286,0.8572829131652661
Karate,Common Neighbors,0.6994345565077273,0.05,0.6978477257745551,0.0070965227763177515,0.5930830039525692,0.8572829131652661
Karate,Adamic-Adar,0.6942040046691209,0.05,0.6020331158716561,0.07957699206478129,0.5849299251473165,0.8572829131652661
Karate,Preferential Attachment,0.6661111111111111,0.0,0.666111111111111,1.1102230246251565e-16,0.5002016129032258,1.0
Les Misérables,Adamic-Adar,0.8855185628452954,0.65,0.8424905535426849,0.05130681209637456,0.9446897327596415,0.8349186557773993
Les Misérables,Resource Allocation,0.8726849814568851,0.1,0.6072741448901567,0.27947473756788066,0.9095035380142491,0.8391739749263355
Les Misérables,CAR-based CN,0.8246981828999231,0.05,0.8171372500377325,0.033813519706340285,0.7521324312330455,0.9145918190862601
Les Misérables,Sorensen Index,0.816241452948071,0.2,0.5524634024568952,0.2776575577042479,0.8570745838793419,0.7852177403871328
Les Misérables,Jaccard,0.8130721824129792,0.1,0.4422712477675297,0.29748807513894143,0.8235937220678335,0.8045673991587105
Les Misérables,Common Neighbors,0.802320028623873,0.05,0.79582472215578,0.029047893594699736,0.7149437445529291,0.9145918190862601
Les Misérables,Cosine Similarity,0.79468954220699,0.15000000000000002,0.5499279517074681,0.2728446796445247,0.729759122704038,0.8751556829884025
Les Misérables,Preferential Attachment,0.6659185927939214,0.0,0.6659185927939215,1.1102230246251565e-16,0.5,1.0
