Source,Target
0,1
0,2
0,3
0,4
0,5
0,6
0,8
0,9
0,13
0,11
0,31
0,35
0,52
0,57
0,21
0,72
0,73
0,81
0,90
0,94
0,97
0,102
0,103
0,121
0,123
0,141
0,171
0,174
0,220
0,229
0,235
0,299
0,305
0,309
0,326
0,330
0,337
0,354
0,361
0,372
0,450
0,467
0,485
0,492
0,503
0,513
0,275
0,526
0,535
0,544
0,565
0,615
0,628
0,659
0,710
0,715
0,732
0,761
0,810
0,812
0,826
0,270
0,862
0,863
0,867
0,870
0,894
0,937
0,941
0,1010
0,1061
0,1064
0,1085
0,1089
0,1110
0,1111
0,1128
0,1152
0,1267
0,1387
0,1526
0,1644
0,1742
0,1791
0,1818
0,1831
0,1841
0,1864
0,1987
1,2
1,3
1,4
1,5
1,7
1,8
1,9
1,10
1,13
1,18
1,19
1,20
1,24
1,30
1,32
1,46
1,49
1,50
1,57
1,67
1,73
1,77
1,78
1,84
1,98
1,130
1,136
1,137
1,140
1,150
1,87
1,162
1,169
1,180
1,214
1,216
1,231
1,234
1,238
1,274
1,275
1,313
1,347
1,362
1,381
1,384
1,396
1,404
1,406
1,413
1,426
1,484
1,545
1,552
1,127
1,559
1,270
1,569
1,583
1,595
1,602
1,618
1,641
1,647
1,649
1,716
1,728
1,102
1,836
1,875
1,887
1,898
1,928
1,938
1,972
1,977
1,1004
1,1018
1,1027
1,1030
1,1032
1,1073
1,1078
1,1103
1,1117
1,1125
1,85
1,1192
1,1220
1,1258
1,125
1,26
1,1296
1,1312
1,1323
1,1355
1,1392
1,1419
1,88
1,1471
1,1482
1,1514
1,1526
1,1653
1,1720
1,1737
1,1775
1,1778
1,1806
1,1833
1,1861
1,1862
1,1879
1,1881
1,1947
1,1999
2,3
2,4
2,5
2,6
2,8
2,12
2,14
2,17
2,20
2,22
2,28
2,40
2,41
2,42
2,44
2,52
2,55
2,60
2,65
2,69
2,77
2,80
2,90
2,105
2,106
2,110
2,111
2,117
2,127
2,98
2,142
2,143
2,180
2,192
2,198
2,202
2,219
2,228
2,236
2,242
2,270
2,303
2,335
2,338
2,347
2,366
2,367
2,369
2,377
2,402
2,173
2,450
2,474
2,475
2,479
2,509
2,518
2,522
2,530
2,543
2,559
2,571
2,635
2,665
2,672
2,760
2,782
2,802
2,804
2,808
2,128
2,866
2,879
2,935
2,943
2,944
2,981
2,1072
2,785
2,1162
2,1170
2,1175
2,1178
2,1193
2,1202
2,1215
2,1239
2,1307
2,1334
2,1364
2,1395
2,1402
2,1418
2,1430
2,1484
2,1497
2,1519
2,1520
2,1554
2,1594
2,1597
2,1599
2,1625
2,1681
2,1723
2,1746
2,1751
2,1788
2,1809
2,1820
2,1838
2,1857
2,1959
2,1983
3,7
3,11
3,12
3,14
3,17
3,21
3,8
3,30
3,39
3,55
3,64
3,82
3,86
3,89
3,100
3,109
3,115
3,131
3,302
3,316
3,340
3,361
3,420
3,425
3,427
3,433
3,486
3,624
3,670
3,692
3,718
3,731
3,742
3,797
3,873
3,296
3,960
3,1014
3,1047
3,1122
3,1147
3,1156
3,1198
3,1327
3,1398
3,1411
3,1439
3,1441
3,1453
3,1512
3,1559
3,1568
3,1590
3,1608
3,1621
3,1640
3,1718
3,1777
3,1803
3,1869
4,11
4,15
4,25
4,31
4,79
4,98
4,135
4,106
4,186
4,259
4,657
4,715
4,762
4,763
4,781
4,943
4,945
4,1059
4,1120
4,1216
4,1238
4,1276
4,1540
4,1553
4,1628
4,1969
5,6
5,12
5,16
5,29
5,22
5,37
5,25
5,39
5,40
5,48
5,55
5,63
5,21
5,76
5,80
5,87
5,112
5,113
5,116
5,125
5,127
5,20
5,140
5,144
5,145
5,166
5,202
5,205
5,224
5,244
5,289
5,374
5,375
5,387
5,424
5,532
5,539
5,591
5,593
5,596
5,626
5,652
5,709
5,718
5,719
5,733
5,797
5,825
5,840
5,845
5,860
5,904
5,913
5,920
5,928
5,1086
5,1091
5,1100
5,1128
5,42
5,1273
5,1282
5,1346
5,1359
5,1394
5,1407
5,1434
5,1490
5,1589
5,1594
5,1657
5,1661
5,1714
5,1730
5,1810
5,1866
5,1885
5,1895
6,7
6,69
6,85
6,114
6,346
6,438
6,687
6,1420
6,1517
6,1808
6,1847
6,1929
7,10
7,11
7,14
7,17
7,19
7,33
7,38
7,59
7,65
7,76
7,124
7,161
7,168
7,173
7,185
7,190
7,217
7,234
7,249
7,259
7,261
7,292
7,305
7,318
7,324
7,337
7,419
7,445
7,112
7,455
7,460
7,477
7,573
7,603
7,637
7,653
7,696
7,753
7,756
7,803
7,807
7,820
7,827
7,832
7,854
7,938
7,971
7,1017
7,1067
7,1082
7,1156
7,1183
7,1214
7,1224
7,1246
7,1310
7,1380
7,1482
7,1494
7,1517
7,1571
7,1658
7,1779
7,1824
7,1972
7,1990
8,9
8,10
8,13
8,21
8,27
8,29
8,32
8,36
8,41
8,42
8,64
8,84
8,92
8,106
8,116
8,119
8,124
8,128
8,130
8,155
8,179
8,181
8,187
8,189
8,196
8,204
8,215
8,236
8,257
8,311
8,150
8,317
8,322
8,28
8,350
8,356
8,371
8,385
8,411
8,463
8,467
8,538
8,577
8,596
8,601
8,604
8,655
8,668
8,685
8,714
8,735
8,738
8,746
8,763
8,787
8,850
8,855
8,877
8,911
8,932
8,946
8,1046
8,1097
8,1121
8,1197
8,1212
8,1215
8,1221
8,1241
8,1267
8,1268
8,1272
8,1274
8,1284
8,1314
8,1316
8,1317
8,180
8,1484
8,1553
8,1605
8,1683
8,1729
8,1740
8,1817
8,1948
8,1963
9,15
9,18
9,20
9,56
9,70
9,74
9,78
9,86
9,101
9,126
9,140
9,152
9,30
9,162
9,164
9,193
9,269
9,312
9,317
9,320
9,328
9,335
9,336
9,341
9,385
9,393
9,468
9,490
9,499
9,536
9,552
9,576
9,601
9,645
9,665
9,700
9,758
9,157
9,855
9,873
9,874
9,881
9,892
9,962
9,990
9,1006
9,1038
9,1130
9,1139
9,1191
9,1206
9,1242
9,1439
9,1503
9,1724
9,1731
9,1882
9,1907
9,1944
9,1993
10,16
10,25
10,146
10,160
10,277
10,359
10,375
10,471
10,505
10,588
10,1070
10,1192
10,1216
10,1447
10,1904
10,1906
10,1937
11,18
11,19
11,73
11,104
11,188
11,212
11,237
11,241
11,294
11,516
11,623
11,691
11,721
11,959
11,1371
11,1595
11,1759
11,1892
12,16
12,26
12,33
12,34
12,35
12,40
12,43
12,48
12,49
12,63
12,70
12,76
12,81
12,92
12,100
12,102
12,103
12,108
12,128
12,134
12,172
12,179
12,210
12,226
12,251
12,256
12,270
12,47
12,296
12,346
12,389
12,449
12,481
12,496
12,314
12,578
12,241
12,641
12,677
12,697
12,707
12,723
12,736
12,743
12,804
12,839
12,883
12,887
12,996
12,1068
12,1148
12,1169
12,1209
12,282
12,1248
12,1263
12,1538
12,1597
12,1600
12,1684
12,1893
13,15
13,21
13,24
13,25
13,27
13,37
13,53
13,77
13,95
13,98
13,121
13,132
13,133
