Id,Label,Degree,ClusteringCoefficient
0,0,89,0.012002042900919305
1,1,117,0.012967875036840553
2,2,116,0.012743628185907047
3,3,63,0.014848950332821301
4,4,29,0.027093596059113302
5,5,81,0.014197530864197531
6,6,15,0.047619047619047616
7,7,69,0.008525149190110827
8,8,91,0.012942612942612943
9,9,63,0.00972862263184844
10,10,20,0.031578947368421054
11,11,22,0.025974025974025976
12,12,64,0.015376984126984126
13,13,49,0.017006802721088437
14,14,23,0.011857707509881422
15,15,24,0.0036231884057971015
16,16,44,0.009513742071881607
17,17,16,0.06666666666666667
18,18,11,0.01818181818181818
19,19,35,0.010084033613445379
20,20,71,0.007645875251509054
21,21,75,0.007927927927927928
22,22,65,0.006730769230769231
23,23,13,0
24,24,32,0.008064516129032258
25,25,67,0.005879692446856626
26,26,96,0.007894736842105263
27,27,15,0.06666666666666667
28,28,67,0.010402532790592492
29,29,15,0.009523809523809525
30,30,18,0.0196078431372549
31,31,17,0.007352941176470588
32,32,26,0.018461538461538463
33,33,44,0.010570824524312896
34,34,25,0.006666666666666667
35,35,24,0.0036231884057971015
36,36,20,0.005263157894736842
37,37,7,0.047619047619047616
38,38,26,0.003076923076923077
39,39,11,0
40,40,20,0.02631578947368421
41,41,33,0.00946969696969697
42,42,26,0.018461538461538463
43,43,21,0.01904761904761905
44,44,7,0.047619047619047616
45,45,21,0.02857142857142857
46,46,10,0.044444444444444446
47,47,16,0.03333333333333333
48,48,15,0.02857142857142857
49,49,27,0.019943019943019943
50,50,23,0.019762845849802372
51,51,23,0.003952569169960474
52,52,21,0.01904761904761905
53,53,14,0.04395604395604396
54,54,18,0.026143790849673203
55,55,24,0.018115942028985508
56,56,18,0.013071895424836602
57,57,15,0.02857142857142857
58,58,20,0.010526315789473684
59,59,23,0.011857707509881422
60,60,22,0.012987012987012988
61,61,4,0.3333333333333333
62,62,15,0.009523809523809525
63,63,19,0.017543859649122806
64,64,16,0.016666666666666666
65,65,24,0.0036231884057971015
66,66,30,0.0022988505747126436
67,67,26,0.006153846153846154
68,68,10,0
69,69,14,0.01098901098901099
70,70,10,0.06666666666666667
71,71,25,0.006666666666666667
72,72,19,0
73,73,10,0.044444444444444446
74,74,13,0
75,75,37,0.0045045045045045045
