Source,Target
0,1
0,2
0,3
0,4
0,5
0,7
0,8
0,9
0,13
0,16
0,19
0,24
0,26
0,27
0,33
0,44
0,46
0,57
0,77
0,83
0,92
0,96
0,118
0,121
0,156
0,157
0,161
0,171
0,183
0,187
0,191
0,211
0,214
0,238
0,246
0,256
0,308
0,329
0,342
0,393
0,404
0,418
0,420
0,430
0,436
0,437
0,448
0,452
0,454
0,483
0,487
0,499
0,507
0,511
0,527
0,581
0,586
0,629
0,630
0,692
0,713
0,724
0,838
0,957
0,971
0,1025
0,1074
0,1125
0,1166
0,1196
0,1216
0,1357
0,1426
0,1478
0,1479
0,1492
0,1525
0,1605
0,1635
0,1728
0,1800
0,1805
0,1811
0,1831
0,1887
0,1916
0,1924
1,113
1,149
1,184
1,209
1,326
1,1029
1,1248
1,1456
1,1487
1,1605
2,4
2,5
2,6
2,7
2,9
2,10
2,13
2,15
2,17
2,22
2,27
2,30
2,31
2,37
2,38
2,40
2,41
2,42
2,43
2,45
2,54
2,75
2,89
2,93
2,99
2,107
2,119
2,127
2,130
2,131
2,137
2,140
2,141
2,144
2,145
2,147
2,148
2,163
2,166
2,173
2,206
2,212
2,216
2,237
2,238
2,266
2,268
2,297
2,298
2,309
2,314
2,319
2,330
2,336
2,347
2,354
2,355
2,372
2,384
2,387
2,392
2,398
2,406
2,417
2,472
2,495
2,531
2,539
2,548
2,556
2,574
2,577
2,578
2,598
2,605
2,624
2,641
2,653
2,657
2,666
2,674
2,675
2,693
2,701
2,731
2,753
2,767
2,788
2,804
2,805
2,812
2,828
2,834
2,858
2,870
2,879
2,901
2,906
2,913
2,948
2,969
2,978
2,1003
2,1033
2,1042
2,1052
2,1072
2,1078
2,1107
2,1135
2,1143
2,1152
2,1160
2,1255
2,1273
2,1290
2,1299
2,1327
2,1342
2,1357
2,1375
2,1380
2,1392
2,1406
2,1467
2,1506
2,1540
2,1547
2,1561
2,1576
2,1685
2,1703
2,1744
2,1779
2,1783
2,1786
2,1794
2,1807
2,1840
2,1853
2,1887
2,1910
2,1942
2,1952
2,1996
3,4
3,6
3,11
3,17
3,26
3,31
3,36
3,40
3,47
3,52
3,56
3,59
3,61
3,62
3,64
3,76
3,78
3,83
3,119
3,193
3,237
3,238
3,265
3,312
3,361
3,372
3,377
3,409
3,447
3,461
3,493
3,709
3,725
3,744
3,752
3,757
3,813
3,819
3,821
3,861
3,899
3,931
3,1030
3,1086
3,1139
3,1203
3,1275
3,1382
3,1385
3,1453
3,1472
3,1514
3,1537
3,1597
3,1652
3,1748
3,1842
3,1892
3,1999
4,5
4,6
4,12
4,16
4,34
4,53
4,55
4,56
4,63
4,72
4,86
4,90
4,127
4,301
4,329
4,386
4,524
4,526
4,577
4,623
4,716
4,778
4,890
4,916
4,1280
4,1506
4,1832
5,10
5,11
5,12
5,14
5,16
5,20
5,22
5,25
5,29
5,30
5,36
5,38
5,54
5,64
5,85
5,89
5,122
5,137
5,154
5,161
5,190
5,192
5,193
5,209
5,213
5,217
5,229
5,258
5,280
5,286
5,290
5,337
5,376
5,380
5,390
5,421
5,427
5,436
5,438
5,469
5,472
5,488
5,497
5,523
5,644
5,663
5,679
5,734
5,735
5,793
5,798
5,814
5,829
5,845
5,855
5,876
5,959
5,974
5,987
5,988
5,1070
5,1081
5,1128
5,1135
5,1156
5,1199
5,1211
5,1267
5,1276
5,1282
5,1283
5,1300
5,1361
5,1412
5,1486
5,1523
5,1560
5,1599
5,1615
5,1624
5,1654
5,1667
5,1735
5,1865
5,1954
5,1962
5,1972
6,7
6,8
6,9
6,12
6,13
6,17
6,19
6,32
6,63
6,72
6,88
6,95
6,155
6,163
6,186
6,195
6,199
6,226
6,276
6,298
6,311
6,312
6,365
6,368
6,734
6,837
6,840
6,851
6,896
6,958
6,993
6,1023
6,1047
6,1049
6,1055
6,1068
6,1144
6,1177
6,1186
6,1220
6,1223
6,1238
6,1318
6,1371
6,1449
6,1557
6,1583
6,1590
6,1671
6,1690
6,1779
6,1889
6,1898
6,1992
7,8
7,20
7,33
7,34
7,44
7,46
7,60
7,62
7,75
7,81
7,166
7,349
7,549
7,586
7,614
7,869
7,964
7,1160
7,1377
7,1563
7,1647
7,1761
7,1879
7,1888
8,10
8,11
8,14
8,18
8,21
8,23
8,28
8,66
8,67
8,77
8,90
8,109
8,123
8,136
8,169
8,178
8,223
8,233
8,259
8,263
8,335
8,353
8,412
8,498
8,545
8,558
8,671
8,760
8,766
8,783
8,819
8,952
8,988
8,1067
8,1173
8,1205
8,1242
8,1263
8,1330
8,1346
8,1383
8,1424
8,1465
8,1590
8,1604
8,1729
8,1788
8,1882
9,19
9,37
9,48
9,169
9,182
9,231
9,412
9,418
9,467
9,468
9,523
9,603
9,697
9,705
9,783
9,1202
9,1245
9,1248
9,1315
9,1562
9,1684
9,1824
9,1914
10,15
10,21
10,25
10,35
10,59
10,69
10,85
10,93
10,100
10,104
10,106
10,109
10,122
10,132
10,162
10,168
10,177
10,193
10,196
10,197
10,228
10,241
10,296
10,302
10,309
10,323
10,341
10,378
10,389
10,400
10,411
10,433
10,449
10,477
10,491
10,557
10,571
10,583
10,609
10,655
10,660
10,693
10,716
10,771
10,772
10,813
10,850
10,865
10,876
10,923
10,937
10,959
10,1035
10,1270
10,1391
10,1394
10,1429
10,1524
10,1569
10,1636
10,1640
10,1673
10,1690
10,1714
10,1742
10,1745
10,1791
10,1919
10,1920
10,1922
10,1938
10,1949
11,18
11,21
11,33
11,51
11,56
11,81
11,88
11,97
11,98
11,146
11,216
11,251
11,256
11,517
11,543
11,555
11,617
11,633
11,647
11,650
11,669
11,673
11,738
11,779
11,846
11,898
11,1332
11,1347
11,1352
11,1446
11,1490
11,1530
11,1610
11,1803
12,18
12,23
12,25
12,30
12,35
12,39
12,41
12,58
12,85
12,183
12,205
12,209
12,211
12,242
12,274
12,286
12,291
12,315
12,333
12,350
12,369
12,414
12,429
12,450
12,471
12,490
12,506
12,510
12,538
12,584
12,590
12,593
12,629
12,634
12,636
12,668
12,699
12,719
12,769
12,781
12,786
12,878
12,936
12,1050
12,1081
12,1118
12,1141
12,1162
12,1210
12,1252
12,1270
12,1319
12,1371
12,1417
12,1468
12,1684
12,1721
12,1735
12,1996
13,14
13,15
13,211
13,255
13,285
13,297
13,489
13,499
13,745
13,792
13,1216
13,1524
13,1914
13,1975
14,52
14,53
14,106
14,415
14,982
15,58
15,121
15,123
15,125
15,188
15,311
15,314
15,321
15,357
15,449
15,463
15,586
15,637
15,701
15,809
15,1016
15,1037
15,1127
15,1312
15,1648
15,1736
15,1896
15,1918
16,28
16,29
16,67
16,102
16,110
16,162
16,204
16,276
16,283
16,293
16,307
16,351
16,376
16,521
16,534
16,542
16,554
16,564
16,620
16,743
16,758
16,845
16,889
16,1036
16,1400
16,1512
16,1554
16,1796
17,24
17,26
17,32
17,37
17,43
17,50
17,60
17,114
17,131
17,140
17,141
17,161
17,204
17,232
17,233
17,248
17,305
17,337
