Id,Label,Degree,ClusteringCoefficient
0,0,66,0.018648018648018648
1,1,44,0.012684989429175475
2,2,7,0.09523809523809523
3,3,69,0.008525149190110827
4,4,157,0.005552833578311285
5,5,117,0.010167992926613616
6,6,119,0.0074063523714570575
7,7,113,0.008691529709228825
8,8,62,0.007932310946589107
9,9,45,0.011111111111111112
10,10,53,0.009433962264150943
11,11,19,0.029239766081871343
12,12,76,0.009122807017543859
13,13,27,0.008547008547008548
14,14,36,0.015873015873015872
15,15,24,0.018115942028985508
16,16,50,0.00816326530612245
17,17,10,0
18,18,23,0.015810276679841896
19,19,21,0.023809523809523808
20,20,22,0.030303030303030304
21,21,16,0.041666666666666664
22,22,59,0.004675628287551139
23,23,26,0.009230769230769232
24,24,6,0.13333333333333333
25,25,42,0.012775842044134728
26,26,35,0.008403361344537815
27,27,18,0.013071895424836602
28,28,23,0.015810276679841896
29,29,25,0.016666666666666666
30,30,29,0.007389162561576354
31,31,18,0.013071895424836602
32,32,16,0.016666666666666666
33,33,31,0.015053763440860216
34,34,55,0.007407407407407408
35,35,9,0.027777777777777776
36,36,16,0.016666666666666666
37,37,16,0.03333333333333333
38,38,19,0.017543859649122806
39,39,12,0.030303030303030304
40,40,6,0.06666666666666667
41,41,23,0.019762845849802372
42,42,19,0
43,43,17,0.014705882352941176
44,44,9,0.08333333333333333
45,45,34,0.0017825311942959
46,46,19,0.017543859649122806
47,47,28,0.0026455026455026454
48,48,16,0.025
49,49,18,0.026143790849673203
50,50,16,0.008333333333333333
51,51,23,0.019762845849802372
52,52,8,0.03571428571428571
53,53,16,0.016666666666666666
54,54,15,0
55,55,9,0.05555555555555555
56,56,54,0.007686932215234102
57,57,8,0
58,58,23,0.007905138339920948
59,59,12,0.015151515151515152
60,60,18,0
61,61,12,0
62,62,13,0.02564102564102564
63,63,3,0
64,64,21,0.014285714285714285
65,65,14,0
66,66,12,0.015151515151515152
67,67,9,0.05555555555555555
68,68,13,0.02564102564102564
69,69,19,0.011695906432748537
70,70,22,0
71,71,26,0.012307692307692308
72,72,6,0.06666666666666667
73,73,19,0
74,74,18,0.026143790849673203
75,75,10,0
76,76,24,0.007246376811594203
77,77,26,0.003076923076923077
78,78,23,0.007905138339920948
79,79,13,0
80,80,17,0.007352941176470588
81,81,42,0.003484320557491289
82,82,5,0.3
83,83,7,0.14285714285714285
84,84,23,0.007905138339920948
85,85,21,0.01904761904761905
86,86,12,0.030303030303030304
87,87,7,0.09523809523809523
88,88,11,0
89,89,9,0
90,90,3,0
91,91,24,0.010869565217391304
92,92,11,0.01818181818181818
93,93,13,0.01282051282051282
94,94,22,0.021645021645021644
95,95,30,0.011494252873563218
96,96,12,0.015151515151515152
97,97,19,0.011695906432748537
98,98,17,0.014705882352941176
99,99,21,0.004761904761904762
100,100,15,0
101,101,13,0.01282051282051282
102,102,20,0.005263157894736842
103,103,19,0
104,104,8,0.03571428571428571
105,105,14,0.01098901098901099
106,106,17,0.014705882352941176
107,107,11,0
108,108,18,0
109,109,5,0
110,110,15,0.009523809523809525
111,111,8,0.10714285714285714
112,112,10,0
113,113,29,0
114,114,12,0.015151515151515152
115,115,22,0.017316017316017316
116,116,16,0
117,117,38,0.001422475106685633
118,118,10,0.022222222222222223
119,119,5,0
120,120,15,0.009523809523809525
121,121,10,0
122,122,21,0.009523809523809525
123,123,7,0
124,124,5,0.1
125,125,9,0.08333333333333333
126,126,10,0
127,127,10,0
128,128,14,0.02197802197802198
129,129,12,0
130,130,10,0.022222222222222223
131,131,17,0
132,132,11,0.01818181818181818
133,133,8,0
134,134,20,0
135,135,9,0.027777777777777776
136,136,14,0
137,137,9,0
138,138,16,0
139,139,12,0
140,140,6,0
141,141,11,0
142,142,9,0
143,143,4,0.16666666666666666
144,144,6,0.06666666666666667
145,145,5,0.2
146,146,6,0
147,147,8,0
148,148,7,0.09523809523809523
149,149,13,0.01282051282051282
150,150,12,0.015151515151515152
151,151,14,0.02197802197802198
152,152,23,0.003952569169960474
153,153,9,0
154,154,4,0
155,155,12,0.015151515151515152
156,156,25,0.01
157,157,12,0
158,158,10,0
159,159,5,0
160,160,11,0.01818181818181818
161,161,20,0.005263157894736842
162,162,15,0.009523809523809525
163,163,8,0.03571428571428571
164,164,12,0.015151515151515152
165,165,9,0.027777777777777776
166,166,6,0
167,167,12,0.015151515151515152
168,168,9,0.027777777777777776
169,169,9,0
170,170,8,0
171,171,6,0.06666666666666667
172,172,6,0.06666666666666667
173,173,9,0.027777777777777776
174,174,4,0.16666666666666666
175,175,10,0
176,176,4,0
177,177,6,0.06666666666666667
178,178,6,0
179,179,5,0
180,180,5,0
181,181,11,0.01818181818181818
182,182,3,0
183,183,8,0
184,184,9,0
185,185,10,0
186,186,11,0
187,187,5,0
188,188,9,0
189,189,10,0
190,190,11,0
191,191,12,0.015151515151515152
192,192,9,0.05555555555555555
193,193,16,0.008333333333333333
194,194,5,0
195,195,7,0.047619047619047616
196,196,7,0
197,197,13,0
198,198,10,0
199,199,20,0
200,200,14,0.02197802197802198
201,201,5,0
202,202,10,0
203,203,8,0
204,204,10,0.022222222222222223
205,205,7,0
206,206,15,0.009523809523809525
207,207,10,0.022222222222222223
208,208,17,0
209,209,13,0
210,210,5,0.1
211,211,8,0
212,212,3,0
213,213,17,0.022058823529411766
214,214,9,0
215,215,5,0
216,216,6,0
217,217,12,0
218,218,12,0
219,219,6,0
220,220,8,0
221,221,6,0.06666666666666667
222,222,8,0.03571428571428571
223,223,9,0
224,224,10,0.022222222222222223
225,225,3,0
226,226,9,0
227,227,8,0
228,228,10,0
229,229,13,0.01282051282051282
230,230,18,0.006535947712418301
231,231,7,0.09523809523809523
232,232,13,0.01282051282051282
233,233,8,0.03571428571428571
234,234,7,0
235,235,8,0.03571428571428571
236,236,8,0
237,237,5,0
238,238,24,0
239,239,4,0
240,240,11,0
241,241,13,0.01282051282051282
242,242,15,0
243,243,10,0
244,244,6,0
245,245,9,0
246,246,10,0
247,247,14,0
248,248,8,0
249,249,5,0
250,250,6,0.06666666666666667
251,251,7,0
252,252,13,0
253,253,7,0.047619047619047616
254,254,8,0
255,255,23,0.003952569169960474
256,256,12,0
257,257,8,0
258,258,12,0
259,259,7,0
260,260,6,0
261,261,4,0
262,262,7,0
263,263,8,0
264,264,7,0
265,265,8,0
266,266,10,0.022222222222222223
267,267,5,0.1
268,268,7,0.047619047619047616
269,269,11,0
270,270,5,0.1
271,271,5,0
272,272,7,0
273,273,10,0
274,274,6,0.06666666666666667
275,275,6,0
276,276,7,0.047619047619047616
277,277,3,0.3333333333333333
278,278,8,0.03571428571428571
279,279,16,0
280,280,4,0
281,281,19,0.011695906432748537
282,282,5,0
283,283,7,0
284,284,4,0
285,285,8,0.03571428571428571
286,286,8,0
287,287,3,0
288,288,6,0
289,289,6,0.06666666666666667
290,290,5,0.1
291,291,10,0.022222222222222223
292,292,5,0
293,293,6,0
294,294,3,0
295,295,6,0
296,296,17,0.007352941176470588
297,297,6,0
298,298,3,0
299,299,5,0
300,300,8,0
301,301,11,0
302,302,6,0
303,303,8,0
304,304,16,0
305,305,9,0.027777777777777776
306,306,7,0
307,307,6,0.06666666666666667
308,308,3,0
309,309,7,0
310,310,10,0.022222222222222223
311,311,9,0
312,312,12,0
313,313,6,0
314,314,14,0.02197802197802198
315,315,7,0.047619047619047616
316,316,11,0
317,317,4,0.16666666666666666
318,318,9,0.027777777777777776
319,319,10,0
320,320,7,0
321,321,7,0
322,322,8,0
323,323,10,0
324,324,12,0.030303030303030304
325,325,7,0
326,326,8,0
327,327,5,0
328,328,7,0
329,329,11,0
330,330,3,0
331,331,8,0.03571428571428571
332,332,7,0
333,333,9,0
334,334,9,0
335,335,3,0
336,336,5,0
337,337,5,0.1
338,338,6,0
339,339,6,0.06666666666666667
340,340,9,0
341,341,9,0.027777777777777776
342,342,6,0.06666666666666667
343,343,6,0.13333333333333333
344,344,6,0.06666666666666667
345,345,8,0.03571428571428571
346,346,6,0
347,347,8,0
348,348,4,0
349,349,17,0.007352941176470588
350,350,4,0
351,351,3,0
352,352,7,0
353,353,4,0
354,354,4,0.16666666666666666
355,355,3,0.3333333333333333
356,356,5,0.1
357,357,3,0
358,358,7,0
359,359,6,0
360,360,7,0
361,361,4,0.16666666666666666
362,362,5,0
363,363,9,0
364,364,5,0.1
365,365,6,0
366,366,5,0
367,367,6,0.06666666666666667
368,368,9,0
369,369,11,0.01818181818181818
370,370,7,0.047619047619047616
371,371,11,0
372,372,3,0
373,373,9,0.027777777777777776
374,374,4,0
375,375,8,0
376,376,3,0
377,377,12,0.015151515151515152
378,378,4,0
379,379,4,0
380,380,4,0
381,381,11,0
382,382,9,0
383,383,8,0.07142857142857142
384,384,7,0
385,385,7,0
386,386,6,0
387,387,4,0
388,388,3,0
389,389,7,0.047619047619047616
390,390,8,0
391,391,5,0.1
392,392,11,0
393,393,4,0
394,394,10,0
395,395,7,0
396,396,3,0
397,397,10,0
398,398,9,0
399,399,7,0
400,400,6,0
401,401,5,0
402,402,9,0.027777777777777776
403,403,9,0.027777777777777776
404,404,4,0
405,405,6,0
406,406,9,0
407,407,7,0.047619047619047616
408,408,7,0
409,409,4,0
410,410,9,0.027777777777777776
411,411,9,0
412,412,8,0.03571428571428571
413,413,6,0.06666666666666667
414,414,5,0.1
415,415,7,0
416,416,4,0
417,417,5,0
418,418,11,0.01818181818181818
419,419,8,0
420,420,3,0
421,421,5,0
422,422,12,0.015151515151515152
423,423,7,0
424,424,11,0
425,425,6,0
426,426,3,0
427,427,4,0
428,428,5,0
429,429,7,0
430,430,7,0.047619047619047616
431,431,9,0
