Source,Target
0,1
0,2
0,4
0,7
0,12
0,77
0,94
0,108
0,138
0,166
0,183
0,189
0,237
0,265
0,273
0,284
0,397
0,506
0,566
0,589
0,708
0,734
0,865
0,915
0,980
0,1096
0,1098
0,1176
0,1194
0,1372
0,1439
0,1495
0,1566
0,1676
0,1710
0,1738
0,1769
0,1771
0,1882
1,2
1,3
1,4
1,5
1,7
1,13
1,15
1,16
1,17
1,21
1,23
1,25
1,27
1,28
1,32
1,40
1,44
1,53
1,57
1,60
1,61
1,67
1,77
1,80
1,84
1,95
1,100
1,107
1,109
1,116
1,120
1,140
1,141
1,157
1,161
1,162
1,170
1,187
1,195
1,200
1,207
1,217
1,222
1,224
1,236
1,249
1,265
1,266
1,282
1,294
1,323
1,336
1,343
1,357
1,371
1,430
1,453
1,466
1,475
1,482
1,511
1,525
1,593
1,599
1,660
1,695
1,719
1,727
1,754
1,773
1,777
1,932
1,947
1,1017
1,1029
1,1043
1,1048
1,1077
1,1120
1,1151
1,1190
1,1209
1,1234
1,1244
1,1250
1,1254
1,1266
1,1283
1,1309
1,1312
1,1333
1,1368
1,1469
1,1601
1,1669
1,1677
1,1704
1,1720
1,1727
1,1757
1,1800
1,1807
1,1840
1,1848
1,1894
1,1915
1,1947
1,1973
2,8
2,14
2,16
2,21
2,26
2,38
2,39
2,42
2,46
2,76
2,96
2,100
2,106
2,124
2,141
2,145
2,149
2,172
2,173
2,191
2,229
2,235
2,244
2,278
2,295
2,328
2,335
2,340
2,355
2,362
2,385
2,390
2,396
2,402
2,410
2,418
2,427
2,471
2,478
2,481
2,497
2,500
2,504
2,520
2,525
2,555
2,592
2,593
2,684
2,689
2,729
2,750
2,772
2,797
2,814
2,837
2,938
2,953
2,1010
2,1046
2,1078
2,1087
2,1113
2,1127
2,1138
2,1150
2,1153
2,1222
2,1236
2,1261
2,1302
2,1327
2,1459
2,1642
2,1728
2,1759
2,1905
2,1926
2,1933
2,1999
3,4
3,19
3,28
3,29
3,36
3,39
3,69
3,105
3,115
3,250
3,299
3,458
3,527
3,532
3,562
3,588
3,639
3,1011
3,1092
3,1252
3,1616
3,1808
3,1996
4,5
4,13
4,19
4,20
4,23
4,24
4,27
4,36
4,38
4,75
4,83
4,108
4,114
4,118
4,123
4,140
4,160
4,192
4,199
4,248
4,285
4,405
4,426
4,446
4,466
4,479
4,545
4,552
4,611
4,648
4,684
4,894
4,1042
4,1052
4,1175
4,1181
4,1260
4,1265
4,1503
4,1623
4,1661
4,1663
4,1687
4,1739
4,1771
4,1882
4,1954
5,9
5,10
5,12
5,15
5,18
5,28
5,47
5,88
5,249
5,348
5,386
5,476
5,500
5,539
5,545
5,547
5,759
5,814
5,816
5,817
5,841
5,877
5,946
5,983
5,1032
5,1075
5,1081
5,1118
5,1134
5,1248
5,1294
5,1318
5,1334
5,1354
5,1456
5,1602
5,1644
5,1795
5,1909
5,1994
7,11
7,29
7,37
7,51
7,58
7,59
7,65
7,130
7,183
7,208
7,225
7,280
7,309
7,319
7,535
7,574
7,655
7,757
7,771
7,870
7,1066
7,1457
7,1463
7,1981
8,9
8,10
8,11
8,12
8,13
8,25
8,33
8,37
8,40
8,41
8,42
8,45
8,55
8,56
8,61
8,70
8,71
8,73
8,94
8,114
8,120
8,131
8,136
8,137
8,149
8,154
8,179
8,257
8,262
8,297
8,305
8,306
8,314
8,358
8,452
8,457
8,480
8,491
8,493
8,497
8,542
8,622
8,824
8,839
8,859
8,867
8,995
8,997
8,1010
8,1067
8,1080
8,1234
8,1409
8,1487
8,1569
8,1885
8,1913
8,1942
9,14
9,37
9,50
9,89
9,99
9,125
9,138
9,149
9,847
9,1271
10,11
10,17
10,45
10,48
10,65
10,182
10,185
10,196
10,227
10,256
10,337
10,687
10,696
10,709
10,736
10,857
10,866
10,869
10,941
10,962
10,1011
10,1122
10,1186
10,1253
10,1255
10,1385
10,1418
10,1576
10,1643
10,1970
11,64
11,83
11,170
11,271
11,288
11,289
11,301
11,702
11,999
11,1149
11,1191
11,1239
11,1405
11,1408
11,1473
11,1586
11,1662
11,1729
11,1761
11,1879
12,14
12,19
12,21
12,27
12,43
12,51
12,67
12,72
12,90
12,99
12,111
12,115
12,132
12,134
12,167
12,190
12,193
12,253
12,276
12,323
12,334
12,365
12,379
12,418
12,453
12,682
12,738
12,787
12,798
12,821
12,859
12,1031
12,1213
12,1444
12,1559
12,1645
12,1652
12,1785
12,1804
12,1823
12,1843
12,1863
12,1984
13,23
13,362
13,895
13,981
13,1116
13,1436
14,20
14,78
14,234
14,264
14,302
14,338
14,414
14,569
14,576
14,916
14,1433
14,1986
15,18
15,24
15,31
15,49
15,64
15,78
15,99
15,106
15,109
15,113
15,121
15,125
15,127
15,139
15,146
15,165
15,189
15,200
15,205
15,304
15,344
15,360
15,419
15,431
15,508
15,524
15,525
15,626
15,665
15,726
15,730
15,775
15,792
15,810
15,833
15,873
15,922
15,948
15,967
15,997
15,1012
15,1043
15,1059
15,1061
15,1335
15,1387
15,1431
15,1479
15,1511
15,1548
15,1628
15,1635
15,1664
15,1706
15,1948
16,17
16,25
16,26
16,29
16,30
16,31
16,44
16,46
16,74
16,93
16,102
16,111
16,152
16,156
16,174
16,182
16,189
16,192
16,228
16,376
16,461
16,513
16,631
16,729
16,835
16,874
16,931
16,971
16,1010
16,1031
16,1100
16,1134
16,1218
16,1329
16,1416
16,1492
16,1513
16,1588
16,1693
16,1713
16,1714
16,1796
16,1929
17,18
17,31
17,34
17,43
17,66
17,79
17,115
17,131
17,132
17,155
17,163
17,175
17,195
17,198
17,212
17,222
17,235
17,252
17,277
17,285
17,318
17,381
17,398
17,409
17,419
17,428
17,430
17,491
17,535
17,620
17,662
17,691
17,731
17,740
17,801
17,825
17,869
17,961
17,963
17,1000
17,1046
17,1317
17,1330
17,1345
17,1363
17,1372
17,1681
17,1701
17,1838
17,1893
17,1898
18,32
18,35
18,48
18,97
18,150
18,184
18,185
18,231
18,275
18,339
18,379
18,387
18,398
18,510
18,626
18,668
18,678
18,680
18,728
18,765
18,863
18,942
18,1103
18,1183
18,1805
18,1832
18,1853
18,1863
18,1916
19,40
19,43
19,66
19,70
19,98
19,113
19,198
19,206
19,223
19,224
19,293
19,326
19,383
19,396
19,532
19,536
19,582
19,647
19,721
19,757
19,956
19,1015
19,1059
19,1108
19,1133
19,1527
19,1740
19,1957
20,30
20,34
20,46
20,53
20,67
20,82
20,97
20,100
20,103
20,186
20,236
20,331
20,553
20,582
20,611
20,913
20,1023
20,1187
20,1265
20,1281
20,1340
20,1416
20,1497
20,1513
20,1551
20,1646
20,1656
21,30
21,50
21,54
21,55
21,74
21,103
21,105
21,159
21,176
21,188
21,201
21,229
21,243
21,250
21,253
21,307
21,321
21,322
21,333
21,350
21,370
21,384
21,397
21,402
21,427
21,445
21,462
21,463
21,486
21,494
21,499
21,503
21,515
21,520
21,528
21,554
21,559
21,573
21,631
21,654
21,671
21,677
21,699
21,719
21,722
