Id,Label,Degree,ClusteringCoefficient
0,0,39,0.012145748987854251
1,1,109,0.00781515460414543
2,2,82,0.010538994278831678
3,3,24,0.021739130434782608
4,4,50,0.015510204081632653
5,5,42,0.008130081300813009
7,7,26,0.009230769230769232
8,8,59,0.009935710111046173
9,9,12,0.030303030303030304
10,10,32,0.012096774193548387
11,11,23,0.003952569169960474
12,12,46,0.002898550724637681
13,13,9,0.08333333333333333
14,14,15,0
15,15,57,0.006892230576441102
16,16,45,0.01616161616161616
17,17,54,0.005590496156533892
18,18,32,0.010080645161290322
19,19,31,0.010752688172043012
20,20,29,0.009852216748768473
21,21,103,0.00266514372739387
23,23,12,0.06060606060606061
24,24,5,0.1
25,25,23,0.019762845849802372
26,26,60,0.00903954802259887
27,27,11,0.01818181818181818
28,28,7,0.14285714285714285
29,29,47,0.0018501387604070306
30,30,9,0.027777777777777776
31,31,8,0.03571428571428571
32,32,23,0.011857707509881422
33,33,8,0
34,34,9,0
35,35,13,0.01282051282051282
36,36,51,0.00392156862745098
37,37,14,0.01098901098901099
38,38,17,0.014705882352941176
39,39,22,0.008658008658008658
40,40,7,0
41,41,5,0.1
42,42,8,0.03571428571428571
43,43,5,0.2
44,44,40,0.00641025641025641
45,45,61,0.001639344262295082
46,46,13,0.01282051282051282
47,47,65,0.002403846153846154
48,48,40,0.0038461538461538464
49,49,22,0.004329004329004329
50,50,36,0.0031746031746031746
51,51,9,0
53,53,6,0.06666666666666667
54,54,17,0
55,55,7,0.047619047619047616
56,56,32,0.004032258064516129
57,57,15,0
58,58,37,0.0015015015015015015
59,59,23,0.003952569169960474
60,60,14,0
61,61,14,0
63,63,4,0.16666666666666666
64,64,9,0
65,65,4,0
66,66,12,0
67,67,7,0
69,69,60,0.003389830508474576
70,70,24,0.014492753623188406
71,71,11,0.01818181818181818
72,72,3,0
73,73,17,0.014705882352941176
74,74,5,0
75,75,19,0
76,76,34,0.0106951871657754
77,77,4,0.16666666666666666
78,78,10,0
79,79,14,0
80,80,18,0.006535947712418301
81,81,13,0
82,82,33,0.005681818181818182
83,83,11,0
84,84,14,0.04395604395604396
86,86,10,0
87,87,19,0
88,88,18,0
89,89,9,0
90,90,14,0
91,91,9,0
92,92,11,0
93,93,19,0.011695906432748537
94,94,17,0
95,95,12,0.030303030303030304
96,96,6,0
97,97,12,0
98,98,13,0.01282051282051282
99,99,7,0
100,100,7,0.047619047619047616
102,102,8,0
103,103,6,0
104,104,8,0
105,105,3,0
106,106,13,0.02564102564102564
107,107,15,0
108,108,6,0.13333333333333333
109,109,4,0.16666666666666666
111,111,13,0.038461538461538464
112,112,28,0
113,113,12,0.030303030303030304
114,114,5,0
115,115,6,0
116,116,3,0
118,118,8,0
119,119,24,0.0036231884057971015
120,120,11,0.01818181818181818
121,121,9,0
122,122,21,0
123,123,30,0
124,124,13,0
125,125,10,0
126,126,6,0
127,127,10,0
128,128,18,0
129,129,11,0
130,130,14,0.01098901098901099
131,131,11,0.01818181818181818
132,132,13,0
133,133,5,0
134,134,19,0
135,135,14,0.01098901098901099
136,136,9,0.027777777777777776
137,137,4,0
138,138,11,0
139,139,17,0
140,140,4,0.3333333333333333
141,141,13,0.038461538461538464
142,142,6,0
144,144,6,0
145,145,10,0.022222222222222223
146,146,4,0
147,147,30,0.006896551724137931
148,148,16,0
149,149,13,0.0641025641025641
150,150,21,0
151,151,25,0.0033333333333333335
152,152,3,0
153,153,11,0
154,154,9,0
155,155,21,0
156,156,5,0
157,157,4,0
158,158,11,0
159,159,15,0.01904761904761905
160,160,7,0
161,161,4,0
162,162,9,0.05555555555555555
163,163,7,0
164,164,3,0
165,165,12,0.030303030303030304
166,166,9,0
167,167,8,0
168,168,11,0
170,170,10,0
171,171,6,0
172,172,7,0
173,173,16,0.025
174,174,3,0
175,175,3,0.3333333333333333
176,176,15,0
177,177,13,0
178,178,26,0.003076923076923077
179,179,8,0
180,180,10,0
181,181,12,0.015151515151515152
182,182,6,0.06666666666666667
183,183,8,0.03571428571428571
184,184,18,0
185,185,7,0
186,186,7,0.047619047619047616
187,187,28,0.0026455026455026454
188,188,9,0.027777777777777776
189,189,3,0
190,190,9,0
191,191,14,0
192,192,12,0
193,193,6,0
194,194,4,0
195,195,12,0.030303030303030304
196,196,20,0.010526315789473684
197,197,39,0
198,198,6,0
199,199,10,0
200,200,5,0.2
201,201,10,0
202,202,5,0
203,203,9,0
204,204,5,0
205,205,9,0
206,206,10,0.022222222222222223
207,207,7,0
208,208,15,0
209,209,5,0
210,210,9,0
211,211,6,0
212,212,19,0.005847953216374269
213,213,3,0
214,214,9,0
216,216,4,0
217,217,2,1.0
218,218,7,0
219,219,2,0
220,220,30,0.0022988505747126436
221,221,7,0
222,222,13,0.02564102564102564
223,223,3,0
224,224,7,0
225,225,8,0
227,227,3,0
228,228,5,0
229,229,9,0.05555555555555555
231,231,12,0
232,232,7,0
233,233,4,0
234,234,10,0
235,235,5,0
236,236,6,0
237,237,5,0
238,238,10,0
239,239,12,0
240,240,4,0
241,241,13,0
242,242,15,0.009523809523809525
243,243,5,0.1
244,244,7,0
246,246,7,0
247,247,22,0
248,248,5,0
249,249,5,0.1
250,250,8,0
252,252,3,0.3333333333333333
253,253,10,0.044444444444444446
254,254,5,0
255,255,3,0
256,256,5,0
257,257,12,0
258,258,9,0
259,259,3,0
260,260,6,0
261,261,14,0.01098901098901099
262,262,9,0
263,263,4,0
264,264,6,0
265,265,4,0.16666666666666666
266,266,9,0
267,267,7,0
268,268,11,0
270,270,4,0
271,271,12,0
272,272,18,0.006535947712418301
273,273,4,0
274,274,17,0.007352941176470588
275,275,4,0
276,276,8,0
277,277,3,0
278,278,13,0.01282051282051282
279,279,5,0
280,280,6,0
281,281,5,0
282,282,11,0
284,284,4,0.16666666666666666
285,285,5,0
286,286,10,0
287,287,5,0
288,288,17,0
289,289,3,0
290,290,4,0
291,291,4,0
292,292,4,0
293,293,8,0
294,294,5,0
295,295,5,0
296,296,5,0
297,297,5,0
298,298,6,0
299,299,8,0
300,300,16,0
301,301,11,0
302,302,7,0
303,303,10,0
304,304,7,0
305,305,13,0
306,306,5,0
307,307,5,0.1
308,308,7,0
