Source,Target
0,1
0,2
0,4
0,7
0,8
0,9
0,10
0,11
0,15
0,17
0,18
0,21
0,23
0,25
0,27
0,28
0,37
0,38
0,39
0,44
0,51
0,52
0,55
0,58
0,60
0,62
0,64
0,65
0,69
0,75
0,79
0,95
0,103
0,107
0,112
0,118
0,127
0,155
0,160
0,165
0,181
0,190
0,191
0,207
0,209
0,215
0,220
0,246
0,249
0,272
0,273
0,280
0,291
0,293
0,304
0,313
0,325
0,330
0,145
0,363
0,367
0,379
0,382
0,410
0,431
0,435
0,449
0,462
0,477
0,479
0,480
0,510
0,521
0,525
0,565
0,573
0,609
0,615
0,648
0,653
0,660
0,661
0,682
0,701
0,706
0,707
0,708
0,730
0,737
0,764
0,782
0,819
0,820
0,845
0,914
0,929
0,949
0,976
0,979
0,994
0,1018
0,1038
0,1090
0,286
0,1120
0,1123
0,1128
0,1227
0,1238
0,1344
0,1420
0,1450
0,1478
0,1479
0,1491
0,1561
0,1583
0,1647
0,1662
0,1848
0,1864
0,1871
0,1873
0,1878
0,1883
1,2
1,3
1,5
1,6
1,10
1,4
1,12
1,15
1,18
1,30
1,33
1,40
1,46
1,47
1,50
1,52
1,68
1,74
1,103
1,114
1,133
1,140
1,147
1,173
1,200
1,224
1,230
1,261
1,287
1,187
1,307
1,317
1,332
1,374
1,392
1,405
1,415
1,430
1,459
1,482
1,484
1,486
1,492
1,504
1,552
1,335
1,571
1,624
1,661
1,688
1,690
1,696
1,703
1,791
1,806
1,828
1,862
1,868
1,897
1,927
1,940
1,950
1,974
1,1011
1,1015
1,1033
1,1037
1,1061
1,1115
1,1202
1,1204
1,1293
1,1319
1,1327
1,1330
1,1343
1,1356
1,1394
1,1398
1,1415
1,1448
1,1521
1,1539
1,1555
1,1582
1,1614
1,1645
1,1669
1,1717
1,1744
1,1925
1,1927
1,1955
1,1960
1,1972
1,1983
1,1992
2,3
2,4
2,6
2,11
2,13
2,19
2,20
2,24
2,26
2,34
2,48
2,60
2,61
2,66
2,68
2,77
2,90
2,99
2,120
2,130
2,143
2,150
2,156
2,167
2,202
2,225
2,241
2,250
2,253
2,261
2,264
2,284
2,326
2,335
2,374
2,407
2,409
2,537
2,539
2,572
2,582
2,585
2,642
2,722
2,728
2,730
2,736
2,738
2,837
2,843
2,868
2,905
2,906
2,976
2,1007
2,1056
2,1071
2,1122
2,1167
2,1198
2,1213
2,1259
2,1364
2,1409
2,1417
2,1430
2,1686
2,1738
2,1779
2,1802
2,1820
2,1951
3,4
3,13
3,22
3,24
3,40
3,67
3,152
3,160
3,157
3,331
3,676
3,677
3,708
3,981
3,1593
3,1682
4,5
4,6
4,9
4,12
4,14
4,16
4,22
4,25
4,28
4,29
4,30
4,32
4,33
4,38
4,42
4,48
4,53
4,54
4,55
4,69
4,81
4,88
4,98
4,109
4,114
4,115
4,116
4,120
4,145
4,150
4,152
4,153
4,163
4,164
4,172
4,10
4,184
4,188
4,199
4,210
4,220
4,224
4,228
4,237
4,266
4,283
4,298
4,310
4,311
4,318
4,320
4,323
4,349
4,351
4,362
4,377
4,430
4,431
4,440
4,520
4,544
4,553
4,600
4,621
4,630
4,633
4,650
4,654
4,710
4,736
4,749
4,767
4,776
4,829
4,840
4,896
4,1019
4,1022
4,1063
4,1066
4,1092
4,1111
4,1116
4,1118
4,1136
4,1193
4,1199
4,1283
4,1495
4,1544
4,1637
4,1683
4,1696
4,1716
4,1775
4,1827
4,1845
4,1846
4,1895
4,1927
4,1978
5,31
5,32
5,7
5,45
5,117
5,126
5,136
5,152
5,169
5,187
5,204
5,248
5,278
5,304
5,429
5,448
5,468
5,477
5,512
5,520
5,584
5,655
5,98
5,728
5,858
5,964
5,969
5,998
5,1056
5,1085
5,1251
5,1382
5,1383
5,1553
5,1612
5,1616
5,1646
5,1650
5,1670
5,1672
5,1774
5,1835
5,1845
5,1870
5,1930
5,1991
6,8
6,14
6,16
6,19
6,21
6,35
6,36
6,42
6,45
6,46
6,73
6,83
6,84
6,93
6,96
6,125
6,146
6,183
6,211
6,213
6,230
6,235
6,274
6,292
6,314
6,328
6,330
6,342
6,353
6,395
6,400
6,406
6,457
6,477
6,487
6,493
6,533
6,544
6,548
6,577
6,641
6,685
6,746
6,751
6,754
6,808
6,829
6,913
6,930
6,934
6,969
6,1001
6,1024
6,1065
6,1147
6,1148
6,1179
6,1184
6,1264
6,1435
6,1682
6,1816
6,1986
7,364
8,9
8,26
8,29
8,37
8,41
8,44
8,50
8,54
8,59
8,67
8,73
8,92
8,125
8,131
8,138
8,141
8,153
8,188
8,207
8,214
8,234
8,237
8,238
8,268
8,271
8,281
8,314
8,360
8,410
8,482
8,484
8,487
8,497
8,500
8,515
8,557
8,571
8,687
8,729
8,765
8,774
8,795
8,803
8,806
8,873
8,876
8,920
8,1151
8,1157
8,1167
8,1273
8,1296
8,1309
8,1385
8,1431
8,1449
8,1459
8,1474
8,1549
8,1552
8,1656
8,1698
8,1728
8,1835
8,1873
8,1949
9,13
9,17
9,31
9,35
9,40
9,63
9,71
9,73
9,75
9,88
9,118
9,126
9,128
9,129
9,130
9,159
9,169
9,183
9,107
9,220
9,240
9,242
9,251
9,255
9,263
9,108
9,274
9,279
9,284
9,297
9,311
9,322
9,346
9,364
9,388
9,390
9,400
9,407
9,413
9,422
9,426
9,434
9,439
9,104
9,465
9,473
9,500
9,519
9,547
9,552
9,573
9,610
9,646
9,647
9,672
9,689
9,709
9,758
9,762
9,770
9,775
9,788
9,790
9,794
9,798
9,810
9,817
9,851
9,889
9,899
9,954
9,968
9,1033
9,1105
9,1109
9,1123
9,1142
9,1160
9,1174
9,1248
9,1274
9,1282
9,1341
9,1377
9,1403
9,1437
9,1479
9,1510
9,1524
9,1602
9,1633
9,1702
9,1750
9,1884
9,1912
9,1936
9,1960
9,1964
9,1968
10,43
10,123
10,509
10,532
10,1436
10,1903
11,12
11,15
11,23
11,30
11,63
11,94
11,99
11,100
11,102
11,128
11,147
11,153
11,156
11,158
11,162
11,163
11,189
11,193
11,217
11,221
11,223
11,251
11,257
11,271
11,294
11,299
11,312
11,335
11,353
11,361
11,369
11,383
11,405
11,445
11,470
11,522
11,529
11,563
11,564
11,570
11,578
11,590
11,617
11,655
11,671
11,134
11,673
11,691
11,697
11,729
11,741
11,745
11,748
11,755
11,778
11,805
11,811
11,814
11,816
11,860
11,871
11,888
11,889
11,893
11,903
11,942
11,1016
11,1038
11,1049
11,1050
11,1066
11,1106
11,1120
11,1152
11,1154
11,1176
11,1245
11,1249
11,1252
11,1301
11,1310
11,1329
11,1340
11,1407
11,1436
11,1535
11,1567
11,1632
11,1680
11,1686
11,1809
11,1843
11,1903
11,1956
11,1957
11,1985
12,20
12,22
12,23
12,49
12,51
12,81
12,82
12,86
12,87
12,109
12,162
12,194
12,196
12,197
12,201
12,211
12,219
12,221
12,235
12,272
12,273
12,275
12,282
12,286
12,299
12,344
12,345
12,355
12,373
12,391
12,432
12,480
12,489
12,494
