Id,Label,Degree,ClusteringCoefficient
0,0,125,0.00967741935483871
1,1,98,0.009467704607616242
2,2,74,0.015920029618659754
3,3,18,0.05228758169934641
4,4,105,0.012454212454212455
5,5,48,0.007978723404255319
6,6,66,0.014918414918414918
7,7,3,0
8,8,68,0.007462686567164179
9,9,102,0.005629974762182101
10,10,9,0.08333333333333333
11,11,98,0.003997475278771302
12,12,59,0.009935710111046173
13,13,66,0.009324009324009324
14,14,19,0.04093567251461988
15,15,8,0.07142857142857142
16,16,43,0.005537098560354375
17,17,38,0.007112375533428165
18,18,35,0.011764705882352941
19,19,95,0.005375139977603583
20,20,44,0.005285412262156448
21,21,7,0.047619047619047616
22,22,33,0.013257575757575758
23,23,19,0.029239766081871343
24,24,34,0.0035650623885918
25,25,35,0.015126050420168067
26,26,6,0
27,27,10,0.08888888888888889
28,28,43,0.009966777408637873
29,29,44,0.009513742071881607
30,30,25,0.006666666666666667
31,31,14,0.02197802197802198
32,32,5,0.2
33,33,3,0.3333333333333333
34,34,7,0.09523809523809523
35,35,9,0.027777777777777776
36,36,46,0.005797101449275362
37,37,6,0.13333333333333333
38,38,52,0.007541478129713424
39,39,32,0.008064516129032258
40,40,12,0.030303030303030304
41,41,9,0.05555555555555555
42,42,56,0.003896103896103896
43,43,35,0.005042016806722689
44,44,25,0.016666666666666666
45,45,15,0.009523809523809525
46,46,11,0.03636363636363636
47,47,3,0.3333333333333333
48,48,31,0.021505376344086023
49,49,18,0
50,50,21,0.004761904761904762
51,51,12,0.045454545454545456
52,52,13,0.05128205128205128
53,53,10,0.022222222222222223
54,54,7,0
55,55,8,0.07142857142857142
56,56,11,0.03636363636363636
57,57,12,0
58,58,7,0.09523809523809523
59,59,20,0.010526315789473684
60,60,6,0.06666666666666667
61,61,6,0
62,62,10,0.044444444444444446
63,63,7,0
64,64,28,0.018518518518518517
65,65,27,0.005698005698005698
66,66,55,0.0026936026936026937
67,67,6,0
68,68,20,0.02631578947368421
69,69,15,0.009523809523809525
70,70,14,0
71,71,17,0.014705882352941176
72,72,19,0
73,73,7,0.14285714285714285
74,74,22,0.012987012987012988
75,75,5,0.1
76,76,26,0
77,77,8,0.07142857142857142
78,78,20,0.005263157894736842
79,79,18,0
80,80,19,0
81,81,10,0.044444444444444446
82,82,21,0.004761904761904762
83,83,18,0.013071895424836602
84,84,14,0.02197802197802198
85,85,7,0
86,86,15,0.009523809523809525
87,87,11,0.01818181818181818
88,88,12,0.06060606060606061
89,89,14,0.01098901098901099
90,90,18,0.013071895424836602
91,91,20,0
92,92,2,0
93,93,9,0.027777777777777776
94,94,17,0.007352941176470588
95,95,29,0.009852216748768473
96,96,20,0.015789473684210527
97,97,12,0
98,98,8,0.07142857142857142
99,99,5,0.3
100,100,6,0.06666666666666667
101,101,5,0
102,102,13,0.01282051282051282
103,103,16,0.025
104,104,18,0.013071895424836602
105,105,10,0
106,106,12,0
107,107,9,0.027777777777777776
108,108,6,0.06666666666666667
109,109,7,0.047619047619047616
110,110,28,0
111,111,15,0
112,112,16,0.008333333333333333
113,113,42,0.004645760743321719
114,114,4,0.3333333333333333
115,115,4,0
116,116,6,0
117,117,5,0
118,118,8,0.07142857142857142
119,119,12,0
120,120,6,0.06666666666666667
121,121,32,0.0020161290322580645
122,122,10,0
123,123,16,0.008333333333333333
124,124,7,0
125,125,5,0.2
126,126,8,0.03571428571428571
127,127,10,0.06666666666666667
128,128,14,0
129,129,24,0
130,130,4,0.16666666666666666
131,131,18,0
132,132,7,0.047619047619047616
133,133,8,0.07142857142857142
134,134,10,0
135,135,4,0
136,136,8,0
137,137,14,0.01098901098901099
138,138,9,0
139,139,10,0
140,140,10,0.022222222222222223
141,141,4,0
142,142,11,0
143,143,22,0.012987012987012988
144,144,12,0
145,145,9,0.05555555555555555
146,146,3,0
147,147,5,0.1
148,148,14,0
149,149,32,0
150,150,20,0.015789473684210527
151,151,16,0.008333333333333333
152,152,5,0.2
153,153,13,0
154,154,7,0
155,155,9,0.027777777777777776
156,156,10,0.022222222222222223
157,157,6,0.06666666666666667
158,158,6,0
159,159,6,0
160,160,7,0
161,161,7,0
162,162,4,0.16666666666666666
163,163,21,0.014285714285714285
164,164,3,0
165,165,14,0
166,166,10,0.022222222222222223
167,167,9,0.027777777777777776
168,168,11,0.01818181818181818
169,169,5,0
170,170,15,0.01904761904761905
171,171,20,0.005263157894736842
172,172,3,0.6666666666666666
173,173,5,0.2
174,174,22,0
175,175,17,0.007352941176470588
176,176,4,0.16666666666666666
177,177,8,0
178,178,20,0
179,179,10,0
180,180,8,0
181,181,11,0.01818181818181818
182,182,4,0
183,183,13,0.01282051282051282
184,184,8,0.03571428571428571
185,185,9,0
186,186,9,0
187,187,11,0.03636363636363636
188,188,7,0
189,189,16,0
190,190,20,0.02631578947368421
191,191,7,0
192,192,9,0.027777777777777776
193,193,3,0.3333333333333333
194,194,9,0
195,195,9,0
196,196,4,0
197,197,9,0
198,198,15,0.009523809523809525
199,199,13,0.01282051282051282
200,200,18,0.006535947712418301
201,201,7,0
202,202,10,0
203,203,5,0
204,204,4,0
205,205,6,0
206,206,21,0.004761904761904762
207,207,6,0.06666666666666667
208,208,8,0.03571428571428571
209,209,10,0.022222222222222223
210,210,5,0.2
211,211,3,0.3333333333333333
212,212,6,0
213,213,16,0
214,214,4,0
215,215,5,0.1
216,216,10,0
217,217,23,0.015810276679841896
218,218,24,0
219,219,7,0
220,220,6,0.3333333333333333
221,221,6,0.06666666666666667
222,222,4,0
223,223,10,0.022222222222222223
224,224,8,0.03571428571428571
225,225,8,0.03571428571428571
226,226,6,0
227,227,4,0
228,228,3,0.3333333333333333
229,229,6,0
230,230,7,0.047619047619047616
231,231,10,0.022222222222222223
232,232,53,0
233,233,10,0.022222222222222223
234,234,4,0
235,235,4,0.16666666666666666
236,236,13,0
237,237,3,0
238,238,6,0
239,239,8,0
240,240,6,0.06666666666666667
241,241,9,0
242,242,5,0
243,243,10,0.044444444444444446
244,244,18,0.006535947712418301
245,245,10,0
246,246,7,0
247,247,2,0
248,248,14,0
249,249,7,0
250,250,10,0
251,251,5,0
252,252,7,0
253,253,7,0
254,254,8,0.03571428571428571
255,255,16,0.008333333333333333
256,256,9,0
257,257,8,0
258,258,7,0
259,259,16,0
260,260,7,0
261,261,7,0.047619047619047616
262,262,4,0
263,263,16,0
264,264,10,0
265,265,4,0
266,266,12,0.015151515151515152
267,267,10,0.022222222222222223
268,268,12,0
269,269,6,0
270,270,10,0
271,271,6,0
272,272,12,0
273,273,3,0
274,274,3,0
275,275,4,0
276,276,8,0
277,277,12,0.030303030303030304
278,278,15,0
279,279,12,0
280,280,4,0.3333333333333333
281,281,5,0
282,282,10,0
283,283,19,0
284,284,8,0.03571428571428571
285,285,12,0
286,286,9,0.027777777777777776
287,287,2,0
288,288,14,0.01098901098901099
289,289,11,0
290,290,7,0
291,291,16,0
292,292,21,0.009523809523809525
293,293,6,0.06666666666666667
294,294,5,0.1
295,295,16,0
296,296,6,0
297,297,3,0
298,298,8,0.03571428571428571
299,299,12,0.015151515151515152
300,300,12,0.015151515151515152
301,301,10,0
302,302,11,0
303,303,10,0
304,304,5,0
305,305,7,0
306,306,10,0
307,307,5,0
308,308,14,0.01098901098901099
309,309,11,0
310,310,4,0
311,311,14,0.02197802197802198
312,312,5,0
313,313,7,0.047619047619047616
314,314,7,0.047619047619047616
315,315,8,0
316,316,17,0.007352941176470588
317,317,4,0.16666666666666666
318,318,12,0
319,319,5,0.1
320,320,3,0
321,321,4,0
322,322,6,0
323,323,10,0.022222222222222223
324,324,3,0.3333333333333333
325,325,4,0.16666666666666666
326,326,10,0
327,327,5,0
328,328,13,0
329,329,5,0
330,330,3,0
331,331,7,0
332,332,5,0
333,333,18,0.006535947712418301
334,334,8,0
335,335,4,0.5
336,336,16,0.008333333333333333
337,337,5,0
338,338,7,0.09523809523809523
339,339,7,0.047619047619047616
340,340,6,0
341,341,5,0
342,342,8,0.03571428571428571
343,343,13,0.038461538461538464
344,344,15,0
345,345,4,0
346,346,4,0
347,347,12,0
348,348,12,0
349,349,4,0
350,350,3,0
351,351,7,0
352,352,14,0
353,353,19,0
354,354,10,0
355,355,6,0
356,356,9,0
357,357,9,0
358,358,5,0
359,359,5,0
360,360,7,0.047619047619047616
361,361,9,0
362,362,7,0
363,363,8,0
364,364,5,0
365,365,9,0
366,366,5,0
367,367,6,0
368,368,9,0
369,369,3,0
370,370,9,0
371,371,5,0
372,372,30,0
373,373,15,0
374,374,4,0.3333333333333333
375,375,13,0
376,376,13,0.01282051282051282
377,377,7,0.047619047619047616
378,378,13,0
379,379,6,0.06666666666666667
380,380,9,0.027777777777777776
381,381,8,0.03571428571428571
382,382,7,0
383,383,4,0
384,384,5,0.1
385,385,6,0.06666666666666667
386,386,6,0
387,387,5,0
388,388,7,0
389,389,6,0
390,390,5,0
391,391,3,0
392,392,4,0.3333333333333333
393,393,4,0
394,394,9,0
395,395,8,0
396,396,6,0
397,397,7,0.09523809523809523
398,398,8,0
399,399,5,0
400,400,4,0.16666666666666666
401,401,4,0
402,402,5,0
403,403,8,0
404,404,21,0
