Source,Target
0,1
0,2
0,3
0,4
0,5
0,6
0,7
0,9
0,10
0,11
0,15
0,18
0,19
0,24
0,25
0,28
0,31
0,33
0,45
0,47
0,49
0,50
0,52
0,56
0,63
0,64
0,65
0,66
0,71
0,74
0,79
0,83
0,84
0,85
0,86
0,91
0,93
0,99
0,104
0,106
0,111
0,121
0,131
0,133
0,138
0,141
0,142
0,152
0,158
0,166
0,168
0,172
0,174
0,177
0,183
0,185
0,196
0,204
0,212
0,217
0,222
0,224
0,233
0,239
0,247
0,248
0,251
0,260
0,265
0,269
0,276
0,287
0,288
0,296
0,297
0,302
0,308
0,309
0,310
0,312
0,328
0,333
0,345
0,346
0,348
0,360
0,363
0,364
0,373
0,379
0,390
0,394
0,423
0,424
0,430
0,437
0,462
0,464
0,465
0,466
0,467
0,474
0,478
0,494
0,497
0,501
0,504
0,511
0,516
0,520
0,546
0,555
0,572
0,574
0,575
0,581
0,582
0,585
0,587
0,590
0,595
0,601
0,609
0,620
0,628
0,640
0,641
0,645
0,657
0,668
0,671
0,673
0,682
0,683
0,685
0,690
0,696
0,720
0,723
0,741
0,743
0,761
0,764
0,785
0,806
0,835
0,850
0,863
0,874
0,878
0,893
0,911
0,935
0,978
0,982
0,1027
0,1034
0,1058
0,1061
0,1077
0,1081
0,1156
0,1177
0,1183
0,1195
0,1201
0,1221
0,1243
0,1272
0,1282
0,1285
0,1325
0,1346
0,1348
0,1351
0,1382
0,1389
0,1398
0,1401
0,1408
0,1414
0,1422
0,1440
0,1465
0,1497
0,1513
0,1555
0,1560
0,1567
0,1568
0,1575
0,1577
0,1581
0,1590
0,1613
0,1625
0,1626
0,1655
0,1665
0,1691
0,1702
0,1710
0,1715
0,1724
0,1763
0,1768
0,1792
0,1823
0,1909
0,1920
0,1924
0,1963
0,1992
1,2
1,7
1,10
1,11
1,13
1,19
1,20
1,21
1,22
1,28
1,30
1,31
1,32
1,33
1,35
1,44
1,48
1,52
1,59
1,66
1,79
1,87
1,88
1,89
1,102
1,104
1,112
1,116
1,137
1,139
1,145
1,155
1,157
1,160
1,166
1,176
1,179
1,190
1,192
1,206
1,215
1,224
1,231
1,238
1,258
1,277
1,278
1,298
1,303
1,325
1,331
1,333
1,334
1,360
1,374
1,385
1,386
1,388
1,391
1,410
1,435
1,453
1,486
1,489
1,510
1,527
1,533
1,534
1,542
1,585
1,597
1,616
1,624
1,625
1,629
1,648
1,663
1,743
1,771
1,773
1,810
1,826
1,846
1,889
1,910
1,1004
1,1020
1,1025
1,1081
1,1123
1,1153
1,1158
1,1168
1,1184
1,1203
1,1248
1,1292
1,1304
1,1305
1,1336
1,1337
1,1404
1,1408
1,1431
1,1474
1,1481
1,1527
1,1540
1,1572
1,1607
1,1609
1,1622
1,1657
1,1663
1,1684
1,1707
1,1733
1,1740
1,1838
1,1908
1,1937
1,1953
1,1980
1,1994
2,3
2,4
2,5
2,6
2,8
2,9
2,13
2,16
2,22
2,50
2,61
2,62
2,84
2,103
2,120
2,169
2,195
2,244
2,262
2,294
2,303
2,316
2,319
2,324
2,326
2,330
2,363
2,378
2,386
2,429
2,483
2,501
2,533
2,538
2,550
2,664
2,696
2,790
2,801
2,827
2,856
2,878
2,912
2,933
2,969
2,1021
2,1040
2,1068
2,1168
2,1296
2,1423
2,1465
2,1508
2,1544
2,1551
2,1561
2,1570
2,1616
2,1619
2,1633
2,1651
2,1671
2,1672
2,1673
2,1696
2,1704
2,1710
2,1726
2,1743
2,1866
2,1910
2,1925
2,1945
3,6
3,8
3,12
3,15
3,17
3,21
3,23
3,29
3,30
3,38
3,42
3,43
3,52
3,55
3,58
3,73
3,84
3,86
3,89
3,100
3,114
3,121
3,122
3,125
3,144
3,157
3,178
3,190
3,208
3,226
3,228
3,265
3,281
3,315
3,340
3,351
3,354
3,374
3,385
3,388
3,407
3,463
3,469
3,563
3,597
3,619
3,651
3,662
3,700
3,713
3,732
3,775
3,795
3,830
3,838
3,930
3,934
3,1007
3,1022
3,1063
3,1459
3,1473
3,1506
3,1521
3,1659
3,1732
3,1820
3,1871
3,1911
3,1969
4,15
4,17
4,22
4,25
4,27
4,34
4,36
4,60
4,96
4,98
4,99
4,111
4,114
4,149
4,153
4,159
4,193
4,209
4,220
4,237
4,251
4,268
4,322
4,336
4,372
4,382
4,407
4,451
4,474
4,494
4,502
4,632
4,641
4,655
4,704
4,715
4,718
4,732
4,758
4,799
4,863
4,873
4,913
4,963
4,1055
4,1145
4,1169
4,1186
4,1261
4,1331
4,1384
4,1407
4,1443
4,1529
4,1599
4,1714
5,31
5,38
5,152
5,1028
5,1424
6,11
6,54
6,114
6,130
6,144
6,197
6,245
6,287
6,357
6,413
6,652
6,788
6,857
6,903
6,973
6,1118
6,1220
6,1283
6,1486
6,1709
6,1762
7,275
7,675
7,687
7,1406
8,14
8,37
8,41
8,90
8,175
8,373
8,707
8,882
8,1216
8,1258
8,1427
8,1503
9,21
9,35
9,90
9,317
9,734
9,1034
10,24
10,26
10,36
10,58
10,63
10,69
10,115
10,128
10,155
10,180
10,188
10,238
10,242
10,324
10,342
10,394
10,398
10,408
10,414
10,436
10,445
10,452
10,456
10,576
10,662
10,705
10,736
10,795
10,834
10,934
10,991
10,1042
10,1208
10,1273
10,1323
10,1518
10,1528
10,1558
10,1594
10,1608
10,1820
10,1990
11,12
11,13
11,14
11,20
11,26
11,39
11,51
11,55
11,57
11,65
11,82
11,117
11,138
11,179
11,207
11,219
11,221
11,267
11,377
11,380
11,386
11,472
11,492
11,559
11,578
11,632
11,659
11,699
11,705
11,885
11,899
11,956
11,1073
11,1416
11,1420
11,1465
11,1490
11,1557
11,1606
11,1822
12,28
12,29
12,44
12,50
12,53
12,54
12,68
12,71
12,77
12,113
12,124
12,136
12,140
12,143
12,163
12,201
12,204
12,286
12,290
12,305
12,331
12,353
12,366
12,391
12,402
12,405
12,453
12,464
12,556
12,557
12,629
12,645
12,674
12,704
12,712
12,735
12,876
12,885
12,894
12,921
12,1059
12,1085
12,1097
12,1175
12,1185
12,1192
12,1250
12,1275
12,1373
12,1535
12,1554
12,1635
12,1665
12,1716
12,1719
12,1744
12,1752
12,1916
12,1924
12,1989
13,14
13,16
13,33
13,42
13,119
13,122
13,197
13,200
13,317
13,370
13,439
13,441
13,488
13,513
13,570
13,723
13,726
13,739
13,745
13,803
13,805
13,806
13,891
13,979
13,1078
13,1124
13,1324
13,1347
13,1492
13,1538
13,1778
13,1785
13,1843
14,16
14,20
14,38
14,48
14,57
14,60
14,64
14,68
14,115
14,161
14,240
14,241
14,257
14,271
14,272
14,277
14,300
14,321
14,355
14,362
14,393
14,399
14,413
14,417
14,444
14,524
14,543
14,546
14,559
14,566
14,616
14,637
14,639
14,668
14,724
14,753
14,760
14,774
14,799
14,812
14,1018
14,1142
14,1294
14,1365
14,1435
14,1509
14,1544
14,1698
14,1724
14,1766
15,18
15,19
15,23
15,24
15,25
15,26
15,34
15,35
15,36
15,39
