Id,Label,Degree,ClusteringCoefficient
0,0,213,0.005270617415182921
1,1,125,0.0064516129032258064
2,2,75,0.010450450450450451
3,3,72,0.012128325508607199
4,4,58,0.01693889897156685
5,5,7,0.14285714285714285
6,6,24,0.025362318840579712
7,7,6,0.06666666666666667
8,8,14,0.02197802197802198
9,9,8,0.07142857142857142
10,10,44,0.012684989429175475
11,11,43,0.017718715393133997
12,12,62,0.004230565838180857
13,13,36,0.011111111111111112
14,14,53,0.007982583454281567
15,15,98,0.007574163686092994
16,16,46,0.00966183574879227
17,17,42,0.004645760743321719
18,18,3,0.3333333333333333
19,19,13,0.05128205128205128
20,20,13,0.05128205128205128
21,21,18,0.013071895424836602
22,22,18,0.0392156862745098
23,23,16,0.025
24,24,54,0.010482180293501049
25,25,44,0.013742071881606765
26,26,28,0.0026455026455026454
27,27,30,0.011494252873563218
28,28,6,0.26666666666666666
29,29,41,0.00975609756097561
30,30,13,0.01282051282051282
31,31,72,0.005477308294209703
32,32,34,0.017825311942959002
33,33,8,0.10714285714285714
34,34,56,0.003246753246753247
35,35,29,0.0049261083743842365
36,36,15,0.0380952380952381
37,37,42,0.006968641114982578
38,38,28,0.007936507936507936
39,39,15,0.02857142857142857
40,40,7,0.047619047619047616
41,41,25,0.013333333333333334
42,42,34,0.0053475935828877
43,43,24,0.010869565217391304
44,44,15,0
45,45,15,0.02857142857142857
46,46,5,0
47,47,3,0
48,48,11,0
49,49,10,0.022222222222222223
50,50,27,0.014245014245014245
51,51,4,0
52,52,5,0.3
53,53,13,0.02564102564102564
54,54,20,0
55,55,43,0.004429678848283499
56,56,28,0.005291005291005291
57,57,14,0.02197802197802198
58,58,18,0.006535947712418301
59,59,12,0
60,60,4,0
61,61,9,0.027777777777777776
62,62,39,0.006747638326585695
63,63,4,0.16666666666666666
64,64,11,0.03636363636363636
65,65,3,0.6666666666666666
66,66,5,0.1
67,67,10,0.022222222222222223
68,68,10,0
69,69,7,0.047619047619047616
70,70,10,0.022222222222222223
71,71,6,0
72,72,25,0
73,73,30,0.006896551724137931
74,74,5,0.1
75,75,12,0
76,76,46,0.000966183574879227
77,77,10,0.022222222222222223
78,78,33,0.003787878787878788
79,79,14,0.054945054945054944
80,80,12,0.015151515151515152
81,81,16,0.016666666666666666
82,82,33,0.003787878787878788
83,83,12,0
84,84,10,0.08888888888888889
85,85,40,0.005128205128205128
86,86,21,0.02857142857142857
87,87,28,0.005291005291005291
88,88,4,0
89,89,13,0.01282051282051282
90,90,20,0
91,91,6,0
92,92,12,0
93,93,20,0.005263157894736842
94,94,38,0.001422475106685633
95,95,16,0
96,96,5,0
97,97,4,0
98,98,8,0.03571428571428571
99,99,13,0.0641025641025641
100,100,21,0.009523809523809525
101,101,23,0.003952569169960474
102,102,10,0
103,103,7,0
104,104,6,0.2
105,105,26,0
106,106,5,0.1
107,107,21,0.004761904761904762
108,108,4,0
109,109,12,0
110,110,4,0
111,111,30,0.006896551724137931
112,112,15,0.01904761904761905
113,113,8,0
114,114,20,0.005263157894736842
115,115,8,0.03571428571428571
116,116,10,0
117,117,12,0.015151515151515152
118,118,5,0
119,119,15,0
120,120,12,0
121,121,10,0.06666666666666667
122,122,31,0.002150537634408602
123,123,13,0.01282051282051282
124,124,6,0
125,125,5,0
126,126,5,0
127,127,6,0.06666666666666667
128,128,10,0.022222222222222223
129,129,6,0
130,130,12,0.015151515151515152
131,131,6,0.06666666666666667
132,132,3,0
133,133,8,0.07142857142857142
134,134,13,0.01282051282051282
135,135,12,0
136,136,11,0.03636363636363636
137,137,6,0
138,138,16,0.008333333333333333
139,139,12,0.015151515151515152
140,140,9,0
141,141,35,0.0033613445378151263
142,142,3,0
143,143,5,0.1
144,144,4,0.16666666666666666
145,145,11,0
146,146,8,0
147,147,9,0
148,148,11,0
149,149,5,0
150,150,21,0.009523809523809525
151,151,6,0
152,152,8,0.03571428571428571
153,153,11,0.01818181818181818
154,154,37,0.0015015015015015015
155,155,12,0.015151515151515152
156,156,5,0.1
157,157,17,0.007352941176470588
158,158,4,0.16666666666666666
159,159,12,0.030303030303030304
160,160,3,0.3333333333333333
161,161,16,0.008333333333333333
162,162,11,0
163,163,9,0
164,164,6,0
165,165,16,0
166,166,7,0.047619047619047616
167,167,16,0.008333333333333333
168,168,12,0
169,169,16,0.008333333333333333
170,170,6,0
171,171,10,0
172,172,6,0.06666666666666667
173,173,3,0
174,174,5,0.1
175,175,10,0
176,176,20,0.005263157894736842
177,177,3,0
178,178,7,0
179,179,5,0.1
180,180,12,0.015151515151515152
181,181,10,0
182,182,3,0
183,183,10,0
184,184,31,0.002150537634408602
185,185,3,0
186,186,8,0
187,187,17,0
188,188,3,0
189,189,5,0
190,190,5,0
191,191,33,0.003787878787878788
192,192,3,0.3333333333333333
193,193,10,0.06666666666666667
194,194,7,0
195,195,12,0
196,196,3,0
197,197,8,0
198,198,6,0
199,199,6,0
200,200,5,0
201,201,6,0
202,202,11,0
203,203,3,0
204,204,5,0.1
205,205,9,0
206,206,9,0
207,207,5,0
208,208,15,0.009523809523809525
209,209,3,0.3333333333333333
210,210,19,0
211,211,4,0
212,212,11,0.01818181818181818
213,213,15,0
214,214,18,0
215,215,8,0
216,216,10,0
217,217,6,0.13333333333333333
218,218,6,0.06666666666666667
219,219,15,0.009523809523809525
220,220,8,0.03571428571428571
221,221,5,0
222,222,15,0.009523809523809525
223,223,10,0.022222222222222223
224,224,8,0.10714285714285714
225,225,3,0
226,226,16,0
227,227,13,0.01282051282051282
228,228,7,0
229,229,15,0
230,230,11,0.01818181818181818
231,231,6,0.06666666666666667
232,232,5,0
233,233,9,0.05555555555555555
234,234,15,0
235,235,13,0
236,236,11,0
237,237,4,0
238,238,11,0.01818181818181818
239,239,12,0.030303030303030304
240,240,10,0
241,241,9,0
242,242,7,0
243,243,7,0.047619047619047616
244,244,3,0
245,245,11,0
246,246,4,0
247,247,9,0.027777777777777776
248,248,8,0
249,249,10,0.022222222222222223
250,250,15,0
251,251,4,0.16666666666666666
252,252,11,0
253,253,7,0
254,254,12,0
255,255,3,0
256,256,7,0
257,257,3,0
258,258,8,0.07142857142857142
259,259,8,0.03571428571428571
260,260,3,0
261,261,9,0
262,262,11,0.03636363636363636
263,263,4,0
264,264,14,0
265,265,9,0.05555555555555555
266,266,10,0
267,267,5,0.1
268,268,6,0.13333333333333333
269,269,9,0.08333333333333333
270,270,10,0
271,271,8,0.03571428571428571
272,272,6,0
273,273,18,0.006535947712418301
274,274,18,0.0196078431372549
275,275,3,0
276,276,15,0
277,277,5,0
278,278,15,0.009523809523809525
279,279,6,0
280,280,8,0
281,281,8,0
282,282,7,0
283,283,4,0
284,284,19,0
285,285,3,0.3333333333333333
286,286,10,0
287,287,8,0.10714285714285714
288,288,5,0.2
289,289,5,0
290,290,4,0
291,291,7,0
292,292,13,0
293,293,7,0
294,294,6,0
295,295,9,0
296,296,6,0
297,297,9,0
298,298,5,0
299,299,7,0
300,300,11,0.01818181818181818
301,301,14,0
302,302,10,0
303,303,4,0.16666666666666666
