Source,Target
0,1
0,2
0,3
0,4
0,5
0,10
0,16
0,67
0,75
0,122
0,163
0,227
0,247
0,281
0,303
0,305
0,369
0,435
0,573
0,632
0,782
0,959
0,991
0,1005
0,1069
0,1109
0,1112
0,1166
0,1197
0,1222
0,1256
0,1286
0,1290
0,1428
0,1447
0,1509
0,1545
0,1571
0,1689
0,1756
0,1828
0,1846
0,1946
1,2
1,3
1,4
1,5
1,6
1,7
1,9
1,13
1,18
1,23
1,25
1,26
1,37
1,53
1,69
1,73
1,84
1,91
1,99
1,101
1,103
1,120
1,134
1,149
1,154
1,157
1,167
1,169
1,179
1,182
1,185
1,188
1,197
1,208
1,211
1,222
1,235
1,252
1,258
1,261
1,264
1,276
1,296
1,304
1,307
1,311
1,318
1,347
1,350
1,367
1,393
1,400
1,406
1,415
1,428
1,437
1,443
1,459
1,485
1,505
1,535
1,539
1,544
1,552
1,600
1,605
1,619
1,641
1,653
1,674
1,681
1,693
1,695
1,706
1,728
1,740
1,744
1,785
1,795
1,800
1,806
1,834
1,846
1,879
1,883
1,898
1,899
1,917
1,921
1,922
1,940
1,954
1,966
1,969
1,975
1,988
1,1009
1,1024
1,1075
1,1080
1,1081
1,1095
1,1102
1,1105
1,1142
1,1186
1,1217
1,1218
1,1227
1,1239
1,1316
1,1353
1,1488
1,1490
1,1503
1,1533
1,1557
1,1596
1,1618
1,1643
1,1671
1,1696
1,1707
1,1769
1,1771
1,1788
1,1791
1,1832
1,1894
1,1912
1,1921
1,1938
1,1951
2,3
2,4
2,11
2,12
2,28
2,30
2,33
2,38
2,39
2,59
2,69
2,71
2,79
2,101
2,151
2,157
2,240
2,250
2,305
2,321
2,337
2,393
2,394
2,403
2,427
2,476
2,478
2,486
2,494
2,540
2,552
2,562
2,582
2,619
2,639
2,728
2,731
2,787
2,789
2,795
2,818
2,858
2,861
2,870
2,890
2,986
2,990
2,1007
2,1012
2,1046
2,1086
2,1152
2,1160
2,1225
2,1238
2,1301
2,1309
2,1329
2,1348
2,1373
2,1397
2,1485
2,1491
2,1610
2,1612
2,1622
2,1631
2,1670
2,1754
2,1823
2,1982
3,5
3,6
3,8
3,12
3,29
3,32
3,40
3,43
3,65
3,202
3,292
3,298
3,302
3,330
3,446
3,463
3,487
3,544
3,567
3,604
3,692
3,779
3,941
3,985
3,1177
3,1272
3,1383
3,1394
3,1420
3,1470
3,1626
3,1676
3,1912
3,1967
4,7
4,9
4,12
4,14
4,16
4,20
4,22
4,24
4,29
4,53
4,62
4,64
4,86
4,87
4,88
4,93
4,98
4,103
4,108
4,112
4,117
4,125
4,144
4,150
4,152
4,168
4,192
4,195
4,198
4,206
4,246
4,253
4,258
4,260
4,262
4,281
4,282
4,361
4,391
4,406
4,410
4,422
4,429
4,456
4,492
4,535
4,537
4,580
4,586
4,595
4,611
4,629
4,659
4,665
4,682
4,700
4,709
4,715
4,732
4,741
4,743
4,776
4,789
4,844
4,860
4,874
4,876
4,914
4,926
4,965
4,1020
4,1033
4,1042
4,1055
4,1133
4,1151
4,1157
4,1161
4,1221
4,1261
4,1297
4,1324
4,1327
4,1369
4,1378
4,1402
4,1432
4,1537
4,1558
4,1568
4,1646
4,1658
4,1665
4,1697
4,1700
4,1761
4,1794
4,1863
4,1922
4,1935
4,1966
4,1993
5,6
5,7
5,8
5,9
5,10
5,11
5,13
5,17
5,23
5,24
5,26
5,42
5,49
5,66
5,76
5,80
5,93
5,97
5,99
5,104
5,107
5,112
5,113
5,124
5,137
5,164
5,168
5,176
5,189
5,191
5,199
5,203
5,214
5,215
5,220
5,228
5,259
5,266
5,273
5,274
5,277
5,280
5,289
5,292
5,334
5,357
5,359
5,379
5,385
5,389
5,405
5,428
5,435
5,442
5,453
5,457
5,467
5,468
5,470
5,475
5,494
5,516
5,577
5,579
5,582
5,591
5,603
5,628
5,638
5,662
5,663
5,672
5,673
5,682
5,734
5,749
5,828
5,834
5,835
5,861
5,867
5,889
5,904
5,912
5,928
5,939
5,972
5,977
5,980
5,1000
5,1023
5,1068
5,1078
5,1099
5,1100
5,1107
5,1120
5,1149
5,1171
5,1189
5,1223
5,1250
5,1302
5,1304
5,1324
5,1345
5,1350
5,1367
5,1406
5,1409
5,1429
5,1454
5,1463
5,1476
5,1500
5,1512
5,1528
5,1627
5,1641
5,1642
5,1656
5,1704
5,1706
5,1723
5,1758
5,1826
5,1858
5,1860
5,1870
5,1880
5,1897
5,1911
5,1927
5,1931
5,1964
5,1976
5,1986
6,10
6,17
6,18
6,20
6,21
6,22
6,28
6,30
6,33
6,34
6,38
6,41
6,43
6,46
6,52
6,55
6,56
6,57
6,60
6,81
6,84
6,90
6,96
6,106
6,159
6,160
6,162
6,166
6,179
6,195
6,220
6,228
6,239
6,259
6,265
6,267
6,288
6,300
6,352
6,357
6,434
6,470
6,493
6,499
6,515
6,540
6,571
6,574
6,575
6,672
6,681
6,712
6,719
6,736
6,763
6,774
6,892
6,895
6,927
6,942
6,964
6,1118
6,1132
6,1213
6,1245
6,1282
6,1287
6,1302
6,1346
6,1377
6,1380
6,1381
6,1405
6,1422
6,1552
6,1593
6,1601
6,1632
6,1677
6,1705
6,1714
6,1776
6,1795
6,1853
7,8
7,14
7,21
7,36
7,38
7,49
7,58
7,66
7,74
7,84
7,90
7,111
7,130
7,137
7,153
7,183
7,184
7,212
7,275
7,291
7,323
7,417
7,462
7,474
7,479
7,495
7,500
7,513
7,562
7,587
7,626
7,636
7,640
7,650
7,666
7,792
7,806
7,853
7,885
7,976
7,998
7,1006
7,1141
7,1182
7,1188
7,1193
7,1354
7,1474
7,1511
7,1522
7,1525
7,1598
7,1717
7,1830
7,1877
7,1905
7,1970
7,1981
8,16
8,17
8,20
8,35
8,39
8,48
8,53
8,139
8,237
8,301
8,326
8,438
8,465
8,527
8,620
8,653
8,705
8,841
8,1013
8,1101
8,1187
8,1249
8,1310
8,1517
8,1567
8,1802
8,1806
8,1885
8,1990
9,25
9,152
9,160
9,248
9,395
9,457
9,615
9,1303
9,1379
10,11
10,13
10,14
10,21
10,24
10,30
10,32
10,34
10,35
10,40
10,42
10,55
10,66
10,74
10,76
10,82
10,113
10,133
10,135
10,142
10,146
10,178
10,181
10,185
10,236
10,285
10,321
10,334
10,347
10,349
10,454
10,526
10,542
10,746
10,748
10,758
10,770
10,777
10,795
10,799
10,801
10,803
10,816
10,826
10,848
10,873
10,937
10,973
10,1146
10,1211
10,1229
10,1313
10,1349
10,1374
10,1396
10,1413
10,1444
10,1464
10,1501
10,1621
10,1727
10,1751
10,1759
10,1764
10,1844
10,1871
10,1872
10,1909
10,1937
10,1955
10,1981
10,1991
11,268
11,362
11,874
11,1042
11,1481
11,1850
11,1975
12,80
12,255
12,297
12,726
12,767
12,810
12,812
12,1289
12,1725
12,1847
12,1866
13,54
13,55
13,164
13,315
13,533
13,1898
14,51
14,62
14,89
14,131
14,137
14,145
14,158
14,266
14,292
14,350
14,366
14,368
14,940
14,1040
