Id,Label,Degree,ClusteringCoefficient
0,0,43,0.018826135105204873
1,1,134,0.007069913589945012
2,2,73,0.007990867579908675
3,3,37,0.021021021021021023
4,4,105,0.006593406593406593
5,5,140,0.007297019527235354
6,6,87,0.01256348569901096
7,7,61,0.008743169398907104
8,8,32,0.006048387096774193
9,9,12,0.07575757575757576
10,10,75,0.009369369369369369
11,11,10,0.022222222222222223
12,12,14,0.02197802197802198
13,13,9,0.1111111111111111
14,14,20,0.015789473684210527
16,16,51,0.006274509803921568
17,17,53,0.008708272859216255
18,18,13,0.07692307692307693
20,20,14,0.01098901098901099
21,21,19,0.029239766081871343
22,22,32,0.0020161290322580645
23,23,33,0.017045454545454544
24,24,19,0.005847953216374269
25,25,47,0.005550416281221091
26,26,13,0.02564102564102564
28,28,16,0.008333333333333333
29,29,30,0.0022988505747126436
30,30,28,0.015873015873015872
32,32,24,0.007246376811594203
33,33,14,0.01098901098901099
34,34,35,0.013445378151260505
35,35,18,0.006535947712418301
36,36,46,0.005797101449275362
37,37,44,0.004228329809725159
38,38,22,0.004329004329004329
39,39,40,0.0038461538461538464
40,40,20,0
41,41,31,0.015053763440860216
42,42,28,0.018518518518518517
43,43,36,0.009523809523809525
44,44,23,0
46,46,12,0.015151515151515152
48,48,17,0
49,49,19,0.011695906432748537
50,50,13,0
51,51,20,0.010526315789473684
52,52,20,0.005263157894736842
53,53,15,0.02857142857142857
54,54,9,0
55,55,6,0.13333333333333333
56,56,22,0.017316017316017316
57,57,7,0
58,58,39,0.004048582995951417
59,59,16,0.008333333333333333
60,60,11,0.01818181818181818
61,61,7,0.047619047619047616
62,62,15,0.01904761904761905
64,64,4,0
65,65,7,0.047619047619047616
66,66,12,0.045454545454545456
67,67,15,0.01904761904761905
68,68,18,0.006535947712418301
69,69,14,0.01098901098901099
71,71,14,0.02197802197802198
72,72,5,0.1
73,73,11,0.03636363636363636
74,74,19,0.005847953216374269
75,75,13,0.01282051282051282
76,76,10,0.022222222222222223
77,77,10,0.044444444444444446
78,78,14,0.01098901098901099
79,79,9,0
80,80,16,0.008333333333333333
81,81,10,0.08888888888888889
82,82,18,0.013071895424836602
83,83,13,0
84,84,16,0.03333333333333333
86,86,12,0.030303030303030304
87,87,5,0.1
88,88,5,0
89,89,9,0
90,90,22,0.012987012987012988
91,91,20,0.021052631578947368
92,92,9,0
93,93,26,0.015384615384615385
94,94,10,0.022222222222222223
95,95,24,0.007246376811594203
96,96,7,0
97,97,5,0
98,98,23,0
99,99,6,0.3333333333333333
100,100,6,0
101,101,12,0.030303030303030304
102,102,7,0
103,103,12,0.030303030303030304
104,104,13,0.02564102564102564
105,105,9,0
106,106,5,0
107,107,36,0.004761904761904762
108,108,9,0
109,109,6,0
110,110,17,0
111,111,10,0
112,112,14,0.03296703296703297
113,113,8,0.10714285714285714
114,114,9,0
115,115,4,0
116,116,15,0.009523809523809525
117,117,16,0.008333333333333333
118,118,18,0.006535947712418301
119,119,3,0
120,120,8,0.03571428571428571
121,121,5,0
122,122,13,0.01282051282051282
123,123,12,0
124,124,22,0.012987012987012988
125,125,15,0.01904761904761905
127,127,14,0.02197802197802198
128,128,10,0
130,130,10,0
131,131,8,0
133,133,6,0.06666666666666667
134,134,5,0
135,135,11,0.01818181818181818
136,136,15,0
137,137,20,0.021052631578947368
138,138,5,0
139,139,11,0.01818181818181818
140,140,7,0.047619047619047616
142,142,13,0.01282051282051282
144,144,15,0.01904761904761905
145,145,7,0
146,146,12,0.015151515151515152
147,147,10,0.022222222222222223
148,148,5,0.1
149,149,12,0
150,150,6,0.06666666666666667
151,151,16,0
152,152,9,0.027777777777777776
153,153,7,0
154,154,13,0.01282051282051282
155,155,8,0
156,156,13,0
157,157,10,0.044444444444444446
158,158,9,0
159,159,13,0.02564102564102564
160,160,7,0
161,161,12,0.015151515151515152
162,162,9,0
163,163,8,0.03571428571428571
164,164,13,0.01282051282051282
165,165,10,0.044444444444444446
166,166,10,0
167,167,4,0
168,168,8,0.03571428571428571
169,169,10,0
170,170,13,0
171,171,4,0
172,172,6,0
173,173,17,0.007352941176470588
174,174,6,0
175,175,6,0
176,176,13,0
178,178,4,0
179,179,7,0.09523809523809523
180,180,7,0
181,181,5,0
182,182,8,0.03571428571428571
183,183,11,0.03636363636363636
184,184,9,0
185,185,21,0.004761904761904762
187,187,3,0
188,188,7,0
189,189,13,0
190,190,7,0
191,191,26,0.006153846153846154
192,192,5,0.1
193,193,3,0
194,194,8,0
195,195,9,0.027777777777777776
196,196,7,0
197,197,19,0.011695906432748537
198,198,9,0.027777777777777776
