Source,Target
0,1
0,2
0,3
0,4
0,6
0,7
0,8
0,11
0,13
0,22
0,27
0,28
0,30
0,38
0,45
0,48
0,50
0,51
0,55
0,56
0,75
0,83
0,97
0,105
0,109
0,114
0,142
0,165
0,67
0,179
0,188
0,190
0,195
0,196
0,229
0,247
0,253
0,258
0,266
0,318
0,320
0,355
0,364
0,386
0,398
0,427
0,453
0,492
0,499
0,513
0,576
0,602
0,610
0,636
0,659
0,668
0,702
0,728
0,760
0,782
0,865
0,883
0,899
0,1014
0,1025
0,1074
0,1190
0,1240
0,1263
0,1303
0,1327
0,1338
0,1339
0,1365
0,1374
0,1408
0,1456
0,1501
0,1544
0,1576
0,1662
0,1686
0,1747
0,1772
0,1802
0,1809
0,1834
0,1868
0,1942
1,2
1,3
1,5
1,6
1,10
1,11
1,15
1,19
1,20
1,21
1,25
1,26
1,49
1,53
1,54
1,70
1,73
1,74
1,105
1,124
1,130
1,133
1,143
1,146
1,149
1,152
1,177
1,185
1,199
1,219
1,257
1,261
1,279
1,309
1,310
1,315
1,328
1,349
1,377
1,384
1,388
1,391
1,410
1,424
1,487
1,531
1,556
1,579
1,580
1,591
1,658
1,672
1,675
1,713
1,735
1,745
1,749
1,755
1,796
1,847
1,869
1,921
1,928
1,955
1,973
1,990
1,994
1,1055
1,1056
1,1087
1,1127
1,1152
1,1159
1,1222
1,1228
1,1234
1,1378
1,1486
1,1559
1,1581
1,1631
1,1657
1,1957
1,1988
2,3
2,4
2,5
2,9
2,15
2,17
2,36
2,37
2,40
2,44
2,47
2,58
2,74
2,126
2,127
2,136
2,138
2,148
2,174
2,204
2,239
2,296
2,298
2,307
2,338
2,388
2,421
2,437
2,442
2,446
2,453
2,471
2,487
2,19
2,560
2,630
2,642
2,766
2,806
2,828
2,888
2,912
2,924
2,932
2,934
2,944
2,977
2,1012
2,1060
2,1077
2,1082
2,1245
2,1282
2,1292
2,1293
2,1319
2,1345
2,1440
2,1507
2,1513
2,1614
2,1620
2,1663
2,1672
2,1703
2,1741
2,1785
2,1846
2,1867
2,1923
2,1943
3,4
3,7
3,13
3,14
3,16
3,20
3,22
3,23
3,24
3,26
3,30
3,31
3,35
3,38
3,42
3,46
3,47
3,55
3,59
3,66
3,71
3,83
3,86
3,87
3,91
3,99
3,115
3,116
3,121
3,141
3,143
3,144
3,150
3,151
3,176
3,190
3,193
3,215
3,232
3,233
3,245
3,247
3,259
3,295
3,316
3,361
3,39
3,415
3,435
3,460
3,469
3,510
3,545
3,560
3,562
3,575
3,578
3,582
3,690
3,746
3,754
3,775
3,778
3,791
3,819
3,868
3,875
3,881
3,884
3,893
3,910
3,918
3,931
3,940
3,976
3,980
3,985
3,1012
3,1034
3,1046
3,1111
3,1142
3,1148
3,1150
3,1184
3,1251
3,1298
3,1331
3,1350
3,1353
3,1354
3,1366
3,1391
3,1444
3,1534
3,1695
3,1707
3,1722
3,1735
3,1818
3,1825
3,1875
3,1884
3,1901
3,1905
3,1936
4,5
4,7
4,11
4,12
4,20
4,22
4,25
4,34
4,41
4,58
4,59
4,67
4,75
4,96
4,105
4,120
4,147
4,159
4,167
4,168
4,174
4,186
4,209
4,216
4,218
4,234
4,240
4,286
4,353
4,369
4,420
4,436
4,495
4,501
4,538
4,543
4,546
4,570
4,589
4,622
4,629
4,640
4,643
4,680
4,717
4,726
4,733
4,751
4,782
4,814
4,839
4,842
4,843
4,892
4,908
4,918
4,927
4,1007
4,1051
4,1233
4,1260
4,1316
4,1419
4,1436
4,1449
4,1464
4,1471
4,1520
4,1529
4,1541
4,1560
4,1636
4,1655
4,1684
4,1693
4,1736
4,1777
4,1828
4,1849
4,1851
4,1865
4,1911
4,1931
4,1977
5,6
5,8
5,10
5,14
5,39
5,45
5,61
5,65
5,94
5,102
5,136
5,190
5,292
5,319
5,407
5,439
5,450
5,458
5,462
5,559
5,682
5,736
5,744
5,790
5,796
5,825
5,858
5,905
5,906
5,915
5,958
5,1163
5,1220
5,1305
5,1309
5,1313
5,1399
5,1481
5,1642
6,28
6,34
6,81
6,103
6,118
6,139
6,201
6,228
6,249
6,319
6,339
6,395
6,454
6,577
6,590
6,798
6,1203
6,1224
6,1619
6,1694
6,1770
7,8
7,9
7,10
7,19
7,33
7,35
7,36
7,42
7,44
7,64
7,68
7,74
7,87
7,95
7,97
7,132
7,141
7,149
7,150
7,164
7,209
7,230
7,292
7,341
7,352
7,387
7,488
7,491
7,507
7,517
7,530
7,542
7,566
7,604
7,640
7,679
7,792
7,855
7,872
7,886
7,983
7,995
7,1004
7,1105
7,1260
7,1433
7,1479
7,1518
7,1776
7,1813
7,1829
7,1884
7,1994
8,9
8,12
8,14
8,15
8,16
8,17
8,18
8,29
8,44
8,62
8,86
8,89
8,106
8,111
8,115
8,121
8,54
8,150
8,151
8,183
8,198
8,213
8,233
8,243
8,395
8,401
8,413
8,495
8,509
8,601
8,615
8,623
8,704
8,712
8,734
8,737
8,805
8,895
8,896
8,911
8,977
8,1007
8,1049
8,1095
8,1102
8,1167
8,1239
8,1334
8,1438
8,1587
8,1593
8,1648
8,1739
8,1758
8,1982
9,12
9,32
9,46
9,77
9,81
9,84
9,89
9,94
9,104
9,111
9,118
9,126
9,135
9,145
9,146
9,187
9,206
9,216
9,333
9,335
9,342
9,355
9,364
9,374
9,384
9,389
9,397
9,413
9,422
9,453
9,550
9,560
9,563
9,582
9,608
9,610
9,715
9,752
9,760
9,776
9,844
9,865
9,886
9,917
9,944
9,955
9,978
9,1005
9,1030
9,1039
9,1098
9,1131
9,1133
9,1177
9,1265
9,1302
9,1340
9,1366
9,1400
9,1755
9,1929
9,1934
9,1985
9,1989
10,21
10,33
10,34
10,42
10,45
10,23
10,50
10,62
10,65
10,19
10,137
10,156
10,173
10,178
10,223
10,275
10,280
10,331
10,356
10,371
10,375
10,410
10,429
10,508
10,512
10,689
10,718
10,728
10,750
10,913
10,973
10,1000
10,1079
10,1105
10,1109
10,1174
10,1202
10,1206
10,1367
10,1427
10,1633
10,1646
10,1651
10,1676
10,1729
10,1737
10,1866
10,1897
10,1919
11,16
11,18
11,21
11,26
11,28
11,29
11,37
11,40
11,68
11,70
11,77
11,134
11,147
11,149
11,89
11,169
11,170
11,210
11,214
11,235
11,236
11,262
11,292
11,315
11,327
11,375
11,406
11,463
11,464
11,466
11,491
11,547
11,571
11,583
11,588
11,627
11,739
11,777
11,793
11,824
11,864
11,873
11,890
11,936
11,957
11,970
11,998
11,1034
11,1085
11,1154
11,1198
11,1344
11,1401
11,1447
11,1460
11,1506
11,1508
11,1513
11,1564
11,1568
11,1580
11,1591
11,1657
11,1746
11,1892
11,1906
11,1921
12,13
12,18
12,19
12,32
12,84
12,94
12,125
12,152
12,156
12,170
12,191
12,194
12,197
12,200
12,213
12,229
12,258
12,266
12,278
12,301
12,309
12,314
12,344
12,346
12,362
12,369
12,373
12,409
12,416
12,444
12,451
12,497
12,499
12,518
12,519
12,555
12,584
12,641
12,710
