Id,Label,Degree,ClusteringCoefficient
0,0,89,0.01174668028600613
1,1,85,0.012605042016806723
2,2,73,0.0121765601217656
3,3,109,0.011382942575603126
4,4,87,0.009623095429029671
5,5,42,0.016260162601626018
6,6,24,0.021739130434782608
7,7,56,0.016883116883116882
8,8,58,0.010889292196007259
9,9,67,0.010402532790592492
10,10,52,0.008295625942684766
11,11,70,0.007867494824016562
12,12,70,0.004554865424430642
13,13,26,0.009230769230769232
14,14,48,0.005319148936170213
15,15,35,0.011764705882352941
16,16,21,0.01904761904761905
17,17,26,0.009230769230769232
18,18,18,0.006535947712418301
19,19,27,0.019943019943019943
20,20,22,0.017316017316017316
21,21,50,0.010612244897959184
22,22,65,0.005288461538461539
23,23,36,0.011111111111111112
24,24,16,0.008333333333333333
25,25,8,0
26,26,27,0.011396011396011397
27,27,27,0.008547008547008548
28,28,23,0.019762845849802372
29,29,19,0.017543859649122806
30,30,33,0.015151515151515152
31,31,25,0.006666666666666667
32,32,12,0.030303030303030304
33,33,10,0.022222222222222223
34,34,31,0.008602150537634409
35,35,43,0.0033222591362126247
36,36,40,0.0038461538461538464
37,37,20,0.010526315789473684
38,38,26,0.006153846153846154
39,39,23,0.02766798418972332
40,40,15,0.009523809523809525
41,41,14,0.01098901098901099
42,42,18,0.0196078431372549
43,43,52,0.003770739064856712
44,44,33,0.00946969696969697
45,45,11,0.01818181818181818
46,46,39,0.009446693657219974
47,47,20,0.031578947368421054
48,48,15,0.009523809523809525
49,49,23,0.011857707509881422
50,50,29,0
51,51,19,0.005847953216374269
52,52,25,0.006666666666666667
53,53,25,0.01
54,54,12,0.015151515151515152
55,55,31,0.010752688172043012
56,56,22,0.008658008658008658
57,57,20,0.005263157894736842
58,58,11,0.01818181818181818
59,59,17,0.04411764705882353
60,60,12,0
61,61,21,0
62,62,11,0
63,63,13,0
64,64,13,0
65,65,11,0.01818181818181818
66,66,25,0.013333333333333334
67,67,24,0.010869565217391304
68,68,32,0.008064516129032258
69,69,10,0
70,70,7,0.09523809523809523
71,71,15,0
72,72,29,0.007389162561576354
73,73,11,0.03636363636363636
74,74,4,0.16666666666666666
75,75,10,0.06666666666666667
76,76,7,0
77,77,15,0.01904761904761905
78,78,20,0.010526315789473684
79,79,12,0.030303030303030304
80,80,11,0.01818181818181818
81,81,31,0.0064516129032258064
82,82,6,0.13333333333333333
83,83,17,0.007352941176470588
84,84,15,0.01904761904761905
85,85,16,0.008333333333333333
86,86,12,0.015151515151515152
87,87,18,0.0196078431372549
88,88,11,0
89,89,11,0.01818181818181818
90,90,16,0.008333333333333333
91,91,17,0.014705882352941176
92,92,27,0.005698005698005698
93,93,3,0
94,94,12,0.015151515151515152
95,95,29,0.007389162561576354
96,96,13,0.038461538461538464
97,97,20,0.015789473684210527
98,98,10,0.022222222222222223
99,99,14,0.02197802197802198
100,100,16,0.008333333333333333
101,101,5,0
102,102,6,0.06666666666666667
103,103,11,0.01818181818181818
104,104,23,0.007905138339920948
105,105,6,0.13333333333333333
106,106,22,0.008658008658008658
107,107,11,0
108,108,6,0
109,109,11,0.01818181818181818
110,110,18,0.013071895424836602
111,111,7,0.047619047619047616
112,112,13,0
113,113,24,0.0036231884057971015
114,114,18,0.006535947712418301
115,115,14,0
116,116,11,0
117,117,9,0.027777777777777776
118,118,22,0
119,119,6,0
120,120,9,0.05555555555555555
121,121,6,0.06666666666666667
122,122,7,0
123,123,18,0
124,124,11,0.01818181818181818
125,125,11,0
126,126,19,0.029239766081871343
127,127,12,0.015151515151515152
128,128,21,0
129,129,5,0
130,130,13,0.02564102564102564
131,131,9,0.027777777777777776
132,132,6,0
133,133,6,0.13333333333333333
134,134,11,0
135,135,7,0.047619047619047616
136,136,3,0.3333333333333333
137,137,8,0
138,138,15,0.009523809523809525
139,139,12,0.015151515151515152
140,140,8,0
141,141,12,0.030303030303030304
142,142,9,0.027777777777777776
143,143,16,0.025
144,144,20,0.010526315789473684
145,145,23,0.011857707509881422
146,146,16,0.008333333333333333
147,147,10,0.044444444444444446
148,148,10,0
149,149,5,0.1
150,150,9,0.05555555555555555
151,151,10,0.06666666666666667
152,152,12,0
153,153,17,0.014705882352941176
154,154,14,0
155,155,11,0
156,156,13,0.02564102564102564
157,157,23,0
158,158,10,0
159,159,11,0
160,160,5,0
161,161,9,0
162,162,12,0.015151515151515152
163,163,12,0
164,164,13,0.01282051282051282
165,165,6,0.06666666666666667
166,166,17,0.007352941176470588
167,167,12,0
168,168,15,0.0380952380952381
169,169,15,0.01904761904761905
170,170,12,0.015151515151515152
171,171,9,0
172,172,9,0.05555555555555555
173,173,8,0
174,174,4,0.16666666666666666
175,175,12,0
176,176,9,0.027777777777777776
177,177,20,0.010526315789473684
178,178,13,0
179,179,12,0.015151515151515152
180,180,9,0
181,181,10,0
182,182,13,0
183,183,9,0
184,184,12,0
185,185,8,0
186,186,6,0.13333333333333333
187,187,23,0.003952569169960474
188,188,5,0
189,189,6,0
190,190,12,0.015151515151515152
191,191,5,0
192,192,10,0
193,193,3,0.3333333333333333
194,194,5,0
195,195,10,0
196,196,17,0.007352941176470588
197,197,6,0
198,198,7,0
199,199,22,0.008658008658008658
200,200,4,0
201,201,5,0
202,202,6,0
203,203,7,0
204,204,6,0.06666666666666667
205,205,6,0.06666666666666667
206,206,4,0
207,207,17,0.014705882352941176
208,208,13,0
209,209,11,0.01818181818181818
210,210,12,0.015151515151515152
211,211,5,0
212,212,10,0.044444444444444446
213,213,13,0.02564102564102564
214,214,5,0
215,215,10,0
216,216,14,0
217,217,12,0
218,218,10,0.044444444444444446
219,219,5,0.1
220,220,15,0
221,221,12,0.015151515151515152
222,222,3,0
223,223,6,0
224,224,8,0
225,225,8,0
226,226,10,0.022222222222222223
227,227,6,0
228,228,7,0
229,229,9,0.08333333333333333
230,230,6,0
231,231,6,0.06666666666666667
232,232,9,0.05555555555555555
233,233,11,0
234,234,6,0
235,235,9,0
236,236,11,0
237,237,7,0.09523809523809523
238,238,8,0
239,239,4,0.16666666666666666
240,240,11,0.01818181818181818
241,241,10,0
242,242,12,0
243,243,7,0
244,244,8,0
245,245,3,0.3333333333333333
246,246,9,0
247,247,6,0.13333333333333333
248,248,24,0
249,249,7,0
250,250,14,0
251,251,9,0
252,252,6,0
253,253,11,0
254,254,4,0
255,255,6,0
256,256,9,0
257,257,11,0
258,258,6,0.06666666666666667
259,259,16,0.016666666666666666
260,260,5,0
261,261,9,0.027777777777777776
262,262,10,0
263,263,9,0.027777777777777776
264,264,8,0
265,265,11,0
266,266,12,0
267,267,10,0
268,268,14,0
