Id,Label,Degree,ClusteringCoefficient
0,0,45,0.01919191919191919
1,1,138,0.006876123981804718
2,2,78,0.007659007659007659
3,3,39,0.021592442645074223
4,4,112,0.006756756756756757
5,5,147,0.0073618488491286925
6,6,91,0.011965811965811967
7,7,67,0.013116236996834011
8,8,33,0.007575757575757576
9,9,12,0.07575757575757576
10,10,86,0.008755129958960328
11,11,10,0.022222222222222223
12,12,15,0.01904761904761905
13,13,9,0.1111111111111111
14,14,20,0.015789473684210527
15,15,30,0.011494252873563218
16,16,56,0.005844155844155844
17,17,55,0.011447811447811448
18,18,13,0.07692307692307693
19,19,19,0.017543859649122806
20,20,14,0.01098901098901099
21,21,19,0.029239766081871343
22,22,33,0.001893939393939394
23,23,33,0.017045454545454544
24,24,21,0.004761904761904762
25,25,50,0.004897959183673469
26,26,13,0.02564102564102564
27,27,18,0.0392156862745098
28,28,17,0.007352941176470588
29,29,31,0.002150537634408602
30,30,28,0.015873015873015872
31,31,43,0.012181616832779624
32,32,26,0.012307692307692308
33,33,14,0.01098901098901099
34,34,38,0.012802275960170697
35,35,19,0.011695906432748537
36,36,51,0.00784313725490196
37,37,50,0.007346938775510204
38,38,23,0.003952569169960474
39,39,43,0.0033222591362126247
40,40,20,0
41,41,32,0.014112903225806451
42,42,31,0.017204301075268817
43,43,37,0.009009009009009009
44,44,26,0.003076923076923077
45,45,22,0.004329004329004329
46,46,12,0.015151515151515152
47,47,39,0.006747638326585695
48,48,19,0
49,49,20,0.010526315789473684
50,50,15,0
51,51,20,0.010526315789473684
52,52,21,0.004761904761904762
53,53,16,0.025
54,54,10,0
55,55,6,0.13333333333333333
56,56,23,0.015810276679841896
57,57,7,0
58,58,42,0.006968641114982578
59,59,17,0.007352941176470588
60,60,11,0.01818181818181818
61,61,8,0.10714285714285714
62,62,18,0.013071895424836602
63,63,10,0.044444444444444446
64,64,4,0
65,65,7,0.047619047619047616
66,66,13,0.05128205128205128
67,67,16,0.025
68,68,20,0.005263157894736842
69,69,16,0.016666666666666666
70,70,6,0.13333333333333333
71,71,16,0.016666666666666666
72,72,5,0.1
73,73,11,0.03636363636363636
74,74,19,0.005847953216374269
75,75,13,0.01282051282051282
76,76,11,0.01818181818181818
77,77,10,0.044444444444444446
78,78,14,0.01098901098901099
79,79,11,0.01818181818181818
80,80,16,0.008333333333333333
81,81,11,0.07272727272727272
82,82,19,0.011695906432748537
83,83,13,0
84,84,16,0.03333333333333333
85,85,19,0.023391812865497075
86,86,13,0.02564102564102564
87,87,5,0.1
88,88,5,0
89,89,13,0.01282051282051282
90,90,23,0.011857707509881422
91,91,21,0.01904761904761905
92,92,11,0.01818181818181818
93,93,28,0.015873015873015872
94,94,10,0.022222222222222223
95,95,28,0.007936507936507936
96,96,8,0.03571428571428571
97,97,6,0
98,98,25,0.006666666666666667
99,99,6,0.3333333333333333
100,100,7,0.047619047619047616
101,101,12,0.030303030303030304
102,102,8,0
103,103,13,0.02564102564102564
104,104,14,0.02197802197802198
105,105,9,0
106,106,6,0
107,107,38,0.004267425320056899
108,108,9,0
109,109,8,0
110,110,17,0
111,111,10,0
112,112,14,0.03296703296703297
113,113,9,0.08333333333333333
114,114,10,0
115,115,5,0
116,116,15,0.009523809523809525
117,117,17,0.007352941176470588
118,118,18,0.006535947712418301
119,119,3,0
120,120,8,0.03571428571428571
121,121,5,0
122,122,13,0.01282051282051282
123,123,14,0
124,124,24,0.014492753623188406
125,125,17,0.022058823529411766
126,126,10,0
127,127,14,0.02197802197802198
128,128,10,0
129,129,7,0
130,130,12,0
131,131,8,0
132,132,20,0.005263157894736842
133,133,6,0.06666666666666667
134,134,6,0
135,135,12,0.015151515151515152
136,136,15,0
137,137,20,0.021052631578947368
138,138,5,0
139,139,11,0.01818181818181818
140,140,8,0.03571428571428571
141,141,12,0
142,142,14,0.02197802197802198
143,143,12,0.015151515151515152
144,144,15,0.01904761904761905
145,145,7,0
146,146,13,0.01282051282051282
147,147,11,0.01818181818181818
148,148,5,0.1
149,149,14,0
150,150,7,0.047619047619047616
151,151,17,0
152,152,10,0.044444444444444446
153,153,8,0
154,154,15,0.009523809523809525
155,155,8,0
156,156,13,0
157,157,10,0.044444444444444446
158,158,9,0
159,159,15,0.01904761904761905
160,160,8,0
161,161,13,0.01282051282051282
162,162,9,0
163,163,8,0.03571428571428571
164,164,13,0.01282051282051282
165,165,13,0.02564102564102564
166,166,10,0
167,167,4,0
168,168,9,0.027777777777777776
169,169,10,0
170,170,13,0
171,171,5,0
172,172,9,0
173,173,17,0.007352941176470588
174,174,6,0
175,175,6,0
176,176,13,0
177,177,12,0
