nodeID,nodeLabel,degree_lunch,degree_facebook,degree_coauthor,degree_leisure,degree_work,degree_weighted_agg,degree_unweighted_agg,degree_total,degree_mean,degree_std,degree_cv,deviation_lunch,deviation_facebook,deviation_coauthor,deviation_leisure,deviation_work
1,U102,2,0,0,0,0,2,2,2,0.4,0.8944271909999161,2.236062387343822,1.6,-0.4,-0.4,-0.4,-0.4
2,U139,1,0,0,0,11,12,12,12,2.4,4.827007354458868,2.0112522263361003,-1.4,-2.4,-2.4,-2.4,8.6
3,U33,6,0,0,0,9,10,10,15,3.0,4.242640687119285,1.4142130909687312,3.0,-3.0,-3.0,-3.0,6.0
4,U106,7,7,1,2,4,14,14,21,4.2,2.7748873851023217,0.6606873153369063,2.8,2.8,-3.2,-2.2,-0.20000000000000018
5,U107,3,5,0,3,6,9,9,17,3.4,2.3021728866442674,0.6771094733925864,-0.3999999999999999,1.6,-3.4,-0.3999999999999999,2.6
6,U118,6,0,2,2,9,12,12,19,3.8,3.63318042491699,0.9560998602150341,2.2,-3.8,-1.7999999999999998,-1.7999999999999998,5.2
7,U123,6,11,0,0,27,29,29,44,8.8,11.166915420114902,1.2689675171758392,-2.8000000000000007,2.1999999999999993,-8.8,-8.8,18.2
8,U1,7,6,1,5,12,14,14,31,6.2,3.96232255123179,0.6390841793786468,0.7999999999999998,-0.20000000000000018,-5.2,-1.2000000000000002,5.8
9,U21,6,4,0,1,2,8,8,13,2.6,2.408318915758459,0.926276149800888,3.4,1.4,-2.6,-1.6,-0.6000000000000001
10,U22,6,0,1,1,5,7,7,13,2.6,2.701851217221259,1.0391731454031206,3.4,-2.6,-1.6,-1.6,2.4
11,U26,6,0,1,1,16,17,17,24,4.8,6.685805860178712,1.3928759306880794,1.2000000000000002,-4.8,-3.8,-3.8,11.2
12,U29,5,5,1,2,4,9,9,17,3.4,1.816590212458495,0.534291081813945,1.6,1.6,-2.4,-1.4,0.6000000000000001
13,U32,7,11,1,2,11,17,17,32,6.4,4.774934554525329,0.7460834075690501,0.5999999999999996,4.6,-5.4,-4.4,4.6
14,U41,5,0,1,2,3,5,5,11,2.2,1.9235384061671346,0.8743352417417694,2.8,-2.2,-1.2000000000000002,-0.20000000000000018,0.7999999999999998
15,U42,7,4,0,4,4,10,10,19,3.8,2.4899799195977463,0.6552577011421171,3.2,0.20000000000000018,-3.8,0.20000000000000018,0.20000000000000018
16,U49,5,2,0,1,3,6,6,11,2.2,1.9235384061671346,0.8743352417417694,2.8,-0.20000000000000018,-2.2,-1.2000000000000002,0.7999999999999998
17,U59,7,5,0,4,3,9,9,19,3.8,2.5884358211089573,0.6811671420899513,3.2,1.2000000000000002,-3.8,0.20000000000000018,-0.7999999999999998
18,U97,8,0,1,0,8,15,15,17,3.4,4.219004621945797,1.2408833473713088,4.6,-3.4,-2.4,-3.4,4.6
19,U124,4,13,0,4,4,18,18,25,5.0,4.795831523312719,0.9591661128293212,-1.0,8.0,-5.0,-1.0,-1.0
20,U17,6,0,0,5,7,8,8,18,3.6,3.361547262794322,0.9337628691754035,2.4,-3.6,-3.6,1.4,3.4
21,U71,6,8,0,0,16,18,18,30,6.0,6.6332495807108,1.1055414125282312,0.0,2.0,-6.0,-6.0,10.0
22,U86,1,0,0,0,2,3,3,3,0.6,0.8944271909999159,1.4907095004840256,0.4,-0.6,-0.6,-0.6,1.4
23,U91,7,14,3,14,8,22,22,46,9.2,4.764451699828638,0.5178751284732076,-2.1999999999999993,4.800000000000001,-6.199999999999999,4.800000000000001,-1.1999999999999993
24,U109,12,6,0,4,3,13,13,25,5.0,4.47213595499958,0.8944270121145135,7.0,1.0,-5.0,-1.0,-2.0
25,U126,15,0,0,9,3,17,17,27,5.4,6.5038450166036395,1.2044155207755773,9.6,-5.4,-5.4,3.5999999999999996,-2.4000000000000004
26,U130,6,12,5,0,16,21,21,39,7.8,6.260990336999411,0.8026909659369802,-1.7999999999999998,4.2,-2.8,-7.8,8.2
27,U134,12,2,1,0,3,13,13,18,3.6,4.8270073544588685,1.3408350037844068,8.4,-1.6,-2.6,-3.6,-0.6000000000000001
28,U18,8,8,2,4,3,12,12,25,5.0,2.8284271247461903,0.5656853118121756,3.0,3.0,-3.0,-1.0,-2.0
29,U3,7,7,0,2,2,11,11,18,3.6,3.2093613071762426,0.8914890043575661,3.4,3.4,-3.6,-1.6,-1.6
30,U47,5,11,2,1,4,14,14,23,4.6,3.9115214431215892,0.850330563650223,0.40000000000000036,6.4,-2.5999999999999996,-3.5999999999999996,-0.5999999999999996
31,U54,9,10,0,8,8,19,19,35,7.0,4.0,0.57142848979593,2.0,3.0,-7.0,1.0,1.0
32,U62,8,0,0,2,6,11,11,16,3.2,3.63318042491699,1.1353685279838943,4.8,-3.2,-3.2,-1.2000000000000002,2.8
33,U76,9,10,2,7,4,15,15,32,6.4,3.361547262794322,0.5252416777426007,2.5999999999999996,3.5999999999999996,-4.4,0.5999999999999996,-2.4000000000000004
34,U79,13,15,0,7,9,24,24,44,8.8,5.848076606885378,0.6645540843558289,4.199999999999999,6.199999999999999,-8.8,-1.8000000000000007,0.1999999999999993
35,U90,10,0,0,8,5,14,14,23,4.6,4.560701700396551,0.9914566758564947,5.4,-4.6,-4.6,3.4000000000000004,0.40000000000000036
36,U99,7,0,2,3,6,10,10,18,3.6,2.8809720581775866,0.8002697938632757,3.4,-3.6,-1.6,-0.6000000000000001,2.4
37,U10,3,5,1,6,7,13,13,22,4.4,2.4083189157584592,0.5473450837303125,-1.4000000000000004,0.5999999999999996,-3.4000000000000004,1.5999999999999996,2.5999999999999996
38,U13,3,0,1,1,4,7,7,9,1.8,1.6431676725154984,0.9128704220250424,1.2,-1.8,-0.8,-0.8,2.2
39,U142,2,11,1,4,3,14,14,21,4.2,3.96232255123179,0.9434099066242578,-2.2,6.8,-3.2,-0.20000000000000018,-1.2000000000000002
40,U14,8,0,0,5,9,10,10,22,4.4,4.277849927241488,0.9722383988643383,3.5999999999999996,-4.4,-4.4,0.5999999999999996,4.6
41,U19,5,0,0,3,8,8,8,16,3.2,3.420526275297414,1.068914126994777,1.7999999999999998,-3.2,-3.2,-0.20000000000000018,4.8
42,U23,5,0,0,5,6,6,6,16,3.2,2.949576240750525,0.9217422871900741,1.7999999999999998,-3.2,-3.2,1.7999999999999998,2.8
43,U37,6,0,0,2,1,8,8,9,1.8,2.489979919597747,1.38332140904241,4.2,-1.8,-1.8,0.19999999999999996,-0.8
44,U4,15,12,0,1,21,26,26,49,9.8,9.093954035511725,0.9279543987303395,5.199999999999999,2.1999999999999993,-9.8,-8.8,11.2
45,U73,6,0,0,7,7,8,8,20,4.0,3.6742346141747673,0.9185584239040858,2.0,-4.0,-4.0,3.0,3.0
46,U110,7,9,4,7,14,19,19,41,8.2,3.7013511046643495,0.45138422600977124,-1.1999999999999993,0.8000000000000007,-4.199999999999999,-1.1999999999999993,5.800000000000001
47,U113,5,6,0,4,4,9,9,19,3.8,2.2803508501982757,0.6000921710805538,1.2000000000000002,2.2,-3.8,0.20000000000000018,0.20000000000000018
48,U138,3,0,1,4,4,6,6,12,2.4,1.8165902124584952,0.7569122731442591,0.6000000000000001,-2.4,-1.4,1.6,1.6
49,U53,5,0,3,1,2,5,5,11,2.2,1.9235384061671346,0.8743352417417694,2.8,-2.2,0.7999999999999998,-1.2000000000000002,-0.20000000000000018
50,U65,5,4,0,6,3,9,9,18,3.6,2.3021728866442674,0.639492290875549,1.4,0.3999999999999999,-3.6,2.4,-0.6000000000000001
51,U67,12,13,0,2,20,23,23,47,9.4,8.29457654133109,0.8824016658435557,2.5999999999999996,3.5999999999999996,-9.4,-7.4,10.6
52,U72,10,0,2,4,4,10,10,20,4.0,3.7416573867739413,0.9354141128399571,6.0,-4.0,-2.0,0.0,0.0
53,U112,3,2,0,0,2,5,5,7,1.4,1.3416407864998738,0.9583141629897935,1.6,0.6000000000000001,-1.4,-1.4,0.6000000000000001
54,U48,6,0,1,0,3,8,8,10,2.0,2.5495097567963922,1.2747542410210755,4.0,-2.0,-1.0,-2.0,1.0
55,U68,5,0,1,2,4,6,6,12,2.4,2.073644135332772,0.8640180297144759,2.6,-2.4,-1.4,-0.3999999999999999,1.6
56,U69,6,6,0,2,3,11,11,17,3.4,2.6076809620810595,0.7669647632694989,2.6,2.6,-3.4,-1.4,-0.3999999999999999
57,U63,6,0,0,0,5,6,6,11,2.2,3.03315017762062,1.3787039995075545,3.8,-2.2,-2.2,-2.2,2.8
58,U6,6,4,0,1,2,9,9,13,2.6,2.408318915758459,0.926276149800888,3.4,1.4,-2.6,-1.6,-0.6000000000000001
59,U92,5,0,0,0,2,6,6,7,1.4,2.1908902300206643,1.564920475071564,3.6,-1.4,-1.4,-1.4,0.6000000000000001
60,U140,0,0,0,0,2,2,2,2,0.4,0.894427190999916,2.2360623873438215,-0.4,-0.4,-0.4,-0.4,1.6
61,U141,4,0,0,1,2,4,4,7,1.4,1.6733200530681511,1.1952277556002826,2.6,-1.4,-1.4,-0.3999999999999999,0.6000000000000001
