nodeID,nodeLabel,degree_lunch,degree_facebook,degree_coauthor,degree_leisure,degree_work,degree_weighted_agg,degree_unweighted_agg,degree_total,degree_mean,degree_std,degree_cv,deviation_lunch,deviation_facebook,deviation_coauthor,deviation_leisure,deviation_work
1,U102,2,0,0,0,0,2,2,2,0.4,0.8944271909999161,2.236062387343822,1.6,-0.4,-0.4,-0.4,-0.4
2,U139,1,0,0,0,11,12,12,12,2.4,4.827007354458868,2.0112522263361003,-1.4,-2.4,-2.4,-2.4,8.6
3,U33,6,0,0,0,9,10,10,15,3.0,4.242640687119285,1.4142130909687312,3.0,-3.0,-3.0,-3.0,6.0
7,U123,6,11,0,0,27,29,29,44,8.8,11.166915420114902,1.2689675171758392,-2.8000000000000007,2.1999999999999993,-8.8,-8.8,18.2
11,U26,6,0,1,1,16,17,17,24,4.8,6.685805860178712,1.3928759306880794,1.2000000000000002,-4.8,-3.8,-3.8,11.2
18,U97,8,0,1,0,8,15,15,17,3.4,4.219004621945797,1.2408833473713088,4.6,-3.4,-2.4,-3.4,4.6
22,U86,1,0,0,0,2,3,3,3,0.6,0.8944271909999159,1.4907095004840256,0.4,-0.6,-0.6,-0.6,1.4
27,U134,12,2,1,0,3,13,13,18,3.6,4.8270073544588685,1.3408350037844068,8.4,-1.6,-2.6,-3.6,-0.6000000000000001
43,U37,6,0,0,2,1,8,8,9,1.8,2.489979919597747,1.38332140904241,4.2,-1.8,-1.8,0.19999999999999996,-0.8
54,U48,6,0,1,0,3,8,8,10,2.0,2.5495097567963922,1.2747542410210755,4.0,-2.0,-1.0,-2.0,1.0
57,U63,6,0,0,0,5,6,6,11,2.2,3.03315017762062,1.3787039995075545,3.8,-2.2,-2.2,-2.2,2.8
59,U92,5,0,0,0,2,6,6,7,1.4,2.1908902300206643,1.564920475071564,3.6,-1.4,-1.4,-1.4,0.6000000000000001
60,U140,0,0,0,0,2,2,2,2,0.4,0.894427190999916,2.2360623873438215,-0.4,-0.4,-0.4,-0.4,1.6
