nodeID,nodeLabel,high_layers,low_layers,cv
2,U139,work,"lunch, facebook, coauthor, leisure",2.0112522263361003
3,U33,work,"facebook, coauthor, leisure",1.4142130909687312
4,U106,coauthor,coauthor,0.6606873153369063
6,U118,"coauthor, work",facebook,0.9560998602150341
7,U123,"facebook, work","coauthor, leisure",1.2689675171758392
8,U1,"coauthor, leisure, work",coauthor,0.6390841793786468
10,U22,coauthor,"facebook, coauthor, leisure",1.0391731454031206
11,U26,"coauthor, work","facebook, coauthor, leisure",1.3928759306880794
12,U29,coauthor,coauthor,0.534291081813945
13,U32,"facebook, coauthor, work",coauthor,0.7460834075690501
14,U41,coauthor,"facebook, coauthor",0.8743352417417694
18,U97,"lunch, coauthor","facebook, coauthor, leisure",1.2408833473713088
19,U124,facebook,coauthor,0.9591661128293212
20,U17,leisure,"facebook, coauthor",0.9337628691754035
21,U71,work,"coauthor, leisure",1.1055414125282312
24,U109,lunch,coauthor,0.8944270121145135
25,U126,"lunch, leisure","facebook, coauthor",1.2044155207755773
26,U130,"facebook, coauthor, work",leisure,0.8026909659369802
27,U134,"lunch, coauthor","coauthor, leisure",1.3408350037844068
30,U47,"facebook, coauthor",leisure,0.850330563650223
31,U54,"lunch, facebook, leisure",coauthor,0.57142848979593
32,U62,lunch,"facebook, coauthor",1.1353685279838943
34,U79,"lunch, facebook, leisure, work",coauthor,0.6645540843558289
35,U90,"lunch, leisure","facebook, coauthor",0.9914566758564947
36,U99,coauthor,facebook,0.8002697938632757
37,U10,"coauthor, leisure",coauthor,0.5473450837303125
38,U13,coauthor,"facebook, coauthor, leisure",0.9128704220250424
39,U142,"facebook, coauthor",coauthor,0.9434099066242578
40,U14,"lunch, leisure, work","facebook, coauthor",0.9722383988643383
42,U23,leisure,"facebook, coauthor",0.9217422871900741
44,U4,"lunch, facebook, work","coauthor, leisure",0.9279543987303395
45,U73,leisure,"facebook, coauthor",0.9185584239040858
48,U138,coauthor,"facebook, coauthor",0.7569122731442591
49,U53,coauthor,"facebook, leisure",0.8743352417417694
50,U65,leisure,coauthor,0.639492290875549
51,U67,"lunch, facebook, work",coauthor,0.8824016658435557
52,U72,"lunch, coauthor",facebook,0.9354141128399571
54,U48,coauthor,"facebook, coauthor, leisure",1.2747542410210755
55,U68,coauthor,"facebook, coauthor",0.8640180297144759
