nodeID,nodeLabel,degree_lunch,degree_facebook,degree_coauthor,degree_leisure,degree_work,degree_deviation,neighborhood_lunch,neighborhood_facebook,neighborhood_coauthor,neighborhood_leisure,neighborhood_work,neighborhood_all_layers,degree_all_layers,connective_redundancy,exclusive_neighborhood_lunch,exclusive_neighborhood_facebook,exclusive_neighborhood_coauthor,exclusive_neighborhood_leisure,exclusive_neighborhood_work
1,U102,2,0,0,0,0,0.8944271909999161,2,0,0,0,0,2,2,0.0,2,0,0,0,0
2,U139,1,0,0,0,11,4.827007354458868,1,0,0,0,11,12,12,0.0,1,0,0,0,11
3,U33,6,0,0,0,9,4.242640687119285,6,0,0,0,9,10,15,0.33333333333333337,1,0,0,0,4
4,U106,7,7,1,2,4,2.7748873851023217,7,7,1,2,4,14,21,0.33333333333333337,4,6,0,0,0
5,U107,3,5,0,3,6,2.3021728866442674,3,5,0,3,6,9,17,0.47058823529411764,0,2,0,1,2
6,U118,6,0,2,2,9,3.63318042491699,6,0,2,2,9,12,19,0.368421052631579,3,0,0,0,6
7,U123,6,11,0,0,27,11.166915420114902,6,11,0,0,27,29,44,0.34090909090909094,0,2,0,0,15
8,U1,7,6,1,5,12,3.96232255123179,7,6,1,5,12,14,31,0.5483870967741935,0,1,0,0,3
9,U21,6,4,0,1,2,2.408318915758459,6,4,0,1,2,8,13,0.3846153846153846,2,1,0,0,1
10,U22,6,0,1,1,5,2.701851217221259,6,0,1,1,5,7,13,0.46153846153846156,2,0,0,0,1
11,U26,6,0,1,1,16,6.685805860178712,6,0,1,1,16,17,24,0.29166666666666663,1,0,0,0,10
12,U29,5,5,1,2,4,1.816590212458495,5,5,1,2,4,9,17,0.47058823529411764,1,2,0,1,1
13,U32,7,11,1,2,11,4.774934554525329,7,11,1,2,11,17,32,0.46875,0,6,0,0,3
14,U41,5,0,1,2,3,1.9235384061671346,5,0,1,2,3,5,11,0.5454545454545454,2,0,0,0,0
15,U42,7,4,0,4,4,2.4899799195977463,7,4,0,4,4,10,19,0.4736842105263158,4,0,0,0,0
16,U49,5,2,0,1,3,1.9235384061671346,5,2,0,1,3,6,11,0.4545454545454546,2,0,0,0,0
17,U59,7,5,0,4,3,2.5884358211089573,7,5,0,4,3,9,19,0.5263157894736843,2,2,0,0,0
18,U97,8,0,1,0,8,4.219004621945797,8,0,1,0,8,15,17,0.11764705882352944,6,0,1,0,6
19,U124,4,13,0,4,4,4.795831523312719,4,13,0,4,4,18,25,0.28,0,8,0,0,3
20,U17,6,0,0,5,7,3.361547262794322,6,0,0,5,7,8,18,0.5555555555555556,0,0,0,1,1
21,U71,6,8,0,0,16,6.6332495807108,6,8,0,0,16,18,30,0.4,0,2,0,0,7
22,U86,1,0,0,0,2,0.8944271909999159,1,0,0,0,2,3,3,0.0,1,0,0,0,2
