actor, layer     , degree, degree_probability   , random_walk_probability, prob_difference
    1, lunch     ,      2, 0.0051813471502590676, 0.014139154500082601   , 0.008957807349823533
    2, lunch     ,      1, 0.0025906735751295338, 0.01007731142363053    , 0.007486637848500996
    3, lunch     ,      6, 0.015544041450777202 , 0.02335408207651118    , 0.007810040625733979
    4, lunch     ,      7, 0.018134715025906734 , 0.014654462950080252   , 0.003480252075826482
    5, lunch     ,      3, 0.007772020725388601 , 0.01026524744657085    , 0.0024932267211822488
    6, lunch     ,      6, 0.015544041450777202 , 0.013883015888172003   , 0.0016610255626051985
    7, lunch     ,      6, 0.015544041450777202 , 0.023734500961656503   , 0.008190459510879301
    8, lunch     ,      7, 0.018134715025906734 , 0.02279178962077845    , 0.004657074594871715
    9, lunch     ,      6, 0.015544041450777202 , 0.011923328165092702   , 0.0036207132856844997
   10, lunch     ,      6, 0.015544041450777202 , 0.012378012091561218   , 0.003166029359215984
   11, lunch     ,      6, 0.015544041450777202 , 0.0138026883944959     , 0.0017413530562813018
   12, lunch     ,      5, 0.012953367875647668 , 0.015409238268017987   , 0.002455870392370319
   13, lunch     ,      7, 0.018134715025906734 , 0.022337105694309935   , 0.004202390668403201
   14, lunch     ,      5, 0.012953367875647668 , 0.010926054753038426   , 0.0020273131226092415
   15, lunch     ,      7, 0.018134715025906734 , 0.014575651069492376   , 0.0035590639564143586
   16, lunch     ,      5, 0.012953367875647668 , 0.009660517824367724   , 0.0032928500512799438
   17, lunch     ,      7, 0.018134715025906734 , 0.018310121718887115   , 0.0001754066929803809
   18, lunch     ,      8, 0.02072538860103627  , 0.017455315937126306   , 0.003270072663909964
   19, lunch     ,      4, 0.010362694300518135 , 0.010366793523482151   , 4.09922296401577e-06
   20, lunch     ,      6, 0.015544041450777202 , 0.019551408838146163   , 0.004007367387368961
   21, lunch     ,      6, 0.015544041450777202 , 0.02058505696431792    , 0.00504101551354072
   22, lunch     ,      1, 0.0025906735751295338, 0.003514706751601624   , 0.0009240331764720903
   23, lunch     ,      7, 0.018134715025906734 , 0.02250988558636797    , 0.004375170560461234
   24, lunch     ,     12, 0.031088082901554404 , 0.023075209268277157   , 0.008012873633277247
   25, lunch     ,     15, 0.038860103626943004 , 0.033690563338228764   , 0.00516954028871424
   26, lunch     ,      6, 0.015544041450777202 , 0.020186450722113856   , 0.004642409271336655
   27, lunch     ,     12, 0.031088082901554404 , 0.02384210949092072    , 0.007245973410633683
   28, lunch     ,      8, 0.02072538860103627  , 0.016135216937279383   , 0.004590171663756887
   29, lunch     ,      7, 0.018134715025906734 , 0.013826938203907554   , 0.00430777682199918
   30, lunch     ,      5, 0.012953367875647668 , 0.011186740204213707   , 0.0017666276714339603
   31, lunch     ,      9, 0.023316062176165803 , 0.019633251944910494   , 0.003682810231255308
   32, lunch     ,      8, 0.02072538860103627  , 0.01570781404639898    , 0.005017574554637291
   33, lunch     ,      9, 0.023316062176165803 , 0.018749649514473346   , 0.004566412661692457
   34, lunch     ,     13, 0.03367875647668394  , 0.03026224653265616    , 0.003416509944027781
   35, lunch     ,     10, 0.025906735751295335 , 0.02112916206299191    , 0.004777573688303425
   36, lunch     ,      7, 0.018134715025906734 , 0.015013663251990378   , 0.003121051773916356
   37, lunch     ,      3, 0.007772020725388601 , 0.011633846065241081   , 0.0038618253398524805
   38, lunch     ,      3, 0.007772020725388601 , 0.008323747080550288   , 0.0005517263551616872
   39, lunch     ,      2, 0.0051813471502590676, 0.007441660263201369   , 0.0022603131129423013
   40, lunch     ,      8, 0.02072538860103627  , 0.02547442478694269    , 0.00474903618590642
   41, lunch     ,      5, 0.012953367875647668 , 0.016812695987717473   , 0.0038593281120698052
   42, lunch     ,      5, 0.012953367875647668 , 0.01665507222654172    , 0.0037017043508940518
