Source,Target
1,2
1,3
2,11
2,12
2,18
2,21
2,37
2,40
2,41
2,5
2,51
2,7
2,8
3,21
3,44
3,51
3,57
3,7
3,11
3,46
3,6
3,9
4,10
4,11
4,14
4,15
4,16
4,18
4,6
4,12
4,13
4,17
4,5
4,7
4,8
4,9
5,12
5,13
5,20
5,19
5,21
5,23
5,22
6,10
6,11
6,14
6,15
6,16
6,18
6,21
6,35
6,51
6,7
7,21
7,34
7,44
7,51
7,57
7,13
7,15
7,16
7,23
7,26
7,30
7,39
7,10
7,11
7,18
7,19
7,20
7,28
7,29
7,31
7,32
7,33
7,35
7,36
7,46
8,12
8,13
8,37
8,40
8,41
8,42
8,45
8,21
8,34
8,11
8,19
8,26
9,18
9,25
9,43
9,51
9,56
9,58
10,11
10,14
10,15
10,16
11,14
11,15
11,16
11,13
11,18
11,21
11,26
11,34
11,46
11,60
12,13
12,20
12,40
12,23
12,25
13,20
13,26
13,40
13,45
13,21
13,23
13,44
13,46
13,51
13,18
13,22
14,15
15,16
15,30
15,34
15,39
17,23
17,25
17,46
17,49
17,50
17,51
17,52
17,47
18,21
18,25
18,43
18,44
18,56
18,58
18,46
18,51
19,24
19,25
19,30
19,36
19,23
19,26
19,27
19,28
19,29
19,31
19,33
19,34
19,56
19,58
19,44
20,40
20,42
20,45
20,23
21,44
21,51
21,57
21,34
21,46
21,40
21,41
21,58
21,60
22,26
23,25
23,46
23,49
23,50
23,51
23,52
23,34
23,37
23,39
23,44
23,47
23,56
23,31
23,35
23,48
24,25
24,27
24,28
24,29
24,30
24,31
24,32
24,33
24,34
24,35
24,36
24,26
25,31
25,35
25,43
25,46
25,47
25,48
25,52
25,56
25,58
25,51
26,27
26,34
26,44
26,46
26,28
26,29
26,30
26,33
26,39
26,51
26,36
26,31
26,32
26,37
27,31
27,32
27,33
27,34
27,35
27,36
27,38
27,44
27,54
27,59
28,29
28,31
28,32
28,33
28,34
28,35
28,36
28,30
29,31
29,32
29,33
29,34
29,35
29,30
30,34
30,36
30,31
30,33
30,39
30,44
30,32
31,32
31,33
31,34
31,35
31,37
31,39
31,44
31,38
31,41
32,33
32,34
32,35
33,34
33,35
33,36
33,44
33,53
34,35
34,36
34,57
34,39
34,46
34,50
34,45
34,44
35,58
35,44
36,44
37,40
37,41
37,39
37,44
37,38
37,43
37,45
37,42
38,39
38,44
38,54
38,59
39,44
39,46
39,51
39,55
39,43
40,41
40,42
40,45
41,42
41,45
42,45
43,51
43,56
43,58
44,51
44,53
44,54
44,55
44,57
44,59
44,61
44,46
46,47
46,49
46,52
46,51
46,48
46,50
47,48
47,51
47,52
47,50
47,56
48,52
48,51
49,50
49,52
50,51
50,52
50,53
51,52
51,57
51,56
51,58
52,56
53,54
53,55
54,55
54,59
54,61
54,56
55,59
55,61
56,58
59,61
