Source,Target,Weight
1,2,1.0
1,3,1.0
2,11,1.0
2,12,1.0
2,18,1.0
2,21,1.0
2,37,1.0
2,40,1.0
2,41,1.0
2,5,1.0
2,51,1.0
2,7,1.0
2,8,1.0
3,21,2.0
3,44,2.0
3,51,2.0
3,57,2.0
3,7,2.0
3,11,1.0
3,46,1.0
3,6,1.0
3,9,1.0
4,10,1.0
4,11,2.0
4,14,3.0
4,15,1.0
4,16,1.0
4,18,1.0
4,6,4.0
4,12,1.0
4,13,1.0
4,17,1.0
4,5,1.0
4,7,2.0
4,8,1.0
4,9,1.0
5,12,3.0
5,13,4.0
5,20,3.0
5,19,1.0
5,21,2.0
5,23,1.0
5,22,1.0
6,10,1.0
6,11,2.0
6,14,4.0
6,15,1.0
6,16,1.0
6,18,1.0
6,21,1.0
6,35,1.0
6,51,1.0
6,7,1.0
7,21,3.0
7,34,2.0
7,44,3.0
7,51,3.0
7,57,2.0
7,13,1.0
7,15,2.0
7,16,2.0
7,23,1.0
7,26,2.0
7,30,2.0
7,39,2.0
7,10,1.0
7,11,1.0
7,18,1.0
7,19,1.0
7,20,1.0
7,28,1.0
7,29,1.0
7,31,1.0
7,32,1.0
7,33,1.0
7,35,1.0
7,36,1.0
7,46,1.0
8,12,2.0
8,13,3.0
8,37,5.0
8,40,3.0
8,41,2.0
8,42,3.0
8,45,3.0
8,21,2.0
8,34,2.0
8,11,2.0
8,19,1.0
8,26,1.0
9,18,1.0
9,25,2.0
9,43,1.0
9,51,3.0
9,56,2.0
9,58,2.0
10,11,3.0
10,14,2.0
10,15,3.0
10,16,2.0
11,14,1.0
11,15,2.0
11,16,2.0
11,13,1.0
11,18,1.0
11,21,1.0
11,26,1.0
11,34,1.0
11,46,1.0
11,60,1.0
12,13,5.0
12,20,2.0
12,40,1.0
12,23,1.0
12,25,1.0
13,20,2.0
13,26,3.0
13,40,2.0
13,45,2.0
13,21,1.0
13,23,1.0
13,44,1.0
13,46,2.0
13,51,1.0
13,18,1.0
13,22,1.0
14,15,1.0
15,16,3.0
15,30,1.0
15,34,3.0
15,39,2.0
17,23,4.0
17,25,1.0
17,46,4.0
17,49,1.0
17,50,2.0
17,51,3.0
17,52,2.0
17,47,1.0
18,21,2.0
18,25,1.0
18,43,1.0
18,44,2.0
18,56,1.0
18,58,1.0
18,46,1.0
18,51,1.0
19,24,2.0
19,25,2.0
19,30,2.0
19,36,2.0
19,23,2.0
19,26,2.0
19,27,1.0
19,28,2.0
19,29,1.0
19,31,1.0
19,33,1.0
19,34,1.0
19,56,1.0
19,58,1.0
19,44,1.0
20,40,3.0
20,42,3.0
20,45,3.0
20,23,1.0
21,44,3.0
21,51,3.0
21,57,2.0
21,34,1.0
21,46,2.0
21,40,1.0
21,41,1.0
21,58,1.0
21,60,1.0
22,26,1.0
23,25,2.0
23,46,5.0
23,49,4.0
23,50,4.0
23,51,3.0
23,52,4.0
23,34,1.0
23,37,1.0
23,39,1.0
23,44,1.0
23,47,3.0
23,56,2.0
23,31,1.0
23,35,1.0
23,48,2.0
24,25,2.0
24,27,1.0
24,28,2.0
24,29,1.0
24,30,2.0
24,31,4.0
