network_type     , network_name    , modularity         , num_communities, num_nodes, num_edges, community_sizes                                                                                                                       , avg_community_size , max_community_size, min_community_size, layers_included
individual_layer , lunch           , 0.6458025718811242 ,               7,        61,       193, "[7, 7, 12, 10, 14, 10, 1]"                                                                                                           ,  8.714285714285714 ,                 14,                  1, 
individual_layer , facebook        , 0.34270941727367327,              33,        61,       124, "[1, 1, 1, 1, 1, 1, 6, 1, 6, 1, 1, 1, 10, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 10, 1, 1, 1, 1, 1, 1, 1]"                               ,  1.8484848484848484,                 10,                  1, 
individual_layer , coauthor        , 0.7573696145124716 ,              44,        61,        21, "[1, 1, 1, 1, 3, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 6, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 6, 1, 2, 1, 1, 1, 1, 1, 1]",  1.3863636363636365,                  6,                  1, 
individual_layer , leisure         , 0.5693440082644629 ,              20,        61,        88, "[1, 1, 1, 3, 1, 6, 1, 1, 1, 1, 1, 12, 7, 10, 1, 1, 9, 1, 1, 1]"                                                                      ,  3.05              ,                 12,                  1, 
individual_layer , work            , 0.44650069082793065,               5,        61,       194, "[1, 19, 7, 22, 12]"                                                                                                                  , 12.2               ,                 22,                  1, 
all_layers_merged, all_layers      , 0.4162259547865724 ,               5,        61,       353, "[12, 13, 13, 15, 8]"                                                                                                                 , 12.2               ,                 15,                  8, 
progressive_merge, layers_1_to_1   , 0.7573696145124716 ,              44,        61,        21, "[1, 1, 1, 1, 3, 1, 2, 1, 2, 2, 1, 1, 1, 6, 1, 1, 1, 1, 1, 1, 1, 6, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1]",  1.3863636363636365,                  6,                  1, coauthor
progressive_merge, layers_1_to_2   , 0.579532700744822  ,              17,        61,        99, "[1, 1, 1, 3, 1, 3, 1, 1, 8, 9, 11, 6, 11, 1, 1, 1, 1]"                                                                               ,  3.588235294117647 ,                 11,                  1, coauthor+leisure
progressive_merge, layers_1_to_3   , 0.41103878116343495,              12,        61,       190, "[1, 1, 1, 15, 9, 1, 13, 11, 6, 1, 1, 1]"                                                                                             ,  5.083333333333333 ,                 15,                  1, coauthor+leisure+facebook
progressive_merge, layers_1_to_4   , 0.47433500467408857,               6,        61,       287, "[14, 7, 15, 10, 14, 1]"                                                                                                              , 10.166666666666666 ,                 15,                  1, coauthor+leisure+facebook+lunch
progressive_merge, layers_1_to_5   , 0.4161617539664069 ,               5,        61,       353, "[12, 13, 13, 15, 8]"                                                                                                                 , 12.2               ,                 15,                  8, coauthor+leisure+facebook+lunch+work
combo_merge      , facebook_work   , 0.38980702829137887,               5,        61,       268, "[1, 22, 15, 16, 7]"                                                                                                                  , 12.2               ,                 22,                  1, facebook+work
combo_merge      , coauthor_leisure, 0.5725946332006938 ,              17,        61,        99, "[1, 1, 1, 3, 1, 3, 6, 11, 1, 1, 7, 11, 1, 1, 10, 1, 1]"                                                                              ,  3.588235294117647 ,                 11,                  1, coauthor+leisure
