antecedent,consequent,support,confidence,lift,antecedent_support,consequent_support,antecedent_str,consequent_str
['coauthor'],"['leisure', 'work']",0.025495750708215296,0.42857142857142855,3.1517857142857135,0.059490084985835696,0.1359773371104816,coauthor,leisure+work
"['coauthor', 'lunch']",['leisure'],0.0226628895184136,0.6153846153846154,2.468531468531469,0.036827195467422094,0.24929178470254956,coauthor+lunch,leisure
['coauthor'],"['leisure', 'lunch']",0.0226628895184136,0.38095238095238093,2.2045277127244343,0.059490084985835696,0.17280453257790368,coauthor,leisure+lunch
"['work', 'coauthor']",['leisure'],0.025495750708215296,0.5,2.0056818181818183,0.05099150141643059,0.24929178470254956,coauthor+work,leisure
['coauthor'],['leisure'],0.028328611898016998,0.47619047619047616,1.9101731601731602,0.059490084985835696,0.24929178470254956,coauthor,leisure
['coauthor'],"['work', 'lunch']",0.031161473087818695,0.5238095238095237,1.8867832847424681,0.059490084985835696,0.2776203966005666,coauthor,lunch+work
"['leisure', 'work']","['facebook', 'lunch']",0.031161473087818695,0.22916666666666663,1.6853298611111107,0.1359773371104816,0.1359773371104816,leisure+work,facebook+lunch
"['facebook', 'lunch']","['leisure', 'work']",0.031161473087818695,0.22916666666666663,1.6853298611111107,0.1359773371104816,0.1359773371104816,facebook+lunch,leisure+work
"['leisure', 'coauthor']",['work'],0.025495750708215296,0.8999999999999999,1.6376288659793812,0.028328611898016998,0.5495750708215298,coauthor+leisure,work
"['work', 'lunch']",['leisure'],0.11331444759206799,0.40816326530612246,1.637291280148423,0.2776203966005666,0.24929178470254956,lunch+work,leisure
['leisure'],"['work', 'lunch']",0.11331444759206799,0.4545454545454546,1.637291280148423,0.24929178470254956,0.2776203966005666,leisure,lunch+work
"['work', 'facebook', 'lunch']",['leisure'],0.031161473087818695,0.4074074074074074,1.634259259259259,0.0764872521246459,0.24929178470254956,facebook+lunch+work,leisure
['coauthor'],['work'],0.05099150141643059,0.8571428571428571,1.5596465390279821,0.059490084985835696,0.5495750708215298,coauthor,work
"['coauthor', 'lunch']",['work'],0.031161473087818695,0.8461538461538461,1.5396510705789057,0.036827195467422094,0.5495750708215298,coauthor+lunch,work
['lunch'],"['leisure', 'work']",0.11331444759206799,0.2072538860103627,1.5241796200345423,0.546742209631728,0.1359773371104816,lunch,leisure+work
"['leisure', 'work']",['lunch'],0.11331444759206799,0.8333333333333333,1.5241796200345423,0.1359773371104816,0.546742209631728,leisure+work,lunch
"['leisure', 'coauthor']",['lunch'],0.0226628895184136,0.8,1.4632124352331608,0.028328611898016998,0.546742209631728,coauthor+leisure,lunch
"['leisure', 'work', 'facebook']",['lunch'],0.031161473087818695,0.7857142857142857,1.4370836417468542,0.039660056657223795,0.546742209631728,facebook+leisure+work,lunch
"['facebook', 'lunch']",['leisure'],0.04815864022662889,0.35416666666666663,1.4206912878787876,0.1359773371104816,0.24929178470254956,facebook+lunch,leisure
"['leisure', 'facebook']","['work', 'lunch']",0.031161473087818695,0.37931034482758613,1.366291344123856,0.0821529745042493,0.2776203966005666,facebook+leisure,lunch+work
"['work', 'facebook']","['leisure', 'lunch']",0.031161473087818695,0.21999999999999997,1.2731147540983605,0.141643059490085,0.17280453257790368,facebook+work,leisure+lunch
['leisure'],['lunch'],0.17280453257790368,0.6931818181818182,1.2678403203014603,0.24929178470254956,0.546742209631728,leisure,lunch
['lunch'],['leisure'],0.17280453257790368,0.3160621761658031,1.2678403203014603,0.546742209631728,0.24929178470254956,lunch,leisure
['work'],"['leisure', 'lunch']",0.11331444759206799,0.20618556701030927,1.1931722156498226,0.5495750708215298,0.17280453257790368,work,leisure+lunch
"['leisure', 'lunch']",['work'],0.11331444759206799,0.6557377049180328,1.1931722156498226,0.17280453257790368,0.5495750708215298,leisure+lunch,work
"['leisure', 'facebook', 'lunch']",['work'],0.031161473087818695,0.6470588235294118,1.1773802304426924,0.04815864022662889,0.5495750708215298,facebook+leisure+lunch,work
['coauthor'],['lunch'],0.036827195467422094,0.619047619047619,1.1322477177399457,0.059490084985835696,0.546742209631728,coauthor,lunch
"['work', 'facebook']",['leisure'],0.039660056657223795,0.27999999999999997,1.1231818181818183,0.141643059490085,0.24929178470254956,facebook+work,leisure
"['work', 'coauthor']",['lunch'],0.031161473087818695,0.611111111111111,1.1177317213586644,0.05099150141643059,0.546742209631728,coauthor+work,lunch
