layer,method,baseline_f1,baseline_precision,baseline_recall,baseline_threshold,enhanced_f1,enhanced_precision,enhanced_recall,enhanced_threshold,improvement_f1,improvement_precision,improvement_recall,improvement_pct
coauthor,Common Neighbors,0.6502564102564102,0.49722222222222223,1.0,0.0,0.6502564102564102,0.49722222222222223,1.0,0.0,0.0,0.0,0.0,0.0
coauthor,Jaccard,0.6502564102564102,0.49722222222222223,1.0,0.0,0.6502564102564102,0.49722222222222223,1.0,0.0,0.0,0.0,0.0,0.0
coauthor,Adamic-Adar,0.6502564102564102,0.49722222222222223,1.0,0.0,0.6502564102564102,0.49722222222222223,1.0,0.0,0.0,0.0,0.0,0.0
coauthor,Preferential Attachment,0.8973737373737374,0.82,1.0,0.05,0.6502564102564102,0.49722222222222223,1.0,0.0,-0.24711732711732715,-0.3227777777777777,0.0,-27.53783811558886
coauthor,Resource Allocation,0.6502564102564102,0.49722222222222223,1.0,0.0,0.6502564102564102,0.49722222222222223,1.0,0.0,0.0,0.0,0.0,0.0
coauthor,Cosine Similarity,0.6502564102564102,0.49722222222222223,1.0,0.0,0.6502564102564102,0.49722222222222223,1.0,0.0,0.0,0.0,0.0,0.0
coauthor,Sorensen Index,0.6502564102564102,0.49722222222222223,1.0,0.0,0.6502564102564102,0.49722222222222223,1.0,0.0,0.0,0.0,0.0,0.0
coauthor,CAR-based CN,0.6502564102564102,0.49722222222222223,1.0,0.0,0.6502564102564102,0.49722222222222223,1.0,0.0,0.0,0.0,0.0,0.0
facebook,Cosine Similarity,0.8867169843096974,0.8351579567359178,0.9532051282051281,0.05,0.9225908812162181,0.895231527093596,0.9608974358974359,0.05,0.035873896906520764,0.06007357035767824,0.007692307692307776,4.045698631836022
facebook,Resource Allocation,0.9112339181286551,0.8801894879314235,0.9532051282051281,0.05,0.908053380503395,0.8775952380952381,0.9448717948717948,0.05,-0.0031805376252600492,-0.0025942498361853916,-0.008333333333333304,-0.3490363518779774
facebook,Jaccard,0.9094032619123761,0.8750160758781448,0.9532051282051281,0.05,0.9059507050853342,0.8584191841611197,0.9608974358974359,0.05,-0.0034525568270419305,-0.016596891717025053,0.007692307692307776,-0.37965080743188984
facebook,Sorensen Index,0.8930719396459217,0.8456708281803799,0.9532051282051281,0.05,0.9055201954995835,0.858074074074074,0.9608974358974359,0.05,0.012448255853661827,0.012403245893694126,0.007692307692307776,1.3938693289594728
