network,method,k,time_step,total_active,newly_active,simulation_id
Facebook Penn94,highest_degree,2,0,2,2,0
Facebook Penn94,highest_degree,2,1,415,413,0
Facebook Penn94,highest_degree,2,2,2703,2288,0
Facebook Penn94,highest_degree,2,3,12297,9594,0
Facebook Penn94,highest_degree,2,4,24462,12165,0
Facebook Penn94,highest_degree,2,5,29644,5182,0
Facebook Penn94,highest_degree,2,6,30923,1279,0
Facebook Penn94,highest_degree,2,7,31161,238,0
Facebook Penn94,highest_degree,2,8,31196,35,0
Facebook Penn94,highest_degree,2,9,31201,5,0
Facebook Penn94,highest_degree,2,10,31203,2,0
Facebook Penn94,highest_degree,2,11,31205,2,0
Facebook Penn94,highest_degree,2,12,31206,1,0
Facebook Penn94,highest_degree,2,13,31207,1,0
Facebook Penn94,highest_degree,4,0,4,4,0
Facebook Penn94,highest_degree,4,1,707,703,0
Facebook Penn94,highest_degree,4,2,4053,3346,0
Facebook Penn94,highest_degree,4,3,15085,11032,0
Facebook Penn94,highest_degree,4,4,26122,11037,0
Facebook Penn94,highest_degree,4,5,30116,3994,0
Facebook Penn94,highest_degree,4,6,31090,974,0
Facebook Penn94,highest_degree,4,7,31294,204,0
Facebook Penn94,highest_degree,4,8,31330,36,0
Facebook Penn94,highest_degree,4,9,31335,5,0
Facebook Penn94,highest_degree,10,0,10,10,0
Facebook Penn94,highest_degree,10,1,1350,1340,0
Facebook Penn94,highest_degree,10,2,7056,5706,0
Facebook Penn94,highest_degree,10,3,19729,12673,0
Facebook Penn94,highest_degree,10,4,28133,8404,0
Facebook Penn94,highest_degree,10,5,30559,2426,0
Facebook Penn94,highest_degree,10,6,31117,558,0
Facebook Penn94,highest_degree,10,7,31222,105,0
Facebook Penn94,highest_degree,10,8,31243,21,0
Facebook Penn94,highest_degree,10,9,31244,1,0
Facebook Penn94,distance_greedy,2,0,2,2,0
Facebook Penn94,distance_greedy,2,1,360,358,0
Facebook Penn94,distance_greedy,2,2,2397,2037,0
Facebook Penn94,distance_greedy,2,3,11200,8803,0
Facebook Penn94,distance_greedy,2,4,23695,12495,0
Facebook Penn94,distance_greedy,2,5,29378,5683,0
Facebook Penn94,distance_greedy,2,6,30847,1469,0
Facebook Penn94,distance_greedy,2,7,31137,290,0
Facebook Penn94,distance_greedy,2,8,31202,65,0
Facebook Penn94,distance_greedy,2,9,31217,15,0
Facebook Penn94,distance_greedy,2,10,31219,2,0
Facebook Penn94,distance_greedy,4,0,4,4,0
Facebook Penn94,distance_greedy,4,1,522,518,0
Facebook Penn94,distance_greedy,4,2,3337,2815,0
Facebook Penn94,distance_greedy,4,3,13821,10484,0
Facebook Penn94,distance_greedy,4,4,25331,11510,0
Facebook Penn94,distance_greedy,4,5,29858,4527,0
Facebook Penn94,distance_greedy,4,6,30971,1113,0
Facebook Penn94,distance_greedy,4,7,31186,215,0
Facebook Penn94,distance_greedy,4,8,31224,38,0
Facebook Penn94,distance_greedy,4,9,31228,4,0
Facebook Penn94,distance_greedy,4,10,31229,1,0
Facebook Penn94,distance_greedy,10,0,10,10,0
Facebook Penn94,distance_greedy,10,1,713,703,0
Facebook Penn94,distance_greedy,10,2,4477,3764,0
Facebook Penn94,distance_greedy,10,3,16002,11525,0
Facebook Penn94,distance_greedy,10,4,26374,10372,0
Facebook Penn94,distance_greedy,10,5,30146,3772,0
Facebook Penn94,distance_greedy,10,6,31041,895,0
Facebook Penn94,distance_greedy,10,7,31222,181,0
Facebook Penn94,distance_greedy,10,8,31256,34,0
Facebook Penn94,distance_greedy,10,9,31262,6,0
Facebook Penn94,distance_greedy,10,10,31263,1,0
Facebook Penn94,distance_greedy,10,11,31264,1,0
