network,method,k,p,simulation_id,final_active_count,total_steps
Facebook Penn94,highest_degree,2,0.05,0,31207,13
Facebook Penn94,highest_degree,2,0.05,1,31195,11
Facebook Penn94,highest_degree,2,0.05,2,31135,10
Facebook Penn94,highest_degree,2,0.05,3,31290,12
Facebook Penn94,highest_degree,2,0.05,4,31145,13
Facebook Penn94,highest_degree,2,0.05,5,31282,9
Facebook Penn94,highest_degree,2,0.05,6,31193,9
Facebook Penn94,highest_degree,2,0.05,7,31363,11
Facebook Penn94,highest_degree,2,0.05,8,31157,9
Facebook Penn94,highest_degree,2,0.05,9,31170,12
Facebook Penn94,highest_degree,2,0.05,10,31286,10
Facebook Penn94,highest_degree,2,0.05,11,31280,10
Facebook Penn94,highest_degree,2,0.05,12,31230,10
Facebook Penn94,highest_degree,2,0.05,13,31318,12
Facebook Penn94,highest_degree,2,0.05,14,31368,9
Facebook Penn94,highest_degree,2,0.05,15,31161,10
Facebook Penn94,highest_degree,2,0.05,16,31243,10
Facebook Penn94,highest_degree,2,0.05,17,31267,14
Facebook Penn94,highest_degree,2,0.05,18,31253,10
Facebook Penn94,highest_degree,2,0.05,19,31186,10
Facebook Penn94,highest_degree,2,0.05,20,31316,10
Facebook Penn94,highest_degree,2,0.05,21,31330,10
Facebook Penn94,highest_degree,2,0.05,22,31378,10
Facebook Penn94,highest_degree,2,0.05,23,31442,12
Facebook Penn94,highest_degree,2,0.05,24,31267,10
Facebook Penn94,highest_degree,2,0.05,25,31212,10
Facebook Penn94,highest_degree,2,0.05,26,31369,10
Facebook Penn94,highest_degree,2,0.05,27,31051,10
Facebook Penn94,highest_degree,2,0.05,28,31324,9
Facebook Penn94,highest_degree,2,0.05,29,31205,11
Facebook Penn94,highest_degree,2,0.05,30,31187,10
Facebook Penn94,highest_degree,2,0.05,31,31333,10
Facebook Penn94,highest_degree,2,0.05,32,31331,10
Facebook Penn94,highest_degree,2,0.05,33,31348,10
Facebook Penn94,highest_degree,2,0.05,34,31248,10
Facebook Penn94,highest_degree,2,0.05,35,31230,10
Facebook Penn94,highest_degree,2,0.05,36,31158,11
Facebook Penn94,highest_degree,2,0.05,37,31333,11
Facebook Penn94,highest_degree,2,0.05,38,31214,12
Facebook Penn94,highest_degree,2,0.05,39,31283,10
Facebook Penn94,highest_degree,2,0.05,40,31162,11
Facebook Penn94,highest_degree,2,0.05,41,31246,10
Facebook Penn94,highest_degree,2,0.05,42,31283,10
Facebook Penn94,highest_degree,2,0.05,43,31197,11
Facebook Penn94,highest_degree,2,0.05,44,31335,10
Facebook Penn94,highest_degree,2,0.05,45,31300,11
Facebook Penn94,highest_degree,2,0.05,46,31358,10
Facebook Penn94,highest_degree,2,0.05,47,31206,9
Facebook Penn94,highest_degree,2,0.05,48,31266,11
Facebook Penn94,highest_degree,2,0.05,49,31235,9
Facebook Penn94,highest_degree,2,0.05,50,31134,11
Facebook Penn94,highest_degree,2,0.05,51,31234,11
Facebook Penn94,highest_degree,2,0.05,52,31433,9
Facebook Penn94,highest_degree,2,0.05,53,31442,10
Facebook Penn94,highest_degree,2,0.05,54,31278,11
Facebook Penn94,highest_degree,2,0.05,55,31401,13
Facebook Penn94,highest_degree,2,0.05,56,31401,10
Facebook Penn94,highest_degree,2,0.05,57,31383,11
Facebook Penn94,highest_degree,2,0.05,58,31287,9
Facebook Penn94,highest_degree,2,0.05,59,31329,10
Facebook Penn94,highest_degree,2,0.05,60,31305,9
Facebook Penn94,highest_degree,2,0.05,61,31167,12
Facebook Penn94,highest_degree,2,0.05,62,31303,10
Facebook Penn94,highest_degree,2,0.05,63,31364,11
Facebook Penn94,highest_degree,2,0.05,64,31311,11
Facebook Penn94,highest_degree,2,0.05,65,31317,12
Facebook Penn94,highest_degree,2,0.05,66,31214,10
Facebook Penn94,highest_degree,2,0.05,67,31412,10
Facebook Penn94,highest_degree,2,0.05,68,31313,12
Facebook Penn94,highest_degree,2,0.05,69,31330,12
Facebook Penn94,highest_degree,2,0.05,70,31189,11
Facebook Penn94,highest_degree,2,0.05,71,31248,11
Facebook Penn94,highest_degree,2,0.05,72,31337,10
Facebook Penn94,highest_degree,2,0.05,73,31308,10
Facebook Penn94,highest_degree,2,0.05,74,31293,10
Facebook Penn94,highest_degree,2,0.05,75,31399,10
Facebook Penn94,highest_degree,2,0.05,76,31406,10
Facebook Penn94,highest_degree,2,0.05,77,31244,10
Facebook Penn94,highest_degree,2,0.05,78,31284,10
Facebook Penn94,highest_degree,2,0.05,79,31332,11
Facebook Penn94,highest_degree,2,0.05,80,31346,11
Facebook Penn94,highest_degree,2,0.05,81,31337,10
Facebook Penn94,highest_degree,2,0.05,82,31440,10
Facebook Penn94,highest_degree,2,0.05,83,31238,11
Facebook Penn94,highest_degree,2,0.05,84,31323,10
Facebook Penn94,highest_degree,2,0.05,85,31294,10
Facebook Penn94,highest_degree,2,0.05,86,31207,11
Facebook Penn94,highest_degree,2,0.05,87,31418,10
Facebook Penn94,highest_degree,2,0.05,88,31332,9
Facebook Penn94,highest_degree,2,0.05,89,31303,11
Facebook Penn94,highest_degree,2,0.05,90,31223,10
Facebook Penn94,highest_degree,2,0.05,91,31253,10
Facebook Penn94,highest_degree,2,0.05,92,31303,10
Facebook Penn94,highest_degree,2,0.05,93,31316,10
Facebook Penn94,highest_degree,2,0.05,94,31314,10
Facebook Penn94,highest_degree,2,0.05,95,31375,12
Facebook Penn94,highest_degree,2,0.05,96,31232,11
Facebook Penn94,highest_degree,2,0.05,97,31296,9
Facebook Penn94,highest_degree,2,0.05,98,31201,11
Facebook Penn94,highest_degree,2,0.05,99,31173,10
Facebook Penn94,highest_degree,2,0.05,100,31258,11
Facebook Penn94,highest_degree,2,0.05,101,31268,10
Facebook Penn94,highest_degree,2,0.05,102,31294,9
Facebook Penn94,highest_degree,2,0.05,103,31238,12
Facebook Penn94,highest_degree,2,0.05,104,31222,12
Facebook Penn94,highest_degree,2,0.05,105,31461,10
Facebook Penn94,highest_degree,2,0.05,106,31226,10
