network,method,k,p,time_step,mean_newly_active,median_newly_active,q1_newly_active,q3_newly_active
Facebook Penn94,highest_degree,2,0.1,0,2.0,2.0,2.0,2.0
Facebook Penn94,highest_degree,2,0.1,1,803.921,803.0,786.0,822.0
Facebook Penn94,highest_degree,2,0.1,2,6934.001,6932.0,6753.25,7111.25
Facebook Penn94,highest_degree,2,0.1,3,19147.653,19146.0,19075.0,19222.0
Facebook Penn94,highest_degree,2,0.1,4,7861.994,7858.0,7683.0,8032.5
Facebook Penn94,highest_degree,2,0.1,5,1168.005,1163.0,1124.75,1211.25
Facebook Penn94,highest_degree,2,0.1,6,137.37,137.0,127.0,147.0
Facebook Penn94,highest_degree,2,0.1,7,17.538,17.0,14.0,21.0
Facebook Penn94,highest_degree,2,0.1,8,4.392,3.0,2.0,5.0
Facebook Penn94,highest_degree,2,0.1,9,3.5,2.0,1.0,3.0
Facebook Penn94,highest_degree,2,0.1,10,3.416,2.0,1.0,3.0
Facebook Penn94,highest_degree,2,0.1,11,3.413,2.0,1.0,3.0
Facebook Penn94,highest_degree,2,0.1,12,3.409,2.0,1.0,3.0
Facebook Penn94,highest_degree,2,0.1,13,3.408,2.0,1.0,3.0
Facebook Penn94,highest_degree,2,0.1,14,3.408,2.0,1.0,3.0
Facebook Penn94,highest_degree,4,0.1,0,4.0,4.0,4.0,4.0
Facebook Penn94,highest_degree,4,0.1,1,1340.809,1342.0,1319.0,1362.0
Facebook Penn94,highest_degree,4,0.1,2,10085.357,10080.5,9917.0,10245.5
Facebook Penn94,highest_degree,4,0.1,3,18273.929,18275.0,18192.75,18365.0
Facebook Penn94,highest_degree,4,0.1,4,5524.507,5526.5,5412.0,5631.25
Facebook Penn94,highest_degree,4,0.1,5,746.028,746.0,719.0,774.0
Facebook Penn94,highest_degree,4,0.1,6,87.069,87.0,80.0,94.0
Facebook Penn94,highest_degree,4,0.1,7,11.499,11.0,9.0,14.0
Facebook Penn94,highest_degree,4,0.1,8,3.813,2.0,1.0,5.0
Facebook Penn94,highest_degree,4,0.1,9,3.359,2.0,1.0,4.0
Facebook Penn94,highest_degree,4,0.1,10,3.346,2.0,1.0,4.0
Facebook Penn94,highest_degree,4,0.1,11,3.344,2.0,1.0,4.0
Facebook Penn94,highest_degree,4,0.1,12,3.341,2.0,1.0,4.0
Facebook Penn94,highest_degree,4,0.1,13,3.338,2.0,1.0,3.25
Facebook Penn94,highest_degree,10,0.1,0,10.0,10.0,10.0,10.0
Facebook Penn94,highest_degree,10,0.1,1,2438.391,2440.0,2410.75,2466.0
Facebook Penn94,highest_degree,10,0.1,2,14212.75,14215.0,14084.75,14333.0
Facebook Penn94,highest_degree,10,0.1,3,15478.384,15484.5,15381.75,15574.25
Facebook Penn94,highest_degree,10,0.1,4,3449.473,3453.0,3391.0,3512.0
Facebook Penn94,highest_degree,10,0.1,5,428.79,429.0,412.0,444.25
Facebook Penn94,highest_degree,10,0.1,6,51.366,51.0,46.0,57.0
Facebook Penn94,highest_degree,10,0.1,7,7.193,7.0,5.0,9.0
Facebook Penn94,highest_degree,10,0.1,8,3.5,3.0,1.0,5.0
Facebook Penn94,highest_degree,10,0.1,9,3.278,2.0,1.0,5.0
Facebook Penn94,highest_degree,10,0.1,10,3.271,2.0,1.0,5.0
Facebook Penn94,highest_degree,10,0.1,11,3.269,2.0,1.0,5.0
Facebook Penn94,highest_degree,10,0.1,12,3.269,2.0,1.0,5.0
