level,method,k,simulations,mean_final,std_final,min_final,max_final,median_final
overall,,,6000,36076.55583333333,52.888818167486164,35883.0,36258.0,36076.0
method,distance_greedy,,3000,36076.621333333336,54.051430421396695,35903.0,36244.0,36076.0
method,highest_degree,,3000,36076.490333333335,51.70900482780844,35883.0,36258.0,36077.0
k,,2.0,2000,36077.2565,51.1688169852092,35903.0,36244.0,36078.0
k,,4.0,2000,36074.872,53.81332133195635,35883.0,36247.0,36074.0
k,,10.0,2000,36077.539,53.62894284577477,35890.0,36258.0,36077.0
method_k,distance_greedy,2.0,1000,36078.426,52.64564643052726,35903.0,36244.0,36079.0
method_k,distance_greedy,4.0,1000,36074.216,54.17640101027777,35905.0,36229.0,36073.0
method_k,distance_greedy,10.0,1000,36077.222,55.267179927848474,35907.0,36223.0,36078.5
method_k,highest_degree,2.0,1000,36076.087,49.646895625459265,35926.0,36234.0,36076.0
method_k,highest_degree,4.0,1000,36075.528,53.46683007171753,35883.0,36247.0,36076.0
method_k,highest_degree,10.0,1000,36077.856,51.964830487625065,35890.0,36258.0,36077.0
