network,method,k,p,time_step,mean_active,median_active,q1_active,q3_active
Facebook Penn94,highest_degree,2,0.1,0,2.0,2.0,2.0,2.0
Facebook Penn94,highest_degree,2,0.1,1,805.921,805.0,788.0,824.0
Facebook Penn94,highest_degree,2,0.1,2,7739.922,7739.0,7547.0,7925.25
Facebook Penn94,highest_degree,2,0.1,3,26887.575,26884.0,26688.25,27108.25
Facebook Penn94,highest_degree,2,0.1,4,34749.569,34752.0,34696.0,34807.0
Facebook Penn94,highest_degree,2,0.1,5,35917.574,35917.0,35883.0,35952.25
Facebook Penn94,highest_degree,2,0.1,6,36054.944,36054.5,36021.0,36089.25
Facebook Penn94,highest_degree,2,0.1,7,36072.482,36072.5,36037.0,36107.0
Facebook Penn94,highest_degree,2,0.1,8,36075.241,36075.0,36040.0,36110.0
Facebook Penn94,highest_degree,2,0.1,9,36075.84,36076.0,36041.0,36111.0
Facebook Penn94,highest_degree,2,0.1,10,36076.002,36076.0,36041.0,36111.0
Facebook Penn94,highest_degree,2,0.1,11,36076.062,36076.0,36041.75,36111.0
Facebook Penn94,highest_degree,2,0.1,12,36076.081,36076.0,36041.75,36111.0
Facebook Penn94,highest_degree,2,0.1,13,36076.085,36076.0,36041.75,36111.0
Facebook Penn94,highest_degree,2,0.1,14,36076.087,36076.0,36041.75,36111.0
Facebook Penn94,highest_degree,4,0.1,0,4.0,4.0,4.0,4.0
Facebook Penn94,highest_degree,4,0.1,1,1344.809,1346.0,1323.0,1366.0
Facebook Penn94,highest_degree,4,0.1,2,11430.166,11425.0,11245.5,11605.75
Facebook Penn94,highest_degree,4,0.1,3,29704.095,29699.5,29575.75,29833.0
Facebook Penn94,highest_degree,4,0.1,4,35228.602,35229.0,35183.0,35272.0
Facebook Penn94,highest_degree,4,0.1,5,35974.63,35974.0,35936.0,36012.0
Facebook Penn94,highest_degree,4,0.1,6,36061.699,36062.0,36023.75,36098.0
Facebook Penn94,highest_degree,4,0.1,7,36073.198,36074.0,36034.75,36111.0
Facebook Penn94,highest_degree,4,0.1,8,36075.032,36076.0,36036.75,36112.0
Facebook Penn94,highest_degree,4,0.1,9,36075.396,36076.0,36037.0,36112.25
Facebook Penn94,highest_degree,4,0.1,10,36075.485,36076.0,36037.0,36113.0
Facebook Penn94,highest_degree,4,0.1,11,36075.514,36076.0,36037.0,36113.0
Facebook Penn94,highest_degree,4,0.1,12,36075.526,36076.0,36037.0,36113.0
Facebook Penn94,highest_degree,4,0.1,13,36075.528,36076.0,36037.0,36113.0
Facebook Penn94,highest_degree,10,0.1,0,10.0,10.0,10.0,10.0
Facebook Penn94,highest_degree,10,0.1,1,2448.391,2450.0,2420.75,2476.0
Facebook Penn94,highest_degree,10,0.1,2,16661.141,16660.5,16506.75,16798.25
