network,method,k,seed_rank,node_id,degree
Facebook Penn94,highest_degree,2,1,10564,4410
Facebook Penn94,highest_degree,2,2,38640,3777
Facebook Penn94,highest_degree,4,1,10564,4410
Facebook Penn94,highest_degree,4,2,38640,3777
Facebook Penn94,highest_degree,4,3,7109,3240
Facebook Penn94,highest_degree,4,4,22556,2613
Facebook Penn94,highest_degree,10,1,10564,4410
Facebook Penn94,highest_degree,10,2,38640,3777
Facebook Penn94,highest_degree,10,3,7109,3240
Facebook Penn94,highest_degree,10,4,22556,2613
Facebook Penn94,highest_degree,10,5,7732,2582
Facebook Penn94,highest_degree,10,6,853,2543
Facebook Penn94,highest_degree,10,7,25809,2298
Facebook Penn94,highest_degree,10,8,10793,2249
Facebook Penn94,highest_degree,10,9,25940,1946
Facebook Penn94,highest_degree,10,10,17028,1831
Facebook Penn94,distance_greedy,2,1,10564,4410
Facebook Penn94,distance_greedy,2,2,853,2543
Facebook Penn94,distance_greedy,4,1,10564,4410
Facebook Penn94,distance_greedy,4,2,853,2543
Facebook Penn94,distance_greedy,4,3,19227,1623
Facebook Penn94,distance_greedy,4,4,8017,1370
Facebook Penn94,distance_greedy,10,1,10564,4410
Facebook Penn94,distance_greedy,10,2,853,2543
Facebook Penn94,distance_greedy,10,3,19227,1623
Facebook Penn94,distance_greedy,10,4,8017,1370
Facebook Penn94,distance_greedy,10,5,30787,860
Facebook Penn94,distance_greedy,10,6,29897,852
Facebook Penn94,distance_greedy,10,7,8320,600
Facebook Penn94,distance_greedy,10,8,33521,527
Facebook Penn94,distance_greedy,10,9,32768,517
Facebook Penn94,distance_greedy,10,10,34468,514
