network,model,time_step,node_id,state
Karate Club,ic,0,1,Active
Karate Club,ic,0,2,Inactive
Karate Club,ic,0,3,Inactive
Karate Club,ic,0,4,Inactive
Karate Club,ic,0,5,Inactive
Karate Club,ic,0,6,Inactive
Karate Club,ic,0,7,Inactive
Karate Club,ic,0,8,Inactive
Karate Club,ic,0,9,Inactive
Karate Club,ic,0,10,Inactive
Karate Club,ic,0,11,Inactive
Karate Club,ic,0,12,Inactive
Karate Club,ic,0,13,Inactive
Karate Club,ic,0,14,Inactive
Karate Club,ic,0,15,Inactive
Karate Club,ic,0,16,Inactive
Karate Club,ic,0,17,Inactive
Karate Club,ic,0,18,Inactive
Karate Club,ic,0,19,Inactive
Karate Club,ic,0,20,Inactive
Karate Club,ic,0,21,Inactive
Karate Club,ic,0,22,Inactive
Karate Club,ic,0,23,Inactive
Karate Club,ic,0,24,Inactive
Karate Club,ic,0,25,Inactive
Karate Club,ic,0,26,Inactive
Karate Club,ic,0,27,Inactive
Karate Club,ic,0,28,Inactive
Karate Club,ic,0,29,Inactive
Karate Club,ic,0,30,Inactive
Karate Club,ic,0,31,Inactive
Karate Club,ic,0,32,Inactive
Karate Club,ic,0,33,Inactive
Karate Club,ic,0,34,Active
Karate Club,ic,1,1,Active
Karate Club,ic,1,2,Inactive
Karate Club,ic,1,3,Inactive
Karate Club,ic,1,4,Inactive
Karate Club,ic,1,5,Inactive
Karate Club,ic,1,6,Inactive
Karate Club,ic,1,7,Inactive
Karate Club,ic,1,8,Inactive
Karate Club,ic,1,9,Inactive
Karate Club,ic,1,10,Inactive
Karate Club,ic,1,11,Inactive
Karate Club,ic,1,12,Inactive
Karate Club,ic,1,13,Inactive
Karate Club,ic,1,14,Inactive
Karate Club,ic,1,15,Inactive
Karate Club,ic,1,16,Inactive
Karate Club,ic,1,17,Inactive
Karate Club,ic,1,18,Inactive
Karate Club,ic,1,19,Active
Karate Club,ic,1,20,Active
Karate Club,ic,1,21,Inactive
Karate Club,ic,1,22,Inactive
Karate Club,ic,1,23,Inactive
Karate Club,ic,1,24,Inactive
Karate Club,ic,1,25,Inactive
Karate Club,ic,1,26,Inactive
Karate Club,ic,1,27,Inactive
Karate Club,ic,1,28,Active
Karate Club,ic,1,29,Inactive
Karate Club,ic,1,30,Active
Karate Club,ic,1,31,Inactive
Karate Club,ic,1,32,Inactive
Karate Club,ic,1,33,Inactive
Karate Club,ic,1,34,Active
Karate Club,ic,2,1,Active
Karate Club,ic,2,2,Active
Karate Club,ic,2,3,Inactive
Karate Club,ic,2,4,Inactive
Karate Club,ic,2,5,Inactive
Karate Club,ic,2,6,Inactive
Karate Club,ic,2,7,Inactive
Karate Club,ic,2,8,Inactive
Karate Club,ic,2,9,Inactive
Karate Club,ic,2,10,Inactive
Karate Club,ic,2,11,Inactive
Karate Club,ic,2,12,Inactive
Karate Club,ic,2,13,Inactive
Karate Club,ic,2,14,Inactive
Karate Club,ic,2,15,Inactive
Karate Club,ic,2,16,Inactive
Karate Club,ic,2,17,Inactive
Karate Club,ic,2,18,Inactive
Karate Club,ic,2,19,Active
Karate Club,ic,2,20,Active
Karate Club,ic,2,21,Inactive
Karate Club,ic,2,22,Inactive
Karate Club,ic,2,23,Inactive
Karate Club,ic,2,24,Inactive
Karate Club,ic,2,25,Inactive
Karate Club,ic,2,26,Inactive
Karate Club,ic,2,27,Inactive
Karate Club,ic,2,28,Active
Karate Club,ic,2,29,Inactive
Karate Club,ic,2,30,Active
Karate Club,ic,2,31,Inactive
Karate Club,ic,2,32,Inactive
Karate Club,ic,2,33,Inactive
Karate Club,ic,2,34,Active
Karate Club,ic,3,1,Active
Karate Club,ic,3,2,Active
Karate Club,ic,3,3,Active
Karate Club,ic,3,4,Inactive
Karate Club,ic,3,5,Inactive
Karate Club,ic,3,6,Inactive
Karate Club,ic,3,7,Inactive
Karate Club,ic,3,8,Inactive
Karate Club,ic,3,9,Inactive
Karate Club,ic,3,10,Inactive
Karate Club,ic,3,11,Inactive
Karate Club,ic,3,12,Inactive
Karate Club,ic,3,13,Inactive
Karate Club,ic,3,14,Inactive
Karate Club,ic,3,15,Inactive
Karate Club,ic,3,16,Inactive
Karate Club,ic,3,17,Inactive
Karate Club,ic,3,18,Inactive
Karate Club,ic,3,19,Active
Karate Club,ic,3,20,Active
Karate Club,ic,3,21,Inactive
Karate Club,ic,3,22,Inactive
Karate Club,ic,3,23,Inactive
Karate Club,ic,3,24,Inactive
Karate Club,ic,3,25,Inactive
Karate Club,ic,3,26,Inactive
Karate Club,ic,3,27,Inactive
Karate Club,ic,3,28,Active
Karate Club,ic,3,29,Inactive
Karate Club,ic,3,30,Active
Karate Club,ic,3,31,Active
Karate Club,ic,3,32,Inactive
Karate Club,ic,3,33,Inactive
Karate Club,ic,3,34,Active
Karate Club,ic,4,1,Active
Karate Club,ic,4,2,Active
Karate Club,ic,4,3,Active
Karate Club,ic,4,4,Active
Karate Club,ic,4,5,Inactive
Karate Club,ic,4,6,Inactive
Karate Club,ic,4,7,Inactive
Karate Club,ic,4,8,Inactive
Karate Club,ic,4,9,Inactive
Karate Club,ic,4,10,Inactive
Karate Club,ic,4,11,Inactive
Karate Club,ic,4,12,Inactive
Karate Club,ic,4,13,Inactive
Karate Club,ic,4,14,Active
Karate Club,ic,4,15,Inactive
Karate Club,ic,4,16,Inactive
Karate Club,ic,4,17,Inactive
Karate Club,ic,4,18,Inactive
Karate Club,ic,4,19,Active
Karate Club,ic,4,20,Active
Karate Club,ic,4,21,Inactive
