network,model,time_step,node_id,state
Karate Club,si,0,1,I
Karate Club,si,0,2,S
Karate Club,si,0,3,S
Karate Club,si,0,4,S
Karate Club,si,0,5,S
Karate Club,si,0,6,S
Karate Club,si,0,7,S
Karate Club,si,0,8,S
Karate Club,si,0,9,S
Karate Club,si,0,10,S
Karate Club,si,0,11,S
Karate Club,si,0,12,S
Karate Club,si,0,13,S
Karate Club,si,0,14,S
Karate Club,si,0,17,S
Karate Club,si,0,18,S
Karate Club,si,0,20,S
Karate Club,si,0,22,S
Karate Club,si,0,24,S
Karate Club,si,0,26,S
Karate Club,si,0,25,S
Karate Club,si,0,28,S
Karate Club,si,0,29,S
Karate Club,si,0,30,S
Karate Club,si,0,27,S
Karate Club,si,0,31,S
Karate Club,si,0,32,S
Karate Club,si,0,33,S
Karate Club,si,0,15,S
Karate Club,si,0,16,S
Karate Club,si,0,19,S
Karate Club,si,0,21,S
Karate Club,si,0,23,S
Karate Club,si,0,34,I
Karate Club,si,1,1,I
Karate Club,si,1,2,S
Karate Club,si,1,3,S
Karate Club,si,1,4,I
Karate Club,si,1,5,I
Karate Club,si,1,6,I
Karate Club,si,1,7,S
Karate Club,si,1,8,S
Karate Club,si,1,9,I
Karate Club,si,1,10,I
Karate Club,si,1,11,I
Karate Club,si,1,12,I
Karate Club,si,1,13,S
Karate Club,si,1,14,I
Karate Club,si,1,17,S
Karate Club,si,1,18,I
Karate Club,si,1,20,I
Karate Club,si,1,22,I
Karate Club,si,1,24,S
Karate Club,si,1,26,S
Karate Club,si,1,25,S
Karate Club,si,1,28,S
Karate Club,si,1,29,I
Karate Club,si,1,30,I
Karate Club,si,1,27,S
Karate Club,si,1,31,I
Karate Club,si,1,32,S
Karate Club,si,1,33,S
Karate Club,si,1,15,S
Karate Club,si,1,16,S
Karate Club,si,1,19,S
Karate Club,si,1,21,S
Karate Club,si,1,23,I
Karate Club,si,1,34,I
Karate Club,si,2,1,I
Karate Club,si,2,2,I
Karate Club,si,2,3,I
Karate Club,si,2,4,I
Karate Club,si,2,5,I
Karate Club,si,2,6,I
Karate Club,si,2,7,I
Karate Club,si,2,8,I
Karate Club,si,2,9,I
Karate Club,si,2,10,I
Karate Club,si,2,11,I
Karate Club,si,2,12,I
Karate Club,si,2,13,S
Karate Club,si,2,14,I
Karate Club,si,2,17,S
Karate Club,si,2,18,I
Karate Club,si,2,20,I
Karate Club,si,2,22,I
Karate Club,si,2,24,I
Karate Club,si,2,26,S
Karate Club,si,2,25,S
Karate Club,si,2,28,S
Karate Club,si,2,29,I
Karate Club,si,2,30,I
Karate Club,si,2,27,I
Karate Club,si,2,31,I
Karate Club,si,2,32,I
Karate Club,si,2,33,I
Karate Club,si,2,15,I
Karate Club,si,2,16,S
Karate Club,si,2,19,I
Karate Club,si,2,21,I
Karate Club,si,2,23,I
Karate Club,si,2,34,I
Karate Club,si,3,1,I
Karate Club,si,3,2,I
Karate Club,si,3,3,I
Karate Club,si,3,4,I
Karate Club,si,3,5,I
Karate Club,si,3,6,I
Karate Club,si,3,7,I
Karate Club,si,3,8,I
Karate Club,si,3,9,I
Karate Club,si,3,10,I
Karate Club,si,3,11,I
Karate Club,si,3,12,I
Karate Club,si,3,13,I
Karate Club,si,3,14,I
Karate Club,si,3,17,I
Karate Club,si,3,18,I
Karate Club,si,3,20,I
Karate Club,si,3,22,I
Karate Club,si,3,24,I
Karate Club,si,3,26,I
Karate Club,si,3,25,S
Karate Club,si,3,28,I
Karate Club,si,3,29,I
Karate Club,si,3,30,I
Karate Club,si,3,27,I
Karate Club,si,3,31,I
Karate Club,si,3,32,I
Karate Club,si,3,33,I
Karate Club,si,3,15,I
Karate Club,si,3,16,I
Karate Club,si,3,19,I
Karate Club,si,3,21,I
Karate Club,si,3,23,I
Karate Club,si,3,34,I
Karate Club,si,4,1,I
Karate Club,si,4,2,I
Karate Club,si,4,3,I
Karate Club,si,4,4,I
Karate Club,si,4,5,I
Karate Club,si,4,6,I
Karate Club,si,4,7,I
Karate Club,si,4,8,I
Karate Club,si,4,9,I
Karate Club,si,4,10,I
Karate Club,si,4,11,I
Karate Club,si,4,12,I
Karate Club,si,4,13,I
Karate Club,si,4,14,I
Karate Club,si,4,17,I
Karate Club,si,4,18,I
Karate Club,si,4,20,I
Karate Club,si,4,22,I
Karate Club,si,4,24,I
Karate Club,si,4,26,I
Karate Club,si,4,25,I
Karate Club,si,4,28,I
Karate Club,si,4,29,I
Karate Club,si,4,30,I
Karate Club,si,4,27,I
Karate Club,si,4,31,I
Karate Club,si,4,32,I
Karate Club,si,4,33,I
Karate Club,si,4,15,I
Karate Club,si,4,16,I
Karate Club,si,4,19,I
Karate Club,si,4,21,I
Karate Club,si,4,23,I
Karate Club,si,4,34,I
