network,model,time_step,node_id,state
Karate Club,sir,0,1,I
Karate Club,sir,0,2,S
Karate Club,sir,0,3,S
Karate Club,sir,0,4,S
Karate Club,sir,0,5,S
Karate Club,sir,0,6,S
Karate Club,sir,0,7,S
Karate Club,sir,0,8,S
Karate Club,sir,0,9,S
Karate Club,sir,0,10,S
Karate Club,sir,0,11,S
Karate Club,sir,0,12,S
Karate Club,sir,0,13,S
Karate Club,sir,0,14,S
Karate Club,sir,0,17,S
Karate Club,sir,0,18,S
Karate Club,sir,0,20,S
Karate Club,sir,0,22,S
Karate Club,sir,0,24,S
Karate Club,sir,0,26,S
Karate Club,sir,0,25,S
Karate Club,sir,0,28,S
Karate Club,sir,0,29,S
Karate Club,sir,0,30,S
Karate Club,sir,0,27,S
Karate Club,sir,0,31,S
Karate Club,sir,0,32,S
Karate Club,sir,0,33,S
Karate Club,sir,0,15,S
Karate Club,sir,0,16,S
Karate Club,sir,0,19,S
Karate Club,sir,0,21,S
Karate Club,sir,0,23,S
Karate Club,sir,0,34,I
Karate Club,sir,1,1,R
Karate Club,sir,1,2,I
Karate Club,sir,1,3,S
Karate Club,sir,1,4,S
Karate Club,sir,1,5,S
Karate Club,sir,1,6,I
Karate Club,sir,1,7,I
Karate Club,sir,1,8,S
Karate Club,sir,1,9,S
Karate Club,sir,1,10,I
Karate Club,sir,1,11,S
Karate Club,sir,1,12,S
Karate Club,sir,1,13,S
Karate Club,sir,1,14,S
Karate Club,sir,1,17,S
Karate Club,sir,1,18,S
Karate Club,sir,1,20,I
Karate Club,sir,1,22,I
Karate Club,sir,1,24,S
Karate Club,sir,1,26,S
Karate Club,sir,1,25,S
Karate Club,sir,1,28,S
Karate Club,sir,1,29,I
Karate Club,sir,1,30,I
Karate Club,sir,1,27,S
Karate Club,sir,1,31,S
Karate Club,sir,1,32,I
Karate Club,sir,1,33,S
Karate Club,sir,1,15,S
Karate Club,sir,1,16,S
Karate Club,sir,1,19,I
Karate Club,sir,1,21,S
Karate Club,sir,1,23,S
Karate Club,sir,1,34,I
Karate Club,sir,2,1,R
Karate Club,sir,2,2,I
Karate Club,sir,2,3,S
Karate Club,sir,2,4,S
Karate Club,sir,2,5,S
Karate Club,sir,2,6,R
Karate Club,sir,2,7,I
Karate Club,sir,2,8,I
Karate Club,sir,2,9,S
Karate Club,sir,2,10,I
Karate Club,sir,2,11,S
Karate Club,sir,2,12,S
Karate Club,sir,2,13,S
Karate Club,sir,2,14,I
Karate Club,sir,2,17,S
Karate Club,sir,2,18,I
Karate Club,sir,2,20,R
Karate Club,sir,2,22,I
Karate Club,sir,2,24,S
Karate Club,sir,2,26,S
Karate Club,sir,2,25,I
Karate Club,sir,2,28,S
Karate Club,sir,2,29,I
Karate Club,sir,2,30,R
Karate Club,sir,2,27,I
Karate Club,sir,2,31,I
Karate Club,sir,2,32,R
Karate Club,sir,2,33,I
Karate Club,sir,2,15,S
Karate Club,sir,2,16,S
Karate Club,sir,2,19,I
Karate Club,sir,2,21,S
Karate Club,sir,2,23,S
Karate Club,sir,2,34,R
Karate Club,sir,3,1,R
Karate Club,sir,3,2,I
Karate Club,sir,3,3,I
Karate Club,sir,3,4,I
Karate Club,sir,3,5,S
Karate Club,sir,3,6,R
Karate Club,sir,3,7,R
Karate Club,sir,3,8,I
Karate Club,sir,3,9,I
Karate Club,sir,3,10,I
Karate Club,sir,3,11,S
Karate Club,sir,3,12,S
Karate Club,sir,3,13,S
Karate Club,sir,3,14,I
Karate Club,sir,3,17,I
Karate Club,sir,3,18,R
Karate Club,sir,3,20,R
Karate Club,sir,3,22,I
Karate Club,sir,3,24,S
Karate Club,sir,3,26,S
Karate Club,sir,3,25,I
Karate Club,sir,3,28,S
Karate Club,sir,3,29,I
Karate Club,sir,3,30,R
Karate Club,sir,3,27,I
Karate Club,sir,3,31,I
Karate Club,sir,3,32,R
Karate Club,sir,3,33,I
Karate Club,sir,3,15,S
Karate Club,sir,3,16,S
Karate Club,sir,3,19,I
Karate Club,sir,3,21,S
Karate Club,sir,3,23,S
Karate Club,sir,3,34,R
Karate Club,sir,4,1,R
Karate Club,sir,4,2,R
Karate Club,sir,4,3,I
Karate Club,sir,4,4,I
Karate Club,sir,4,5,S
Karate Club,sir,4,6,R
Karate Club,sir,4,7,R
Karate Club,sir,4,8,I
Karate Club,sir,4,9,I
Karate Club,sir,4,10,R
Karate Club,sir,4,11,S
Karate Club,sir,4,12,S
Karate Club,sir,4,13,I
Karate Club,sir,4,14,R
Karate Club,sir,4,17,I
Karate Club,sir,4,18,R
Karate Club,sir,4,20,R
Karate Club,sir,4,22,I
Karate Club,sir,4,24,S
Karate Club,sir,4,26,I
Karate Club,sir,4,25,R
Karate Club,sir,4,28,I
Karate Club,sir,4,29,I
Karate Club,sir,4,30,R
Karate Club,sir,4,27,I
Karate Club,sir,4,31,I
Karate Club,sir,4,32,R
Karate Club,sir,4,33,I
Karate Club,sir,4,15,S
Karate Club,sir,4,16,S
Karate Club,sir,4,19,I
Karate Club,sir,4,21,I
Karate Club,sir,4,23,I
Karate Club,sir,4,34,R
Karate Club,sir,5,1,R
Karate Club,sir,5,2,R
Karate Club,sir,5,3,I
Karate Club,sir,5,4,I
Karate Club,sir,5,5,S
Karate Club,sir,5,6,R
Karate Club,sir,5,7,R
Karate Club,sir,5,8,R
Karate Club,sir,5,9,R
Karate Club,sir,5,10,R
Karate Club,sir,5,11,S
Karate Club,sir,5,12,S
Karate Club,sir,5,13,I
Karate Club,sir,5,14,R
Karate Club,sir,5,17,I
Karate Club,sir,5,18,R
Karate Club,sir,5,20,R
Karate Club,sir,5,22,I
Karate Club,sir,5,24,S
Karate Club,sir,5,26,R
Karate Club,sir,5,25,R
Karate Club,sir,5,28,I
Karate Club,sir,5,29,I
Karate Club,sir,5,30,R
Karate Club,sir,5,27,I
Karate Club,sir,5,31,R
Karate Club,sir,5,32,R
Karate Club,sir,5,33,R
Karate Club,sir,5,15,I
Karate Club,sir,5,16,S
Karate Club,sir,5,19,R
Karate Club,sir,5,21,R
Karate Club,sir,5,23,I
Karate Club,sir,5,34,R
Karate Club,sir,6,1,R
Karate Club,sir,6,2,R
Karate Club,sir,6,3,R
Karate Club,sir,6,4,R
Karate Club,sir,6,5,S
Karate Club,sir,6,6,R
Karate Club,sir,6,7,R
Karate Club,sir,6,8,R
Karate Club,sir,6,9,R
Karate Club,sir,6,10,R
Karate Club,sir,6,11,S
Karate Club,sir,6,12,S
Karate Club,sir,6,13,I
Karate Club,sir,6,14,R
Karate Club,sir,6,17,I
Karate Club,sir,6,18,R
Karate Club,sir,6,20,R
Karate Club,sir,6,22,R
Karate Club,sir,6,24,S
Karate Club,sir,6,26,R
Karate Club,sir,6,25,R
Karate Club,sir,6,28,R
Karate Club,sir,6,29,R
Karate Club,sir,6,30,R
Karate Club,sir,6,27,R
Karate Club,sir,6,31,R
Karate Club,sir,6,32,R
Karate Club,sir,6,33,R
Karate Club,sir,6,15,R
Karate Club,sir,6,16,S
Karate Club,sir,6,19,R
Karate Club,sir,6,21,R
Karate Club,sir,6,23,I
Karate Club,sir,6,34,R
Karate Club,sir,7,1,R
Karate Club,sir,7,2,R
Karate Club,sir,7,3,R
Karate Club,sir,7,4,R
Karate Club,sir,7,5,S
Karate Club,sir,7,6,R
Karate Club,sir,7,7,R
Karate Club,sir,7,8,R
Karate Club,sir,7,9,R
Karate Club,sir,7,10,R
Karate Club,sir,7,11,S
Karate Club,sir,7,12,S
Karate Club,sir,7,13,I
Karate Club,sir,7,14,R
Karate Club,sir,7,17,I
Karate Club,sir,7,18,R
Karate Club,sir,7,20,R
Karate Club,sir,7,22,R
Karate Club,sir,7,24,S
Karate Club,sir,7,26,R
Karate Club,sir,7,25,R
Karate Club,sir,7,28,R
Karate Club,sir,7,29,R
Karate Club,sir,7,30,R
Karate Club,sir,7,27,R
Karate Club,sir,7,31,R
Karate Club,sir,7,32,R
Karate Club,sir,7,33,R
Karate Club,sir,7,15,R
Karate Club,sir,7,16,S
Karate Club,sir,7,19,R
Karate Club,sir,7,21,R
Karate Club,sir,7,23,R
Karate Club,sir,7,34,R
