network,model,time_step,state,count
Karate Club,sis,0,S,32
Karate Club,sis,0,I,2
Karate Club,sis,1,S,19
Karate Club,sis,1,I,15
Karate Club,sis,2,S,16
Karate Club,sis,2,I,18
Karate Club,sis,3,S,14
Karate Club,sis,3,I,20
Karate Club,sis,4,S,13
Karate Club,sis,4,I,21
Karate Club,sis,5,S,13
Karate Club,sis,5,I,21
Karate Club,sis,6,S,6
Karate Club,sis,6,I,28
Karate Club,sis,7,S,7
Karate Club,sis,7,I,27
Karate Club,sis,8,S,10
Karate Club,sis,8,I,24
Karate Club,sis,9,S,6
Karate Club,sis,9,I,28
Karate Club,sis,10,S,13
Karate Club,sis,10,I,21
Karate Club,sis,11,S,10
Karate Club,sis,11,I,24
Karate Club,sis,12,S,8
Karate Club,sis,12,I,26
Karate Club,sis,13,S,8
Karate Club,sis,13,I,26
Karate Club,sis,14,S,7
Karate Club,sis,14,I,27
Karate Club,sis,15,S,6
Karate Club,sis,15,I,28
Karate Club,sis,16,S,8
Karate Club,sis,16,I,26
Karate Club,sis,17,S,5
Karate Club,sis,17,I,29
Karate Club,sis,18,S,13
Karate Club,sis,18,I,21
Karate Club,sis,19,S,8
Karate Club,sis,19,I,26
Karate Club,sis,20,S,13
Karate Club,sis,20,I,21
Karate Club,sis,21,S,9
Karate Club,sis,21,I,25
Karate Club,sis,22,S,12
Karate Club,sis,22,I,22
Karate Club,sis,23,S,8
Karate Club,sis,23,I,26
Karate Club,sis,24,S,10
Karate Club,sis,24,I,24
Karate Club,sis,25,S,10
Karate Club,sis,25,I,24
Karate Club,sis,26,S,14
Karate Club,sis,26,I,20
Karate Club,sis,27,S,12
Karate Club,sis,27,I,22
Karate Club,sis,28,S,14
Karate Club,sis,28,I,20
Karate Club,sis,29,S,16
Karate Club,sis,29,I,18
Karate Club,sis,30,S,7
Karate Club,sis,30,I,27
Karate Club,sis,31,S,12
Karate Club,sis,31,I,22
Karate Club,sis,32,S,8
Karate Club,sis,32,I,26
Karate Club,sis,33,S,12
Karate Club,sis,33,I,22
Karate Club,sis,34,S,11
Karate Club,sis,34,I,23
Karate Club,sis,35,S,14
Karate Club,sis,35,I,20
Karate Club,sis,36,S,14
Karate Club,sis,36,I,20
Karate Club,sis,37,S,10
Karate Club,sis,37,I,24
Karate Club,sis,38,S,13
Karate Club,sis,38,I,21
Karate Club,sis,39,S,12
Karate Club,sis,39,I,22
Karate Club,sis,40,S,6
Karate Club,sis,40,I,28
Karate Club,sis,41,S,7
Karate Club,sis,41,I,27
Karate Club,sis,42,S,14
Karate Club,sis,42,I,20
Karate Club,sis,43,S,9
Karate Club,sis,43,I,25
Karate Club,sis,44,S,9
Karate Club,sis,44,I,25
Karate Club,sis,45,S,9
Karate Club,sis,45,I,25
