network,model,time_step,node_id,state
Karate Club,sis,0,1,I
Karate Club,sis,0,2,S
Karate Club,sis,0,3,S
Karate Club,sis,0,4,S
Karate Club,sis,0,5,S
Karate Club,sis,0,6,S
Karate Club,sis,0,7,S
Karate Club,sis,0,8,S
Karate Club,sis,0,9,S
Karate Club,sis,0,10,S
Karate Club,sis,0,11,S
Karate Club,sis,0,12,S
Karate Club,sis,0,13,S
Karate Club,sis,0,14,S
Karate Club,sis,0,17,S
Karate Club,sis,0,18,S
Karate Club,sis,0,20,S
Karate Club,sis,0,22,S
Karate Club,sis,0,24,S
Karate Club,sis,0,26,S
Karate Club,sis,0,25,S
Karate Club,sis,0,28,S
Karate Club,sis,0,29,S
Karate Club,sis,0,30,S
Karate Club,sis,0,27,S
Karate Club,sis,0,31,S
Karate Club,sis,0,32,S
Karate Club,sis,0,33,S
Karate Club,sis,0,15,S
Karate Club,sis,0,16,S
Karate Club,sis,0,19,S
Karate Club,sis,0,21,S
Karate Club,sis,0,23,S
Karate Club,sis,0,34,I
Karate Club,sis,1,1,I
Karate Club,sis,1,2,I
Karate Club,sis,1,3,S
Karate Club,sis,1,4,I
Karate Club,sis,1,5,I
Karate Club,sis,1,6,S
Karate Club,sis,1,7,S
Karate Club,sis,1,8,I
Karate Club,sis,1,9,I
Karate Club,sis,1,10,S
Karate Club,sis,1,11,S
Karate Club,sis,1,12,I
Karate Club,sis,1,13,S
Karate Club,sis,1,14,I
Karate Club,sis,1,17,S
Karate Club,sis,1,18,S
Karate Club,sis,1,20,I
Karate Club,sis,1,22,I
Karate Club,sis,1,24,S
Karate Club,sis,1,26,S
Karate Club,sis,1,25,S
Karate Club,sis,1,28,S
Karate Club,sis,1,29,I
Karate Club,sis,1,30,S
Karate Club,sis,1,27,I
Karate Club,sis,1,31,S
Karate Club,sis,1,32,S
Karate Club,sis,1,33,S
Karate Club,sis,1,15,S
Karate Club,sis,1,16,I
Karate Club,sis,1,19,I
Karate Club,sis,1,21,S
Karate Club,sis,1,23,I
Karate Club,sis,1,34,S
Karate Club,sis,2,1,S
Karate Club,sis,2,2,I
Karate Club,sis,2,3,I
Karate Club,sis,2,4,S
Karate Club,sis,2,5,I
Karate Club,sis,2,6,S
Karate Club,sis,2,7,I
Karate Club,sis,2,8,S
Karate Club,sis,2,9,S
Karate Club,sis,2,10,S
Karate Club,sis,2,11,I
Karate Club,sis,2,12,S
Karate Club,sis,2,13,I
Karate Club,sis,2,14,I
Karate Club,sis,2,17,S
Karate Club,sis,2,18,S
Karate Club,sis,2,20,I
Karate Club,sis,2,22,I
Karate Club,sis,2,24,S
Karate Club,sis,2,26,S
Karate Club,sis,2,25,S
Karate Club,sis,2,28,S
Karate Club,sis,2,29,I
Karate Club,sis,2,30,I
Karate Club,sis,2,27,I
Karate Club,sis,2,31,S
Karate Club,sis,2,32,I
Karate Club,sis,2,33,I
Karate Club,sis,2,15,S
Karate Club,sis,2,16,I
Karate Club,sis,2,19,I
Karate Club,sis,2,21,S
Karate Club,sis,2,23,I
Karate Club,sis,2,34,I
Karate Club,sis,3,1,I
Karate Club,sis,3,2,I
Karate Club,sis,3,3,I
Karate Club,sis,3,4,I
Karate Club,sis,3,5,I
Karate Club,sis,3,6,I
Karate Club,sis,3,7,S
Karate Club,sis,3,8,I
Karate Club,sis,3,9,I
Karate Club,sis,3,10,S
Karate Club,sis,3,11,I
Karate Club,sis,3,12,S
Karate Club,sis,3,13,S
Karate Club,sis,3,14,I
Karate Club,sis,3,17,S
Karate Club,sis,3,18,S
Karate Club,sis,3,20,S
Karate Club,sis,3,22,I
Karate Club,sis,3,24,I
Karate Club,sis,3,26,S
Karate Club,sis,3,25,S
Karate Club,sis,3,28,S
Karate Club,sis,3,29,I
Karate Club,sis,3,30,I
Karate Club,sis,3,27,I
Karate Club,sis,3,31,I
Karate Club,sis,3,32,S
Karate Club,sis,3,33,I
Karate Club,sis,3,15,S
Karate Club,sis,3,16,I
Karate Club,sis,3,19,I
Karate Club,sis,3,21,I
Karate Club,sis,3,23,S
Karate Club,sis,3,34,S
Karate Club,sis,4,1,I
Karate Club,sis,4,2,S
Karate Club,sis,4,3,I
Karate Club,sis,4,4,I
Karate Club,sis,4,5,I
Karate Club,sis,4,6,S
Karate Club,sis,4,7,I
Karate Club,sis,4,8,I
Karate Club,sis,4,9,S
Karate Club,sis,4,10,I
Karate Club,sis,4,11,I
Karate Club,sis,4,12,S
Karate Club,sis,4,13,S
Karate Club,sis,4,14,S
Karate Club,sis,4,17,S
Karate Club,sis,4,18,I
Karate Club,sis,4,20,I
Karate Club,sis,4,22,I
Karate Club,sis,4,24,S
Karate Club,sis,4,26,S
Karate Club,sis,4,25,S
Karate Club,sis,4,28,I
Karate Club,sis,4,29,I
Karate Club,sis,4,30,S
Karate Club,sis,4,27,I
Karate Club,sis,4,31,I
Karate Club,sis,4,32,I
Karate Club,sis,4,33,I
Karate Club,sis,4,15,I
Karate Club,sis,4,16,S
Karate Club,sis,4,19,I
Karate Club,sis,4,21,S
Karate Club,sis,4,23,I
Karate Club,sis,4,34,I
Karate Club,sis,5,1,S
Karate Club,sis,5,2,I
Karate Club,sis,5,3,I
Karate Club,sis,5,4,I
Karate Club,sis,5,5,S
Karate Club,sis,5,6,I
Karate Club,sis,5,7,I
Karate Club,sis,5,8,I
Karate Club,sis,5,9,I
Karate Club,sis,5,10,I
Karate Club,sis,5,11,I
Karate Club,sis,5,12,S
